 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
  0.8084  0.7648  0.6874  0.6246  0.5905  0.5591  0.5061  0.4464  0.4074  0.3997
  0.4094  0.4316  0.4583  0.4823  0.5032  0.5295  0.5156  0.4760  0.4316
  0.7426  0.7261  0.6920  0.6533  0.6114  0.5661  0.5204  0.4790  0.4461  0.4241
  0.4145  0.4182  0.4335  0.4538  0.4721  0.4951  0.4831  0.4452  0.3976  0.3445
  0.6971  0.6920  0.6804  0.6586  0.6224  0.5796  0.5405  0.5060  0.4745  0.4462
  0.4262  0.4168  0.4203  0.4339  0.4485  0.4674  0.4562  0.4198  0.3707  0.3175
  0.2634
  0.6719  0.6625  0.6526  0.6405  0.6235  0.5996  0.5664  0.5274  0.4926  0.4660
  0.4445  0.4274  0.4187  0.4226  0.4324  0.4464  0.4349  0.3998  0.3510  0.2979
  0.2439  0.1903
  0.6727  0.6549  0.6400  0.6272  0.6145  0.5996  0.5807  0.5572  0.5286  0.4976
  0.4710  0.4498  0.4317  0.4228  0.4250  0.4325  0.4200  0.3856  0.3363  0.2824
  0.2277  0.1735  0.1203  0.0683
  0.6981  0.6699  0.6468  0.6286  0.6141  0.6009  0.5869  0.5706  0.5519  0.5309
  0.5080  0.4853  0.4640  0.4444  0.4332  0.4264  0.4118  0.3777  0.3274  0.2713
  0.2149  0.1592  0.1048  0.0517  0.0001 -0.0503 -0.1002 -0.1528 -0.2097 -0.2681
  0.7442  0.7058  0.6732  0.6471  0.6269  0.6107  0.5965  0.5826  0.5674  0.5511
  0.5339  0.5162  0.4984  0.4782  0.4604  0.4321  0.4105  0.3760  0.3251  0.2659
  0.2062  0.1481  0.0916  0.0367 -0.0164 -0.0678 -0.1183 -0.1682 -0.2211 -0.2792
 -0.3396
  0.8046  0.7588  0.7176  0.6827  0.6548  0.6327  0.6148  0.5993  0.5844  0.5691
  0.5535  0.5379  0.5223  0.5062  0.4883  0.4513  0.4177  0.3801  0.3289  0.2673
  0.2035  0.1414  0.0818  0.0243 -0.0312 -0.0845 -0.1362 -0.1869 -0.2377 -0.2909
 -0.3503
  0.8713  0.8217  0.7752  0.7332  0.6975  0.6681  0.6442  0.6242  0.6066  0.5899
  0.5736  0.5574  0.5417  0.5263  0.5097  0.4714  0.4318  0.3888  0.3367  0.2739
  0.2065  0.1397  0.0757  0.0145 -0.0441 -0.1002 -0.1543 -0.2067 -0.2580 -0.3096
 -0.3640
  0.9373  0.8884  0.8402  0.7945  0.7529  0.7168  0.6858  0.6598  0.6373  0.6170
  0.5981  0.5799  0.5623  0.5453  0.5284  0.4884  0.4471  0.4008  0.3477  0.2853
  0.2164  0.1460  0.0773  0.0116 -0.0511 -0.1108 -0.1682 -0.2232 -0.2765 -0.3288
 -0.3808
  1.0011  0.9540  0.9065  0.8605  0.8165  0.7755  0.7386  0.7061  0.6776  0.6521
  0.6290  0.6072  0.5866  0.5668  0.5478  0.5032  0.4607  0.4130  0.3589  0.2973
  0.2291  0.1573  0.0853  0.0151 -0.0521 -0.1162 -0.1775 -0.2361 -0.2923 -0.3469
 -0.4005
  1.0628  1.0185  0.9697  0.9258  0.8818  0.8392  0.7987  0.7610  0.7268  0.6957
  0.6673  0.6409  0.6161  0.5926  0.5679  0.5158  0.4726  0.4254  0.3703
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F098M
  0.7767  0.7338  0.6819  0.6257  0.5690  0.5156  0.4691  0.4321  0.4067  0.3945
  0.3961  0.4101  0.4324  0.4562  0.4767  0.5090  0.5092  0.4781  0.4302
  0.8037  0.7735  0.7292  0.6757  0.6185  0.5620  0.5099  0.4653  0.4303  0.4064
  0.3955  0.3979  0.4119  0.4308  0.4486  0.4757  0.4748  0.4466  0.4007  0.3480
  0.7785  0.7695  0.7416  0.7015  0.6542  0.6027  0.5507  0.5027  0.4616  0.4291
  0.4071  0.3972  0.4005  0.4134  0.4277  0.4495  0.4470  0.4207  0.3765  0.3246
  0.2710
  0.7336  0.7368  0.7242  0.6979  0.6620  0.6202  0.5758  0.5318  0.4917  0.4565
  0.4284  0.4086  0.3998  0.4040  0.4140  0.4304  0.4258  0.4004  0.3576  0.3060
  0.2522  0.1983
  0.7026  0.6979  0.6899  0.6746  0.6522  0.6244  0.5923  0.5570  0.5193  0.4819
  0.4517  0.4280  0.4110  0.4038  0.4075  0.4179  0.4109  0.3854  0.3434  0.2915
  0.2369  0.1823  0.1286  0.0760
  0.6950  0.6829  0.6701  0.6574  0.6437  0.6274  0.6075  0.5835  0.5554  0.5223
  0.4880  0.4582  0.4334  0.4162  0.4096  0.4118  0.4022  0.3761  0.3341  0.2813
  0.2250  0.1688  0.1138  0.0600  0.0077 -0.0436 -0.0946 -0.1479 -0.2051 -0.2635
  0.7100  0.6886  0.6687  0.6509  0.6355  0.6211  0.6063  0.5896  0.5705  0.5494
  0.5263  0.5006  0.4742  0.4488  0.4293  0.4121  0.3991  0.3720  0.3299  0.2758
  0.2171  0.1584  0.1012  0.0457 -0.0082 -0.0604 -0.1118 -0.1628 -0.2164 -0.2746
 -0.3350
  0.7456  0.7141  0.6857  0.6611  0.6404  0.6234  0.6089  0.5950  0.5802  0.5641
  0.5471  0.5294  0.5102  0.4884  0.4656  0.4253  0.4016  0.3728  0.3306  0.2758
  0.2143  0.1522  0.0919  0.0337 -0.0224 -0.0765 -0.1292 -0.1808 -0.2324 -0.2864
 -0.3460
  0.7988  0.7587  0.7213  0.6883  0.6608  0.6384  0.6204  0.6052  0.5912  0.5771
  0.5624  0.5473  0.5320  0.5157  0.4969  0.4518  0.4131  0.3781  0.3350  0.2800
  0.2164  0.1505  0.0862  0.0244 -0.0348 -0.0917 -0.1467 -0.1999 -0.2522 -0.3046
 -0.3596
  0.8631  0.8174  0.7732  0.7329  0.6978  0.6685  0.6446  0.6252  0.6087  0.5936
  0.5790  0.5642  0.5493  0.5344  0.5186  0.4763  0.4328  0.3895  0.3436  0.2888
  0.2248  0.1562  0.0878  0.0217 -0.0415 -0.1019 -0.1600 -0.2159 -0.2701 -0.3233
 -0.3761
  0.9323  0.8852  0.8369  0.7914  0.7501  0.7138  0.6830  0.6574  0.6360  0.6174
  0.6005  0.5841  0.5679  0.5520  0.5361  0.4952  0.4518  0.4047  0.3547  0.2995
  0.2361  0.1667  0.0954  0.0252 -0.0424 -0.1070 -0.1690 -0.2284 -0.2855 -0.3410
 -0.3954
  1.0053  0.9561  0.9074  0.8596  0.8141  0.7723  0.7352  0.7029  0.6752  0.6511
  0.6298  0.6101  0.5911  0.5727  0.5494  0.5085  0.4701  0.4237  0.3683
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F098M
  0.7055  0.6696  0.6269  0.5810  0.5342  0.4899  0.4515  0.4209  0.3982  0.3862
  0.3869  0.3994  0.4194  0.4406  0.4597  0.4907  0.4976  0.4792  0.4381
  0.7683  0.7351  0.6918  0.6425  0.5907  0.5395  0.4926  0.4524  0.4197  0.3968
  0.3863  0.3890  0.4021  0.4193  0.4353  0.4607  0.4644  0.4461  0.4076  0.3578
  0.8059  0.7829  0.7453  0.6977  0.6447  0.5903  0.5381  0.4912  0.4509  0.4190
  0.3978  0.3891  0.3933  0.4054  0.4185  0.4389  0.4393  0.4204  0.3838  0.3353
  0.2822
  0.7927  0.7891  0.7742  0.7367  0.6898  0.6369  0.5834  0.5331  0.4879  0.4495
  0.4197  0.4004  0.3936  0.3983  0.4078  0.4236  0.4210  0.4010  0.3653  0.3177
  0.2646  0.2105
  0.7537  0.7636  0.7601  0.7435  0.7142  0.6722  0.6205  0.5693  0.5227  0.4821
  0.4480  0.4215  0.4043  0.3990  0.4030  0.4137  0.4084  0.3871  0.3513  0.3041
  0.2506  0.1956  0.1413  0.0878
