 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F160W
  0.1810  0.0697 -0.0406 -0.1508 -0.2600 -0.3674 -0.4727 -0.5755 -0.6761 -0.7748
 -0.8718
  0.8330  0.8546  0.8723  0.8862  0.8961  0.9014  0.9020  0.8979  0.8890  0.8754
  0.8573  0.8354  0.8104  0.7829  0.7629  0.6761  0.5872  0.4967  0.3957
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F160W
  1.1083  1.1658  1.2175  1.2607  1.2911  1.3069  1.3074  1.2931  1.2682  1.2364
  1.2000  1.1607  1.1198  1.0771  1.0323  0.9112  0.7808  0.6440  0.5040
  1.0515  1.1084  1.1622  1.2088  1.2445  1.2659  1.2722  1.2640  1.2447  1.2173
  1.1837  1.1454  1.1042  1.0609  1.0155  0.8938  0.7648  0.6313  0.4953  0.3591
  0.9994  1.0496  1.1017  1.1497  1.1891  1.2166  1.2301  1.2295  1.2173  1.1959
  1.1670  1.1317  1.0917  1.0484  1.0026  0.8802  0.7516  0.6202  0.4872  0.3542
  0.2223
  0.9754  0.9997  1.0380  1.0881  1.1305  1.1625  1.1820  1.1890  1.1842  1.1698
  1.1470  1.1167  1.0799  1.0379  0.9924  0.8697  0.7412  0.6109  0.4800  0.3494
  0.2202  0.0925
  0.9798  0.9791  0.9928  1.0176  1.0504  1.0884  1.1252  1.1441  1.1475  1.1394
  1.1224  1.0977  1.0660  1.0275  0.9834  0.8613  0.7328  0.6032  0.4738  0.3451
  0.2179  0.0924 -0.0310 -0.1527
  1.0014  0.9963  0.9906  0.9885  0.9936  1.0050  1.0246  1.0522  1.0786  1.0938
  1.0916  1.0746  1.0482  1.0147  0.9741  0.8540  0.7258  0.5967  0.4684  0.3413
  0.2157  0.0920 -0.0296 -0.1491 -0.2666 -0.3823 -0.4962 -0.6083 -0.7180 -0.8228
  1.0197  1.0149  1.0064  0.9962  0.9873  0.9821  0.9814  0.9837  0.9883  0.9979
  1.0133  1.0225  1.0162  0.9944  0.9612  0.8471  0.7195  0.5907  0.4632  0.3376
  0.2136  0.0915 -0.0285 -0.1463 -0.2620 -0.3756 -0.4875 -0.5973 -0.7054 -0.8115
 -0.9131
  1.0350  1.0317  1.0235  1.0116  0.9975  0.9831  0.9705  0.9605  0.9525  0.9453
  0.9397  0.9389  0.9425  0.9412  0.9276  0.8388  0.7135  0.5850  0.4581  0.3336
  0.2121  0.0907 -0.0279 -0.1441 -0.2581 -0.3700 -0.4801 -0.5881 -0.6942 -0.7986
 -0.9015
  1.0445  1.0441  1.0382  1.0268  1.0117  0.9943  0.9759  0.9578  0.9407  0.9246
  0.9089  0.8937  0.8807  0.8719  0.8650  0.8135  0.7049  0.5778  0.4513  0.3275
  0.2066  0.0876 -0.0296 -0.1448 -0.2576 -0.3681 -0.4765 -0.5829 -0.6874 -0.7902
 -0.8914
  1.0437  1.0472  1.0455  1.0362  1.0226  1.0055  0.9858  0.9645  0.9422  0.9197
  0.8973  0.8749  0.8528  0.8317  0.8133  0.7691  0.6873  0.5711  0.4462  0.3232
  0.2034  0.0861 -0.0293 -0.1430 -0.2547 -0.3639 -0.4709 -0.5756 -0.6783 -0.7793
 -0.8805
  1.0282  1.0365  1.0384  1.0343  1.0242  1.0098  0.9917  0.9708  0.9474  0.9222
  0.8957  0.8685  0.8410  0.8135  0.7868  0.7263  0.6566  0.5577  0.4399  0.3186
  0.1996  0.0837 -0.0299 -0.1419 -0.2522 -0.3604 -0.4663 -0.5698 -0.6710 -0.7703
 -0.8678
  0.9943  1.0080  1.0152  1.0163  1.0114  1.0016  0.9873  0.9693  0.9479  0.9235
  0.8965  0.8674  0.8369  0.8056  0.7855  0.6851  0.6128  0.5376  0.4324
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F160W
  1.2164  1.2681  1.3113  1.3438  1.3627  1.3661  1.3527  1.3231  1.2832  1.2388
  1.1931  1.1479  1.1036  1.0595  1.0149  0.8979  0.7744  0.6433  0.5065
  1.1611  1.2170  1.2657  1.3043  1.3297  1.3397  1.3328  1.3086  1.2731  1.2310
  1.1860  1.1401  1.0947  1.0494  1.0037  0.8845  0.7596  0.6306  0.4977  0.3629
  1.1008  1.1572  1.2092  1.2535  1.2864  1.3048  1.3064  1.2902  1.2609  1.2231
  1.1804  1.1350  1.0890  1.0429  0.9963  0.8752  0.7492  0.6209  0.4904  0.3588
  0.2273
  1.0428  1.0949  1.1473  1.1948  1.2335  1.2599  1.2711  1.2647  1.2433  1.2117
  1.1731  1.1301  1.0848  1.0385  0.9914  0.8691  0.7419  0.6135  0.4844  0.3550
  0.2261  0.0984
  0.9968  1.0309  1.0797  1.1299  1.1737  1.2069  1.2263  1.2302  1.2181  1.1941
  1.1615  1.1228  1.0799  1.0346  0.9877  0.8651  0.7372  0.6083  0.4798  0.3519
  0.2249  0.0993 -0.0246 -0.1467
  1.0049  1.0076  1.0210  1.0482  1.0871  1.1305  1.1654  1.1833  1.1835  1.1689
  1.1437  1.1107  1.0723  1.0296  0.9840  0.8620  0.7339  0.6048  0.4765  0.3496
  0.2241  0.1001 -0.0220 -0.1421 -0.2603 -0.3766 -0.4909 -0.6033 -0.7130 -0.8172
  1.0217  1.0185  1.0159  1.0186  1.0293  1.0464  1.0663  1.0871  1.1057  1.1153
  1.1102  1.0900  1.0591  1.0214  0.9788  0.8594  0.7315  0.6022  0.4740  0.3478
  0.2234  0.1008 -0.0198 -0.1383 -0.2547 -0.3691 -0.4815 -0.5918 -0.7002 -0.8060
 -0.9070
  1.0371  1.0335  1.0271  1.0199  1.0147  1.0133  1.0152  1.0175  1.0180  1.0179
  1.0204  1.0236  1.0186  0.9996  0.9676  0.8564  0.7295  0.6002  0.4721  0.3463
  0.2228  0.1014 -0.0179 -0.1350 -0.2498 -0.3625 -0.4733 -0.5819 -0.6885 -0.7932
 -0.8970
  1.0529  1.0502  1.0432  1.0329  1.0207  1.0082  0.9971  0.9872  0.9773  0.9657
  0.9530  0.9417  0.9353  0.9318  0.9228  0.8485  0.7261  0.5969  0.4688  0.3432
  0.2203  0.0998 -0.0185 -0.1346 -0.2482 -0.3595 -0.4688 -0.5760 -0.6812 -0.7844
 -0.8857
  1.0680  1.0662  1.0605  1.0497  1.0350  1.0176  0.9988  0.9800  0.9614  0.9426
  0.9231  0.9027  0.8829  0.8660  0.8538  0.8155  0.7218  0.5954  0.4676  0.3423
  0.2200  0.1004 -0.0167 -0.1317 -0.2443 -0.3544 -0.4622 -0.5678 -0.6713 -0.7729
 -0.8728
  1.0799  1.0800  1.0751  1.0656  1.0511  1.0320  1.0100  0.9863  0.9617  0.9367
  0.9115  0.8858  0.8599  0.8343  0.8104  0.7630  0.6984  0.5918  0.4661  0.3412
  0.2193  0.1005 -0.0156 -0.1294 -0.2409 -0.3500 -0.4568 -0.5611 -0.6631 -0.7632
 -0.8614
  1.0828  1.0858  1.0836  1.0759  1.0632  1.0452  1.0228  0.9974  0.9700  0.9413
  0.9118  0.8818  0.8514  0.8209  0.7926  0.6910  0.6559  0.5861  0.4643
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F160W
  1.2702  1.3182  1.3567  1.3833  1.3944  1.3897  1.3698  1.3354  1.2891  1.2394
  1.1897  1.1413  1.0946  1.0490  1.0038  0.8878  0.7665  0.6395  0.5060
  1.2181  1.2720  1.3168  1.3502  1.3693  1.3727  1.3589  1.3274  1.2848  1.2366
  1.1868  1.1373  1.0893  1.0424  0.9960  0.8772  0.7544  0.6283  0.4979  0.3645
  1.1565  1.2135  1.2638  1.3044  1.3321  1.3447  1.3399  1.3166  1.2797  1.2348
  1.1861  1.1364  1.0873  1.0392  0.9917  0.8706  0.7459  0.6196  0.4910  0.3607
  0.2299
  1.0934  1.1494  1.2023  1.2482  1.2838  1.3060  1.3119  1.2989  1.2699  1.2304
  1.1848  1.1361  1.0868  1.0379  0.9895  0.8668  0.7405  0.6134  0.4857  0.3574
  0.2292  0.1016
  1.0359  1.0845  1.1362  1.1852  1.2266  1.2568  1.2728  1.2716  1.2526  1.2205
  1.1800  1.1343  1.0861  1.0372  0.9883  0.8648  0.7374  0.6094  0.4819  0.3548
  0.2285  0.1032 -0.0208 -0.1432
  1.0103  1.0272  1.0616  1.1088  1.1570  1.1966  1.2226  1.2328  1.2254  1.2027
  1.1693  1.1286  1.0834  1.0359  0.9873  0.8635  0.7357  0.6070  0.4795  0.3532
  0.2282  0.1045 -0.0176 -0.1379 -0.2563 -0.3728 -0.4875 -0.6001 -0.7094 -0.8133
  1.0236  1.0233  1.0285  1.0444  1.0707  1.1031  1.1371  1.1640  1.1764  1.1706
  1.1490  1.1163  1.0766  1.0323  0.9854  0.8625  0.7348  0.6057  0.4779  0.3521
  0.2282  0.1059 -0.0147 -0.1334 -0.2501 -0.3648 -0.4776 -0.5882 -0.6967 -0.8022
 -0.9027
  1.0376  1.0347  1.0307  1.0292  1.0333  1.0437  1.0569  1.0689  1.0780  1.0839
  1.0853  1.0770  1.0555  1.0219  0.9803  0.8613  0.7341  0.6049  0.4770  0.3515
  0.2282  0.1070 -0.0122 -0.1294 -0.2446 -0.3577 -0.4688 -0.5779 -0.6849 -0.7895
 -0.8915
  1.0521  1.0491  1.0431  1.0352  1.0276  1.0223  1.0198  1.0181  1.0142  1.0063
  0.9963  0.9875  0.9812  0.9721  0.9532  0.8576  0.7323  0.6031  0.4749  0.3493
  0.2265  0.1060 -0.0122 -0.1284 -0.2423 -0.3541 -0.4638 -0.5714 -0.6770 -0.7805
 -0.8818
  1.0669  1.0650  1.0592  1.0496  1.0371  1.0232  1.0094  0.9963  0.9830  0.9680
  0.9502  0.9305  0.9114  0.8962  0.8849  0.8370  0.7312  0.6032  0.4751  0.3496
  0.2271  0.1074 -0.0099 -0.1251 -0.2379 -0.3483 -0.4566 -0.5626 -0.6666 -0.7686
 -0.8688
  1.0837  1.0820  1.0765  1.0672  1.0531  1.0356  1.0156  0.9946  0.9731  0.9511
  0.9280  0.9035  0.8779  0.8526  0.8297  0.7854  0.7164  0.6025  0.4753  0.3499
  0.2277  0.1084 -0.0080 -0.1221 -0.2339 -0.3434 -0.4506 -0.5554 -0.6579 -0.7584
 -0.8525
  1.1025  1.0977  1.0931  1.0839  1.0703  1.0517  1.0293  1.0041  0.9774  0.9497
  0.9214  0.8925  0.8629  0.8328  0.7876  0.7028  0.6879  0.6010  0.4755
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = F160W
