 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -3.7445 -3.5265 -3.3245 -3.1314 -2.9332 -2.4520 -2.0286 -1.6562 -1.3561 -1.1347
 -0.9680 -0.8346 -0.7221 -0.6240 -0.5364 -0.4573 -0.3859 -0.3210 -0.2641 -0.2166
 -0.1790
 -7.5292 -6.9204 -6.4211 -6.0205 -5.6366 -5.2687 -4.9163 -4.5818 -4.2671 -3.9750
 -3.7092 -3.4708 -3.2560 -3.0583 -2.8662 -2.4167 -2.0136 -1.6664 -1.3951 -1.1535
 -0.9986 -0.8624 -0.7586 -0.6696 -0.5906 -0.5195 -0.4554 -0.3991 -0.3503 -0.3083
 -0.2725
 -7.3782 -6.9890 -6.5598 -6.0952 -5.7142 -5.3485 -4.9958 -4.6571 -4.3331 -4.0269
 -3.7415 -3.4811 -3.2468 -3.0357 -2.8380 -2.3993 -2.0122 -1.6787 -1.3981 -1.1756
 -1.0091 -0.8845 -0.7873 -0.7069 -0.6372 -0.5748 -0.5189 -0.4686 -0.4238 -0.3849
 -0.3545
 -7.4923 -7.0950 -6.6673 -6.2128 -5.8327 -5.4679 -5.1169 -4.7770 -4.4484 -4.1329
 -3.8330 -3.5530 -3.2966 -3.0655 -2.8551 -2.4036 -2.0258 -1.6985 -1.4245 -1.2031
 -1.0325 -0.9052 -0.8101 -0.7363 -0.6753 -0.6220 -0.5749 -0.5329 -0.4955 -0.4629
 -0.4330
 -7.7143 -7.2384 -6.7990 -6.3929 -6.0054 -5.6364 -5.2785 -4.9210 -4.5912 -4.2708
 -3.9615 -3.6668 -3.3905 -3.1372 -2.9077 -2.4254 -2.0443 -1.7217 -1.4495 -1.2284
 -1.0554 -0.9240 -0.8266 -0.7551 -0.7008 -0.6567 -0.6191 -0.5860 -0.5568 -0.5316
 -0.5105
 -8.0443 -7.4192 -6.9550 -6.6356 -6.2323 -5.8539 -5.4283 -5.0877 -4.7546 -4.4232
 -4.1100 -3.8064 -3.5161 -3.2436 -2.9958 -2.4647 -2.0677 -1.7483 -1.4731
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -7.6507 -7.7281 -7.8712 -7.8299 -7.5405 -7.2210 -7.1202 -7.1885 -7.1870 -6.9812
 -6.6773 -6.3311 -5.9867 -5.6458 -5.2835 -4.3136
 -7.2503 -7.1423 -7.1000 -7.0023 -6.8193 -6.6322 -6.5307 -6.4891 -6.4092 -6.2309
 -5.9833 -5.6828 -5.3536 -5.0195 -4.6828 -3.8276 -2.9793 -2.2781 -1.7049
 -6.9754 -6.7274 -6.5417 -6.3814 -6.2385 -6.1123 -5.9982 -5.8840 -5.7518 -5.5861
 -5.3748 -5.1123 -4.8062 -4.4865 -4.1743 -3.4189 -2.6930 -2.0783 -1.5992 -1.2420
 -0.9909
 -6.8260 -6.4834 -6.1963 -5.9672 -5.7981 -5.6613 -5.5227 -5.3732 -5.2148 -5.0468
 -4.8518 -4.6196 -4.3445 -4.0468 -3.7580 -3.0875 -2.4649 -1.9258 -1.5138 -1.2041
 -0.9612 -0.7627 -0.5941
 -6.8021 -6.4103 -6.0638 -5.7597 -5.4981 -5.2792 -5.1042 -4.9567 -4.7982 -4.6130
 -4.4143 -4.2047 -3.9685 -3.7004 -3.4339 -2.8334 -2.2950 -1.8206 -1.4488 -1.1697
 -0.9515 -0.7726 -0.6208 -0.4903 -0.3735
 -6.8623 -6.4327 -6.0471 -5.6997 -5.3874 -5.1094 -4.8648 -4.6519 -4.4681 -4.2978
 -4.1103 -3.9026 -3.6886 -3.4545 -3.2079 -2.6567 -2.1798 -1.7564 -1.4141 -1.1561
 -0.9562 -0.7929 -0.6542 -0.5335 -0.4267 -0.3307
 -6.9985 -6.5367 -6.1168 -5.7345 -5.3867 -5.0703 -4.7834 -4.5250 -4.2930 -4.0845
 -3.8937 -3.7054 -3.5082 -3.2998 -3.0729 -2.5496 -2.1126 -1.7264 -1.4039 -1.1582
 -0.9709 -0.8197 -0.6920 -0.5812 -0.4832 -0.3953 -0.3161 -0.2427 -0.1750 -0.1216
 -7.1956 -6.7110 -6.2628 -5.8491 -5.4690 -5.1213 -4.8033 -4.5116 -4.2457 -4.0039
 -3.7835 -3.5807 -3.3887 -3.2015 -3.0005 -2.5011 -2.0837 -1.7227 -1.4130 -1.1721
 -0.9912 -0.8491 -0.7310 -0.6292 -0.5396 -0.4595 -0.3876 -0.3222 -0.2644 -0.2157
 -0.1771
 -7.4386 -6.9367 -6.4686 -6.0305 -5.6222 -5.2453 -4.8983 -4.5791 -4.2853 -4.0158
 -3.7688 -3.5428 -3.3359 -3.1439 -2.9562 -2.4917 -2.0815 -1.7361 -1.4360 -1.1948
 -1.0146 -0.8776 -0.7674 -0.6743 -0.5932 -0.5209 -0.4563 -0.3982 -0.3464 -0.3025
 -0.2709
 -7.7062 -7.1926 -6.7092 -6.2551 -5.8259 -5.4237 -5.0503 -4.7050 -4.3866 -4.0926
 -3.8214 -3.5722 -3.3442 -3.1359 -2.9409 -2.4918 -2.0938 -1.7540 -1.4630 -1.2213
 -1.0378 -0.9017 -0.7972 -0.7122 -0.6398 -0.5761 -0.5194 -0.4687 -0.4234 -0.3840
 -0.3531
 -7.9932 -7.4832 -6.9854 -6.5171 -6.0732 -5.6528 -5.2576 -4.8886 -4.5461 -4.2290
 -3.9353 -3.6635 -3.4132 -3.1842 -2.9733 -2.5094 -2.1190 -1.7809 -1.4941 -1.2538
 -1.0655 -0.9257 -0.8223 -0.7430 -0.6787 -0.6236 -0.5755 -0.5328 -0.4949 -0.4618
 -0.4315
 -8.2994 -7.7778 -7.2766 -6.7971 -6.3409 -5.9096 -5.5000 -5.1127 -4.7491 -4.4098
 -4.0942 -3.8010 -3.5291 -3.2780 -3.0465 -2.5472 -2.1498 -1.8120 -1.5250 -1.2847
 -1.0931 -0.9483 -0.8419 -0.7641 -0.7057 -0.6591 -0.6201 -0.5861 -0.5563 -0.5305
 -0.5089
 -8.6249 -8.0764 -7.5561 -7.0758 -6.6143 -6.1759 -5.7590 -5.3613 -4.9831 -4.6261
 -4.2907 -3.9769 -3.6839 -3.4115 -3.1605 -2.6052 -2.1862 -1.8473 -1.5557
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F390M
 -7.1275 -7.1142 -7.1201 -7.1236 -7.1035 -7.0746 -7.0333 -6.9687 -6.8659 -6.7074
 -6.4863 -6.2080 -5.8977 -5.5812 -5.2733 -4.4370
 -6.6054 -6.5368 -6.4991 -6.4777 -6.4598 -6.4337 -6.3896 -6.3188 -6.2114 -6.0557
 -5.8439 -5.5748 -5.2663 -4.9524 -4.6499 -3.9009 -3.1467 -2.4434 -1.8835
 -6.2575 -6.1167 -6.0212 -5.9594 -5.9147 -5.8700 -5.8126 -5.7324 -5.6209 -5.4702
 -5.2727 -5.0235 -4.7312 -4.4280 -4.1367 -3.4611 -2.8159 -2.2172 -1.7282 -1.3525
 -1.0678
 -6.0838 -5.8539 -5.6864 -5.5687 -5.4682 -5.3834 -5.3023 -5.2095 -5.0944 -4.9509
 -4.7727 -4.5541 -4.2924 -4.0080 -3.7337 -3.1176 -2.5589 -2.0448 -1.6141 -1.2797
 -1.0149 -0.8069 -0.6193
 -6.0752 -5.7682 -5.5255 -5.3383 -5.1892 -5.0616 -4.9417 -4.8186 -4.6859 -4.5403
 -4.3740 -4.1825 -3.9577 -3.6995 -3.4409 -2.8704 -2.3757 -1.9262 -1.5412 -1.2375
 -1.0009 -0.8096 -0.6489 -0.5114 -0.3891
 -6.2105 -5.8562 -5.5483 -5.2940 -5.0830 -4.9020 -4.7402 -4.5882 -4.4384 -4.2819
 -4.1074 -3.9222 -3.7225 -3.4961 -3.2519 -2.7092 -2.2567 -1.8532 -1.5020 -1.2197
 -1.0003 -0.8244 -0.6775 -0.5507 -0.4390 -0.3402
 -6.4464 -6.0375 -5.6790 -5.3631 -5.0843 -4.8390 -4.6230 -4.4317 -4.2614 -4.1090
 -3.9539 -3.7756 -3.5827 -3.3766 -3.1505 -2.6196 -2.1899 -1.8168 -1.4894 -1.2209
 -1.0124 -0.8477 -0.7116 -0.5950 -0.4926 -0.4016 -0.3205 -0.2455 -0.1759 -0.1204
 -6.7975 -6.3238 -5.9073 -5.5391 -5.2116 -4.9191 -4.6574 -4.4226 -4.2103 -4.0160
 -3.8371 -3.6693 -3.4987 -3.3151 -3.1098 -2.5873 -2.1638 -1.8083 -1.4968 -1.2362
 -1.0330 -0.8759 -0.7485 -0.6407 -0.5468 -0.4638 -0.3901 -0.3239 -0.2651 -0.2144
 -0.1741
 -7.2459 -6.7150 -6.2369 -5.8089 -5.4265 -5.0846 -4.7780 -4.5016 -4.2513 -4.0230
 -3.8119 -3.6160 -3.4339 -3.2623 -3.0849 -2.5974 -2.1686 -1.8195 -1.5181 -1.2617
 -1.0594 -0.9055 -0.7848 -0.6849 -0.5991 -0.5238 -0.4575 -0.3985 -0.3463 -0.3017
 -0.2685
