 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.8004 -0.7632 -0.7247 -0.6878 -0.6482 -0.5437 -0.4501 -0.3779 -0.3266 -0.2898
 -0.2614 -0.2380 -0.2179 -0.2001 -0.1837 -0.1685 -0.1552 -0.1438 -0.1375 -0.1392
 -0.1495
 -1.0898 -1.0602 -1.0340 -1.0108 -0.9844 -0.9532 -0.9169 -0.8776 -0.8382 -0.8002
 -0.7639 -0.7283 -0.6924 -0.6560 -0.6201 -0.5259 -0.4403 -0.3712 -0.3220 -0.2890
 -0.2634 -0.2474 -0.2323 -0.2189 -0.2063 -0.1943 -0.1832 -0.1753 -0.1707 -0.1693
 -0.1707
 -0.9533 -0.9436 -0.9307 -0.9148 -0.9002 -0.8819 -0.8581 -0.8289 -0.7960 -0.7617
 -0.7278 -0.6947 -0.6618 -0.6285 -0.5953 -0.5089 -0.4295 -0.3641 -0.3160 -0.2838
 -0.2636 -0.2503 -0.2406 -0.2325 -0.2249 -0.2172 -0.2097 -0.2025 -0.1964 -0.1928
 -0.1945
 -0.8302 -0.8294 -0.8240 -0.8144 -0.8087 -0.7999 -0.7876 -0.7698 -0.7468 -0.7197
 -0.6904 -0.6609 -0.6314 -0.6019 -0.5721 -0.4941 -0.4200 -0.3575 -0.3102 -0.2776
 -0.2578 -0.2472 -0.2421 -0.2394 -0.2374 -0.2351 -0.2324 -0.2292 -0.2262 -0.2239
 -0.2225
 -0.7117 -0.7177 -0.7210 -0.7218 -0.7238 -0.7246 -0.7219 -0.7002 -0.6876 -0.6700
 -0.6483 -0.6241 -0.5988 -0.5733 -0.5473 -0.4795 -0.4104 -0.3509 -0.3044 -0.2715
 -0.2509 -0.2405 -0.2376 -0.2391 -0.2425 -0.2459 -0.2488 -0.2509 -0.2522 -0.2534
 -0.2552
 -0.5976 -0.6084 -0.6216 -0.6369 -0.6453 -0.6559 -0.6381 -0.6381 -0.6333 -0.6115
 -0.5988 -0.5821 -0.5627 -0.5418 -0.5209 -0.4651 -0.4007 -0.3443 -0.2986
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.7652 -1.8090 -1.9018 -1.8854 -1.7299 -1.5761 -1.5430 -1.5803 -1.5743 -1.4877
 -1.3718 -1.2451 -1.1324 -1.0414 -0.9492 -0.7358
 -1.7095 -1.6657 -1.6607 -1.6202 -1.5321 -1.4504 -1.4175 -1.4115 -1.3874 -1.3288
 -1.2517 -1.1604 -1.0650 -0.9751 -0.8876 -0.6925 -0.5337 -0.4102 -0.3106
 -1.6662 -1.5640 -1.4912 -1.4287 -1.3759 -1.3346 -1.3018 -1.2719 -1.2387 -1.1981
 -1.1468 -1.0817 -1.0029 -0.9181 -0.8359 -0.6564 -0.5127 -0.4005 -0.3133 -0.2472
 -0.1994
 -1.6353 -1.5039 -1.3933 -1.3109 -1.2613 -1.2287 -1.1959 -1.1615 -1.1282 -1.0956
 -1.0571 -1.0090 -0.9461 -0.8704 -0.7941 -0.6275 -0.4959 -0.3936 -0.3160 -0.2565
 -0.2095 -0.1712 -0.1392
 -1.6168 -1.4854 -1.3670 -1.2668 -1.1883 -1.1327 -1.0998 -1.0803 -1.0559 -1.0213
 -0.9826 -0.9423 -0.8946 -0.8320 -0.7622 -0.6058 -0.4833 -0.3895 -0.3187 -0.2645
 -0.2214 -0.1861 -0.1563 -0.1305 -0.1088
 -1.5862 -1.4659 -1.3536 -1.2530 -1.1670 -1.0972 -1.0441 -1.0052 -0.9782 -0.9555
 -0.9248 -0.8858 -0.8452 -0.7964 -0.7360 -0.5894 -0.4737 -0.3866 -0.3221 -0.2731
 -0.2342 -0.2021 -0.1749 -0.1512 -0.1306 -0.1128
 -1.5323 -1.4294 -1.3309 -1.2391 -1.1559 -1.0826 -1.0208 -0.9704 -0.9297 -0.8955
 -0.8649 -0.8325 -0.7960 -0.7572 -0.7086 -0.5761 -0.4658 -0.3833 -0.3241 -0.2804
 -0.2461 -0.2180 -0.1938 -0.1728 -0.1540 -0.1373 -0.1232 -0.1133 -0.1095 -0.1142
 -1.4536 -1.3701 -1.2889 -1.2115 -1.1380 -1.0693 -1.0063 -0.9504 -0.9026 -0.8611
 -0.8234 -0.7872 -0.7505 -0.7156 -0.6763 -0.5620 -0.4585 -0.3792 -0.3232 -0.2842
 -0.2551 -0.2315 -0.2115 -0.1938 -0.1777 -0.1630 -0.1503 -0.1395 -0.1336 -0.1354
 -0.1459
 -1.3563 -1.2903 -1.2263 -1.1648 -1.1050 -1.0462 -0.9885 -0.9333 -0.8823 -0.8368
 -0.7957 -0.7568 -0.7187 -0.6812 -0.6453 -0.5447 -0.4501 -0.3739 -0.3197 -0.2835
 -0.2590 -0.2405 -0.2254 -0.2120 -0.1998 -0.1883 -0.1777 -0.1686 -0.1618 -0.1597
 -0.1670
 -1.2466 -1.1960 -1.1467 -1.0996 -1.0536 -1.0070 -0.9590 -0.9098 -0.8610 -0.8146
 -0.7717 -0.7319 -0.6936 -0.6559 -0.6198 -0.5262 -0.4394 -0.3672 -0.3139 -0.2788
 -0.2572 -0.2434 -0.2335 -0.2255 -0.2181 -0.2108 -0.2038 -0.1973 -0.1918 -0.1887
 -0.1908
 -1.1335 -1.0959 -1.0584 -1.0225 -0.9882 -0.9533 -0.9164 -0.8764 -0.8341 -0.7909
