 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F336W
 -5.1840 -4.9346 -4.6944 -4.4598 -4.2063 -3.5655 -2.9932 -2.4863 -2.0800 -1.8037
 -1.6351 -1.5388 -1.4871 -1.4649 -1.4634 -1.4759 -1.4963 -1.5182 -1.5377 -1.5515
 -1.5559
 -9.0035 -8.3817 -7.8617 -7.4335 -7.0267 -6.6409 -6.2750 -5.9302 -5.6068 -5.3050
 -5.0256 -4.7674 -4.5256 -4.2961 -4.0649 -3.4811 -2.9386 -2.4683 -2.0871 -1.7765
 -1.5930 -1.4649 -1.4001 -1.3682 -1.3585 -1.3645 -1.3810 -1.3999 -1.4192 -1.4389
 -1.4590
 -8.6751 -8.2460 -7.7913 -7.3142 -6.9172 -6.5409 -6.1822 -5.8415 -5.5182 -5.2133
 -4.9275 -4.6619 -4.4154 -4.1856 -3.9643 -3.4239 -2.9123 -2.4626 -2.0816 -1.7783
 -1.5595 -1.4162 -1.3307 -1.2849 -1.2651 -1.2631 -1.2737 -1.2921 -1.3140 -1.3358
 -1.3555
 -8.5966 -8.1568 -7.7019 -7.2339 -6.8425 -6.4727 -6.1224 -5.7882 -5.4693 -5.1659
 -4.8784 -4.6082 -4.3563 -4.1225 -3.9039 -3.3886 -2.9089 -2.4737 -2.1037 -1.8009
 -1.5669 -1.3989 -1.2880 -1.2215 -1.1866 -1.1733 -1.1753 -1.1876 -1.2062 -1.2277
 -1.2506
 -8.5951 -8.1143 -7.6600 -7.2298 -6.8297 -6.4580 -6.1062 -5.7513 -5.4378 -5.1381
 -4.8522 -4.5811 -4.3256 -4.0871 -3.8652 -3.3606 -2.9073 -2.4899 -2.1270 -1.8266
 -1.5869 -1.4035 -1.2707 -1.1816 -1.1275 -1.0993 -1.0899 -1.0935 -1.1061 -1.1243
 -1.1453
 -8.6705 -8.1184 -7.6655 -7.3020 -6.8790 -6.4967 -6.0814 -5.7509 -5.4363 -5.1153
 -4.8324 -4.5628 -4.3070 -4.0661 -3.8482 -3.3399 -2.9075 -2.5112 -2.1515
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F336W
-10.1114-10.1846-10.3144-10.2329 -9.8806 -9.4850 -9.3164 -9.3432 -9.3070 -9.0558
 -8.7106 -8.3264 -7.9401 -7.5706 -7.1671 -6.0889
 -9.6155 -9.4822 -9.4172 -9.2895 -9.0696 -8.8412 -8.7024 -8.6334 -8.5270 -8.3151
 -8.0299 -7.6825 -7.2941 -6.9043 -6.5069 -5.5037 -4.5432 -3.7719 -3.1788
 -9.2430 -8.9543 -8.7375 -8.5514 -8.3862 -8.2394 -8.1065 -7.9738 -7.8203 -7.6277
 -7.3808 -7.0672 -6.6933 -6.3013 -5.9157 -4.9866 -4.1213 -3.4155 -2.9041 -2.5686
 -2.3859
 -8.9939 -8.6009 -8.2753 -8.0186 -7.8304 -7.6796 -7.5287 -7.3644 -7.1869 -6.9936
 -6.7633 -6.4805 -6.1377 -5.7616 -5.3935 -4.5376 -3.7623 -3.1176 -2.6619 -2.3662
 -2.1829 -2.0738 -2.0125
 -8.8682 -8.4220 -8.0306 -7.6911 -7.4022 -7.1618 -6.9690 -6.8052 -6.6268 -6.4128
 -6.1774 -5.9224 -5.6273 -5.2852 -4.9403 -4.1567 -3.4662 -2.8782 -2.4522 -2.1782
 -2.0099 -1.9128 -1.8638 -1.8464 -1.8472
 -8.8091 -8.3262 -7.8947 -7.5092 -7.1665 -6.8636 -6.5971 -6.3620 -6.1537 -5.9530
 -5.7230 -5.4629 -5.1932 -4.8969 -4.5815 -3.8628 -3.2430 -2.7042 -2.2942 -2.0285
 -1.8673 -1.7744 -1.7273 -1.7113 -1.7148 -1.7283
 -8.8007 -8.2911 -7.8290 -7.4105 -7.0330 -6.6925 -6.3855 -6.1075 -5.8533 -5.6169
 -5.3901 -5.1542 -4.8994 -4.6285 -4.3344 -3.6591 -3.0918 -2.5941 -2.1912 -1.9180
 -1.7527 -1.6575 -1.6074 -1.5881 -1.5895 -1.6031 -1.6216 -1.6392 -1.6508 -1.6517
 -8.8284 -8.3043 -7.8214 -7.3774 -6.9719 -6.6037 -6.2693 -5.9638 -5.6834 -5.4228
 -5.1765 -4.9384 -4.7009 -4.4616 -4.1978 -3.5434 -3.0029 -2.5371 -2.1402 -1.8500
 -1.6671 -1.5611 -1.5037 -1.4777 -1.4735 -1.4836 -1.5018 -1.5219 -1.5397 -1.5519
 -1.5548
 -8.8866 -8.3532 -7.8589 -7.3988 -6.9720 -6.5805 -6.2226 -5.8955 -5.5951 -5.3175
 -5.0576 -4.8109 -4.5738 -4.3437 -4.1101 -3.5013 -2.9641 -2.5175 -2.1298 -1.8231
 -1.6143 -1.4874 -1.4164 -1.3807 -1.3684 -1.3723 -1.3868 -1.4065 -1.4268 -1.4446
 -1.4584
 -8.9701 -8.4283 -7.9244 -7.4555 -7.0152 -6.6054 -6.2275 -5.8808 -5.5628 -5.2697
 -4.9972 -4.7418 -4.4999 -4.2689 -4.0453 -3.4812 -2.9592 -2.5161 -2.1390 -1.8248
 -1.5923 -1.4386 -1.3468 -1.2971 -1.2747 -1.2707 -1.2794 -1.2961 -1.3164 -1.3369
 -1.3553
 -9.1010 -8.5532 -8.0325 -7.5509 -7.1004 -6.6777 -6.2842 -5.9198 -5.5842 -5.2753
 -4.9895 -4.7235 -4.4740 -4.2390 -4.0158 -3.4758 -2.9766 -2.5353 -2.1623 -1.8484
 -1.6002 -1.4214 -1.3037 -1.2332 -1.1957 -1.1805 -1.1808 -1.1916 -1.2088 -1.2291
 -1.2507
 -9.2857 -8.7154 -8.1798 -7.6779 -7.2105 -6.7769 -6.3714 -5.9928 -5.6416 -5.3169
 -5.0168 -4.7387 -4.4796 -4.2370 -4.0086 -3.4758 -2.9960 -2.5620 -2.1892 -1.8759
 -1.6213 -1.4263 -1.2861 -1.1927 -1.1359 -1.1059 -1.0949 -1.0972 -1.1086 -1.1258
 -1.1458
 -9.5241 -8.9149 -8.3591 -7.8383 -7.3507 -6.8986 -6.4790 -6.0880 -5.7228 -5.3836
 -5.0689 -4.7775 -4.5069 -4.2549 -4.0237 -3.4812 -3.0174 -2.5962 -2.2197
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F336W
 -9.4133 -9.3638 -9.3493 -9.3397 -9.3001 -9.2461 -9.1796 -9.0893 -8.9579 -8.7649
 -8.4988 -8.1649 -7.7924 -7.4128 -7.0869 -6.1286
 -8.8567 -8.7520 -8.6867 -8.6424 -8.6043 -8.5589 -8.4943 -8.4007 -8.2667 -8.0773
 -7.8207 -7.4937 -7.1163 -6.7313 -6.3749 -5.4788 -4.6251 -3.8772 -3.3119
 -8.4397 -8.2614 -8.1343 -8.0475 -7.9822 -7.9199 -7.8436 -7.7412 -7.6027 -7.4175
 -7.1750 -6.8675 -6.5038 -6.1248 -5.7602 -4.9224 -4.1658 -3.5095 -3.0028 -2.6563
 -2.4364
 -8.1623 -7.8920 -7.6921 -7.5550 -7.4337 -7.3292 -7.2275 -7.1108 -6.9659 -6.7855
 -6.5617 -6.2863 -5.9549 -5.5933 -5.2428 -4.4594 -3.7833 -3.2029 -2.7451 -2.4295
 -2.2246 -2.1115 -2.0404
 -8.0376 -7.6878 -7.4114 -7.1980 -7.0264 -6.8762 -6.7305 -6.5766 -6.4089 -6.2237
 -6.0122 -5.7688 -5.4831 -5.1543 -4.8227 -4.0898 -3.4776 -2.9574 -2.5388 -2.2444
 -2.0589 -1.9505 -1.8931 -1.8687 -1.8636
 -8.0606 -7.6639 -7.3195 -7.0383 -6.8058 -6.6035 -6.4161 -6.2307 -6.0369 -5.8257
 -5.5946 -5.3564 -5.1040 -4.8202 -4.5127 -3.8205 -3.2536 -2.7759 -2.3833 -2.0989
 -1.9178 -1.8118 -1.7560 -1.7331 -1.7309 -1.7393
 -8.1685 -7.7232 -7.3313 -6.9862 -6.6826 -6.4160 -6.1795 -5.9657 -5.7673 -5.5771
 -5.3656 -5.1147 -4.8526 -4.5876 -4.3076 -3.6456 -3.1067 -2.6558 -2.2782 -1.9918
 -1.8054 -1.6949 -1.6351 -1.6090 -1.6050 -1.6142 -1.6291 -1.6435 -1.6522 -1.6502
 -8.3720 -7.8723 -7.4303 -7.0384 -6.6898 -6.3791 -6.1017 -5.8515 -5.6211 -5.4025
 -5.1899 -4.9743 -4.7379 -4.4807 -4.2050 -3.5512 -3.0245 -2.5890 -2.2192 -1.9241
 -1.7216 -1.5991 -1.5308 -1.4979 -1.4885 -1.4946 -1.5095 -1.5267 -1.5419 -1.5516
 -1.5522
 -8.6656 -8.1149 -7.6196 -7.1758 -6.7787 -6.4237 -6.1058 -5.8198 -5.5599 -5.3190
 -5.0892 -4.8655 -4.6436 -4.4196 -4.1778 -3.5296 -2.9938 -2.5634 -2.1979 -1.8938
 -1.6696 -1.5262 -1.4435 -1.4004 -1.3831 -1.3832 -1.3947 -1.4118 -1.4298 -1.4455
 -1.4570
 -9.0305 -8.4209 -7.8802 -7.3878 -6.9410 -6.5380 -6.1763 -5.8521 -5.5597 -5.2933
 -5.0455 -4.8100 -4.5821 -4.3600 -4.1409 -3.5477 -3.0023 -2.5633 -2.1993 -1.8900
 -1.6463 -1.4777 -1.3740 -1.3164 -1.2890 -1.2814 -1.2875 -1.3018 -1.3200 -1.3385
 -1.3550
 -9.4375 -8.7924 -8.2059 -7.6699 -7.1779 -6.7280 -6.3201 -5.9533 -5.6242 -5.3276
 -5.0569 -4.8056 -4.5678 -4.3399 -4.1206 -3.5704 -3.0441 -2.5915 -2.2219 -1.9098
 -1.6530 -1.4607 -1.3313 -1.2527 -1.2100 -1.1913 -1.1890 -1.1976 -1.2129 -1.2314
 -1.2513
 -9.8602 -9.1944 -8.5687 -7.9929 -7.4610 -6.9708 -6.5213 -6.1122 -5.7436 -5.4124
 -5.1137 -4.8412 -4.5887 -4.3513 -4.1253 -3.5858 -3.0850 -2.6338 -2.2537 -1.9380
 -1.6746 -1.4662 -1.3140 -1.2122 -1.1499 -1.1163 -1.1029 -1.1032 -1.1129 -1.1286
 -1.1471
-10.2933 -9.6018 -8.9528 -8.3436 -7.7749 -7.2475 -6.7617 -6.3163 -5.9104 -5.5433
 -5.2126 -4.9139 -4.6417 -4.3901 -4.1550 -3.5939 -3.1250 -2.6902 -2.2947
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F336W
 -9.1018 -9.0782 -9.0636 -9.0539 -9.0413 -9.0127 -8.9591 -8.8739 -8.7481 -8.5672
 -8.3224 -8.0203 -7.6762 -7.3158 -6.9554 -6.0934
 -8.3941 -8.3866 -8.3852 -8.3819 -8.3699 -8.3403 -8.2852 -8.1977 -8.0691 -7.8876
 -7.6430 -7.3344 -6.9793 -6.6126 -6.2555 -5.4318 -4.6772 -3.9970 -3.4404
 -7.8339 -7.7990 -7.7809 -7.7668 -7.7464 -7.7104 -7.6504 -7.5593 -7.4295 -7.2522
 -7.0179 -6.7213 -6.3749 -6.0136 -5.6646 -4.8805 -4.1993 -3.6102 -3.1234 -2.7574
 -2.5157
 -7.4212 -7.3154 -7.2507 -7.2086 -7.1709 -7.1231 -7.0547 -6.9587 -6.8293 -6.6610
 -6.4471 -6.1810 -5.8630 -5.5188 -5.1827 -4.4395 -3.8179 -3.2946 -2.8634 -2.5323
 -2.3087 -2.1707 -2.0912
 -7.2776 -7.0680 -6.8958 -6.7825 -6.6958 -6.6220 -6.5401 -6.4374 -6.3084 -6.1497
 -5.9570 -5.7252 -5.4484 -5.1336 -4.8139 -4.1055 -3.5271 -3.0486 -2.6561 -2.3496
 -2.1388 -2.0100 -1.9388 -1.9036 -1.8896
 -7.3379 -7.0345 -6.7882 -6.5891 -6.4285 -6.2985 -6.1864 -6.0628 -5.9200 -5.7572
 -5.5733 -5.3657 -5.1279 -4.8517 -4.5531 -3.8707 -3.3190 -2.8678 -2.4985 -2.2064
 -1.9998 -1.8718 -1.8012 -1.7679 -1.7570 -1.7581
 -7.4991 -7.1416 -6.8289 -6.5598 -6.3331 -6.1427 -5.9836 -5.8475 -5.7095 -5.5446
 -5.3418 -5.1241 -4.8979 -4.6548 -4.3836 -3.7213 -3.1823 -2.7452 -2.3867 -2.0997
 -1.8901 -1.7561 -1.6802 -1.6433 -1.6310 -1.6329 -1.6415 -1.6507 -1.6546 -1.6473
 -7.7431 -7.3263 -6.9617 -6.6419 -6.3625 -6.1210 -5.9125 -5.7286 -5.5606 -5.4014
 -5.2354 -5.0330 -4.7924 -4.5409 -4.2855 -3.6421 -3.1050 -2.6721 -2.3165 -2.0275
 -1.8084 -1.6624 -1.5764 -1.5317 -1.5140 -1.5132 -1.5220 -1.5343 -1.5451 -1.5502
 -1.5462
 -8.1182 -7.6170 -7.1840 -6.8066 -6.4757 -6.1846 -5.9286 -5.7024 -5.4990 -5.3094
 -5.1259 -4.9427 -4.7484 -4.5233 -4.2680 -3.6195 -3.0758 -2.6399 -2.2821 -1.9875
 -1.7689 -1.5917 -1.4904 -1.4342 -1.4080 -1.4014 -1.4073 -1.4197 -1.4337 -1.4458
 -1.4533
 -8.6605 -8.0446 -7.5202 -7.0675 -6.6723 -6.3245 -6.0170 -5.7446 -5.5012 -5.2800
 -5.0730 -4.8730 -4.6753 -4.4768 -4.2650 -3.6453 -3.0817 -2.6359 -2.2733 -1.9722
 -1.7273 -1.5436 -1.4221 -1.3506 -1.3135 -1.2992 -1.2999 -1.3099 -1.3245 -1.3398
 -1.3534
 -9.3251 -8.6159 -7.9927 -7.4540 -6.9792 -6.5610 -6.1916 -5.8654 -5.5751 -5.3151
 -5.0784 -4.8576 -4.6462 -4.4404 -4.2373 -3.6933 -3.1339 -2.6654 -2.2927 -1.9840
 -1.7281 -1.5255 -1.3803 -1.2876 -1.2347 -1.2089 -1.2014 -1.2061 -1.2182 -1.2339
 -1.2514
-10.0472 -9.2731 -8.5747 -7.9472 -7.3909 -6.8951 -6.4553 -6.0652 -5.7196 -5.4129
 -5.1383 -4.8890 -4.6578 -4.4392 -4.2288 -3.7130 -3.1968 -2.7205 -2.3294 -2.0113
 -1.7463 -1.5293 -1.3633 -1.2477 -1.1748 -1.1338 -1.1153 -1.1119 -1.1187 -1.1320
 -1.1484
-10.7726 -9.9550 -9.2007 -8.5069 -7.8788 -7.3114 -6.8015 -6.3445 -5.9378 -5.5770
 -5.2568 -4.9710 -4.7124 -4.4743 -4.2395 -3.7044 -3.2704 -2.8012 -2.3834
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F336W
 -8.8843 -8.8989 -8.9067 -8.9030 -8.8851 -8.8405 -8.7600 -8.6427 -8.4656 -8.2963
 -8.0841 -7.8441 -7.5724 -7.2677 -6.9437 -6.1324
 -8.2187 -8.2376 -8.2490 -8.2484 -8.2324 -8.1938 -8.1254 -8.0216 -7.8788 -7.6970
 -7.4779 -7.2196 -6.9248 -6.6046 -6.2756 -5.4878 -4.7837 -4.1466 -3.6016
 -7.6324 -7.6444 -7.6523 -7.6505 -7.6343 -7.5988 -7.5380 -7.4446 -7.3143 -7.1439
 -6.9301 -6.6719 -6.3740 -6.0525 -5.7265 -4.9662 -4.3060 -3.7444 -3.2798 -2.9094
 -2.6341
