 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.7357 -4.6527 -4.3565 -3.9480 -3.5626 -3.2308 -2.9454 -2.7060 -2.4977 -2.3118
 -2.1439 -1.9867 -1.8398 -1.7030 -1.5761 -1.3040 -1.0856 -0.8983 -0.7285 -0.5729
 -0.4336 -0.3115
 -4.6206 -4.3041 -4.2114 -4.0009 -3.6457 -3.2957 -2.9890 -2.7285 -2.5086 -2.3163
 -2.1457 -1.9877 -1.8395 -1.7008 -1.5712 -1.2905 -1.0662 -0.8790 -0.7132 -0.5638
 -0.4313 -0.3158 -0.2158 -0.1289
 -4.6767 -4.2408 -3.9310 -3.7899 -3.6633 -3.3735 -3.0609 -2.7807 -2.5411 -2.3379
 -2.1604 -2.0010 -1.8517 -1.7113 -1.5793 -1.2895 -1.0567 -0.8670 -0.7034 -0.5585
 -0.4315 -0.3217 -0.2269 -0.1448 -0.0734 -0.0099  0.0474  0.0966  0.1346  0.1573
 -4.7954 -4.3065 -3.9091 -3.6110 -3.4248 -3.3131 -3.1228 -2.8549 -2.6000 -2.3782
 -2.1895 -2.0246 -1.8740 -1.7323 -1.5983 -1.2999 -1.0567 -0.8614 -0.6979 -0.5561
 -0.4333 -0.3282 -0.2383 -0.1610 -0.0937 -0.0355  0.0155  0.0613  0.1016  0.1302
  0.1442
 -4.9554 -4.4291 -3.9841 -3.6200 -3.3372 -3.1326 -2.9878 -2.8557 -2.6659 -2.4420
 -2.2361 -2.0599 -1.9051 -1.7621 -1.6267 -1.3209 -1.0667 -0.8629 -0.6965 -0.5560
 -0.4360 -0.3347 -0.2491 -0.1765 -0.1139 -0.0596 -0.0113  0.0307  0.0658  0.0935
  0.1136
 -5.1483 -4.5866 -4.1063 -3.6996 -3.3647 -3.0991 -2.8936 -2.7299 -2.5919 -2.4540
 -2.2892 -2.1076 -1.9432 -1.7970 -1.6603 -1.3489 -1.0843 -0.8701 -0.6980 -0.5563
 -0.4379 -0.3392 -0.2574 -0.1892 -0.1315 -0.0823 -0.0402 -0.0040  0.0272  0.0533
  0.0744
 -5.3245 -4.7633 -4.2663 -3.8276 -3.4546 -3.1456 -2.8964 -2.6965 -2.5305 -2.3851
 -2.2526 -2.1223 -1.9831 -1.8394 -1.7031 -1.3883 -1.1144 -0.8888 -0.7081 -0.5623
 -0.4432 -0.3455 -0.2660 -0.2013 -0.1479 -0.1035 -0.0665 -0.0352 -0.0085  0.0138
  0.0320
 -5.5366 -4.9566 -4.4412 -3.9843 -3.5827 -3.2396 -2.9535 -2.7193 -2.5274 -2.3650
 -2.2209 -2.0894 -1.9668 -1.8482 -1.7297 -1.4322 -1.1527 -0.9161 -0.7254 -0.5729
 -0.4506 -0.3521 -0.2734 -0.2110 -0.1612 -0.1212 -0.0892 -0.0630 -0.0412 -0.0234
 -0.0080
 -5.7848 -5.1666 -4.6079 -4.1520 -3.7347 -3.3669 -3.0506 -2.7843 -2.5634 -2.3794
 -2.2223 -2.0828 -1.9550 -1.8364 -1.7401 -1.4806 -1.1992 -0.9520 -0.7499
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  g   
 -4.8989 -4.4529 -4.0778 -3.7667 -3.4651 -3.2100 -2.9849 -2.7771 -2.5853 -2.4095
 -2.2483 -2.0976 -1.9578 -1.8287 -1.7097 -1.4520 -1.2285 -1.0314 -0.8423
 -5.0569 -4.5416 -4.1085 -3.7496 -3.4397 -3.1652 -2.9299 -2.7178 -2.5193 -2.3464
 -2.1842 -2.0328 -1.8923 -1.7625 -1.6429 -1.3858 -1.1728 -0.9824 -0.8025 -0.6304
 -5.1266 -4.6664 -4.2006 -3.7950 -3.4591 -3.1599 -2.9072 -2.6892 -2.4873 -2.3125
 -2.1499 -1.9978 -1.8563 -1.7251 -1.6038 -1.3432 -1.1306 -0.9445 -0.7717 -0.6088
 -0.4586
 -4.7727 -4.7108 -4.3107 -3.8867 -3.5102 -3.1915 -2.9158 -2.6847 -2.4814 -2.2991
 -2.1357 -1.9830 -1.8404 -1.7075 -1.5840 -1.3173 -1.1019 -0.9177 -0.7499 -0.5939
 -0.4515 -0.3250
 -4.6224 -4.4330 -4.3172 -3.9807 -3.5995 -3.2529 -2.9567 -2.7041 -2.4907 -2.3023
 -2.1362 -1.9827 -1.8389 -1.7045 -1.5788 -1.3046 -1.0835 -0.8989 -0.7340 -0.5839
 -0.4477 -0.3273 -0.2226 -0.1318
 -4.6542 -4.2407 -4.0150 -3.9333 -3.6758 -3.3399 -3.0241 -2.7506 -2.5196 -2.3224
 -2.1487 -1.9939 -1.8490 -1.7131 -1.5854 -1.3036 -1.0743 -0.8867 -0.7242 -0.5777
 -0.4464 -0.3312 -0.2315 -0.1453 -0.0703 -0.0048  0.0543  0.1070  0.1450  0.1681
 -4.7805 -4.2865 -3.9048 -3.6563 -3.5480 -3.3889 -3.1078 -2.8238 -2.5732 -2.3584
 -2.1758 -2.0150 -1.8689 -1.7317 -1.6023 -1.3132 -1.0745 -0.8810 -0.7180 -0.5742
 -0.4469 -0.3360 -0.2408 -0.1590 -0.0882 -0.0266  0.0270  0.0742  0.1158  0.1439
  0.1579
 -4.9714 -4.4155 -3.9657 -3.6118 -3.3583 -3.2033 -3.0886 -2.8944 -2.6490 -2.4185
 -2.2188 -2.0481 -1.8977 -1.7593 -1.6284 -1.3330 -1.0844 -0.8824 -0.7162 -0.5734
 -0.4487 -0.3413 -0.2499 -0.1723 -0.1058 -0.0484  0.0009  0.0430  0.0797  0.1108
  0.1301
 -5.2027 -4.5973 -4.0938 -3.6823 -3.3542 -3.1065 -2.9278 -2.7945 -2.6616 -2.4830
 -2.2800 -2.0937 -1.9342 -1.7923 -1.6602 -1.3599 -1.1020 -0.8899 -0.7176 -0.5734
 -0.4501 -0.3451 -0.2570 -0.1834 -0.1212 -0.0682 -0.0234  0.0146  0.0466  0.0730
  0.0941
 -5.4755 -4.8266 -4.2773 -3.8180 -3.4392 -3.1342 -2.8962 -2.7120 -2.5633 -2.4331
 -2.3010 -2.1504 -1.9869 -1.8371 -1.7024 -1.3983 -1.1324 -0.9094 -0.7283 -0.5797
 -0.4555 -0.3514 -0.2653 -0.1946 -0.1362 -0.0875 -0.0471 -0.0135  0.0142  0.0365
  0.0556
 -5.8378 -5.1034 -4.4940 -3.9974 -3.5765 -3.2269 -2.9425 -2.7154 -2.5337 -2.3820
 -2.2483 -2.1247 -2.0027 -1.8755 -1.7455 -1.4431 -1.1714 -0.9383 -0.7470 -0.5914
 -0.4640 -0.3590 -0.2734 -0.2045 -0.1489 -0.1040 -0.0680 -0.0390 -0.0158  0.0025
  0.0163
 -6.2894 -5.4277 -4.7104 -4.2012 -3.7511 -3.3650 -3.0412 -2.7750 -2.5585 -2.3813
 -2.2319 -2.0997 -1.9788 -1.8653 -1.7895 -1.4943 -1.2190 -0.9766 -0.7737
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  g   
 -4.7659 -4.3598 -4.0125 -3.7184 -3.4233 -3.1821 -2.9648 -2.7610 -2.5720 -2.3992
 -2.2418 -2.0946 -1.9577 -1.8309 -1.7137 -1.4580 -1.2375 -1.0435 -0.8608
 -4.9241 -4.4417 -4.0370 -3.7025 -3.4024 -3.1400 -2.9123 -2.7030 -2.5102 -2.3389
 -2.1826 -2.0350 -1.8978 -1.7707 -1.6532 -1.3989 -1.1878 -1.0003 -0.8244 -0.6547
 -5.0789 -4.5799 -4.1258 -3.7398 -3.4212 -3.1332 -2.8904 -2.6772 -2.4785 -2.3080
 -2.1493 -2.0012 -1.8633 -1.7352 -1.6166 -1.3599 -1.1494 -0.9660 -0.7958 -0.6340
 -0.4821
 -5.0243 -4.6981 -4.2507 -3.8294 -3.4681 -3.1633 -2.8961 -2.6714 -2.4727 -2.2935
 -2.1341 -1.9852 -1.8463 -1.7169 -1.5966 -1.3352 -1.1223 -0.9406 -0.7750 -0.6193
 -0.4744 -0.3434
 -4.6733 -4.5915 -4.3363 -3.9409 -3.5545 -3.2189 -2.9315 -2.6878 -2.4796 -2.2945
 -2.1323 -1.9827 -1.8427 -1.7120 -1.5898 -1.3222 -1.1042 -0.9220 -0.7597 -0.6088
 -0.4696 -0.3443 -0.2343 -0.1388
 -4.6312 -4.2720 -4.1680 -3.9926 -3.6535 -3.3039 -2.9946 -2.7292 -2.5046 -2.3123
 -2.1420 -1.9910 -1.8501 -1.7180 -1.5941 -1.3199 -1.0947 -0.9094 -0.7485 -0.6016
 -0.4670 -0.3466 -0.2413 -0.1501 -0.0711 -0.0018  0.0604  0.1155  0.1540  0.1784
 -4.7480 -4.2658 -3.9203 -3.7654 -3.6609 -3.3896 -3.0798 -2.7962 -2.5521 -2.3444
 -2.1663 -2.0091 -1.8669 -1.7337 -1.6083 -1.3279 -1.0942 -0.9030 -0.7414 -0.5971
 -0.4662 -0.3499 -0.2487 -0.1617 -0.0868 -0.0217  0.0349  0.0854  0.1291  0.1571
  0.1718
 -4.9547 -4.3855 -3.9447 -3.6154 -3.4168 -3.3192 -3.1432 -2.8811 -2.6243 -2.3985
 -2.2052 -2.0393 -1.8928 -1.7583 -1.6316 -1.3459 -1.1034 -0.9040 -0.7388 -0.5953
 -0.4672 -0.3540 -0.2564 -0.1732 -0.1021 -0.0410  0.0113  0.0563  0.0956  0.1282
  0.1469
 -5.2056 -4.5778 -4.0667 -3.6609 -3.3495 -3.1331 -2.9990 -2.8806 -2.6943 -2.4705
 -2.2614 -2.0813 -1.9264 -1.7886 -1.6606 -1.3706 -1.1202 -0.9114 -0.7399 -0.5947
 -0.4678 -0.3571 -0.2624 -0.1827 -0.1155 -0.0583 -0.0099  0.0309  0.0650  0.0928
  0.1148
 -5.5482 -4.8411 -4.2603 -3.7935 -3.4180 -3.1245 -2.9056 -2.7466 -2.6223 -2.4935
 -2.3307 -2.1476 -1.9781 -1.8316 -1.7007 -1.4071 -1.1497 -0.9309 -0.7507 -0.6009
 -0.4733 -0.3634 -0.2705 -0.1932 -0.1292 -0.0757 -0.0312  0.0056  0.0356  0.0591
  0.0771
 -6.0013 -5.1754 -4.5083 -3.9844 -3.5552 -3.2072 -2.9306 -2.7159 -2.5495 -2.4137
 -2.2921 -2.1686 -2.0323 -1.8851 -1.7478 -1.4507 -1.1881 -0.9603 -0.7702 -0.6133
 -0.4823 -0.3717 -0.2792 -0.2033 -0.1415 -0.0912 -0.0504 -0.0176  0.0083  0.0280
  0.0421
 -6.5648 -5.5807 -4.7833 -4.2185 -3.7428 -3.3476 -3.0238 -2.7626 -2.5545 -2.3878
 -2.2489 -2.1265 -2.0124 -1.8999 -1.8019 -1.5014 -1.2354 -0.9996 -0.7984
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.6483 -4.2964 -3.9759 -3.6840 -3.4018 -3.1476 -2.9229 -2.7227 -2.5430 -2.3803
 -2.2314 -2.0936 -1.9647 -1.8427 -1.7267 -1.4721 -1.2529 -1.0565 -0.8757
 -4.8242 -4.3621 -3.9811 -3.6733 -3.3807 -3.1269 -2.9057 -2.7009 -2.5120 -2.3459
 -2.1911 -2.0467 -1.9122 -1.7873 -1.6716 -1.4191 -1.2087 -1.0214 -0.8476 -0.6805
 -5.0134 -4.4955 -4.0606 -3.7007 -3.3966 -3.1174 -2.8828 -2.6736 -2.4792 -2.3125
 -2.1573 -2.0126 -1.8778 -1.7525 -1.6362 -1.3828 -1.1736 -0.9918 -0.8237 -0.6629
 -0.5100
 -5.0775 -4.6495 -4.1878 -3.7788 -3.4402 -3.1433 -2.8844 -2.6659 -2.4707 -2.2953
 -2.1394 -1.9941 -1.8586 -1.7324 -1.6150 -1.3584 -1.1476 -0.9677 -0.8040 -0.6488
 -0.5022 -0.3669
 -4.8155 -4.6777 -4.3134 -3.8954 -3.5152 -3.1978 -2.9156 -2.6783 -2.4750 -2.2922
 -2.1343 -1.9882 -1.8518 -1.7244 -1.6055 -1.3440 -1.1292 -0.9491 -0.7885 -0.6382
 -0.4969 -0.3671 -0.2513 -0.1500
 -4.6206 -4.3757 -4.2909 -3.9940 -3.6216 -3.2721 -2.9752 -2.7141 -2.4964 -2.3081
 -2.1406 -1.9931 -1.8556 -1.7269 -1.6065 -1.3395 -1.1185 -0.9356 -0.7766 -0.6301
 -0.4934 -0.3683 -0.2570 -0.1601 -0.0765 -0.0027  0.0640  0.1209  0.1608  0.1874
 -4.7096 -4.2525 -3.9821 -3.9093 -3.6928 -3.3705 -3.0534 -2.7774 -2.5381 -2.3361
 -2.1620 -2.0078 -1.8689 -1.7393 -1.6173 -1.3450 -1.1165 -0.9279 -0.7682 -0.6244
 -0.4915 -0.3704 -0.2631 -0.1701 -0.0900 -0.0208  0.0395  0.0942  0.1398  0.1687
  0.1850
 -4.9061 -4.3493 -3.9285 -3.6457 -3.5333 -3.4046 -3.1421 -2.8601 -2.6052 -2.3847
 -2.1968 -2.0348 -1.8913 -1.7604 -1.6373 -1.3602 -1.1241 -0.9278 -0.7643 -0.6212
 -0.4912 -0.3734 -0.2696 -0.1802 -0.1037 -0.0381  0.0181  0.0667  0.1095  0.1440
  0.1630
 -5.1706 -4.5379 -4.0325 -3.6419 -3.3604 -3.1992 -3.1021 -2.9252 -2.6853 -2.4519
 -2.2465 -2.0729 -1.9218 -1.7874 -1.6632 -1.3823 -1.1393 -0.9344 -0.7646 -0.6197
 -0.4910 -0.3757 -0.2747 -0.1884 -0.1153 -0.0534 -0.0009  0.0435  0.0806  0.1116
  0.1352
 -5.5581 -4.8193 -4.2251 -3.7613 -3.3974 -3.1236 -2.9357 -2.8141 -2.6974 -2.5269
 -2.3251 -2.1349 -1.9701 -1.8275 -1.7002 -1.4160 -1.1670 -0.9532 -0.7750 -0.6254
 -0.4959 -0.3817 -0.2825 -0.1983 -0.1280 -0.0691 -0.0202  0.0207  0.0539  0.0800
  0.0999
 -6.0783 -5.1935 -4.4914 -3.9540 -3.5260 -3.1861 -2.9230 -2.7271 -2.5836 -2.4673
 -2.3466 -2.2010 -2.0367 -1.8813 -1.7460 -1.4575 -1.2039 -0.9822 -0.7945 -0.6379
 -0.5050 -0.3902 -0.2915 -0.2084 -0.1399 -0.0836 -0.0378 -0.0005  0.0292  0.0516
  0.0674
 -6.7313 -5.6605 -4.8314 -4.2078 -3.7183 -3.3218 -3.0036 -2.7516 -2.5561 -2.4038
 -2.2792 -2.1672 -2.0540 -1.9317 -1.8006 -1.5068 -1.2500 -1.0214 -0.8231
