 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -3.7527 -3.5323 -3.3418 -3.1686 -2.9995 -2.8326 -2.6670 -2.5044 -2.3487 -2.2019
 -2.0623 -1.9267 -1.7928 -1.6612 -1.5345 -1.2505 -1.0095 -0.8112 -0.6586 -0.5440
 -0.4568 -0.3910 -0.3418 -0.3038 -0.2721 -0.2432 -0.2158 -0.1888 -0.1622 -0.1367
 -0.1129
 -3.6926 -3.4637 -3.2683 -3.0947 -2.9345 -2.7799 -2.6270 -2.4758 -2.3270 -2.1829
 -2.0460 -1.9155 -1.7890 -1.6645 -1.5422 -1.2594 -1.0195 -0.8219 -0.6657
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  g   
 -5.6280 -5.3446 -4.9180 -4.4858 -4.0807 -3.7355 -3.4663 -3.2263 -2.9995 -2.7865
 -2.5843 -2.3951 -2.2210 -2.0620 -1.9162 -1.5927 -1.2986 -1.0222 -0.7762
 -5.0191 -4.8614 -4.6906 -4.3451 -3.9657 -3.6108 -3.3138 -3.0658 -2.8376 -2.6240
 -2.4211 -2.2313 -2.0570 -1.8993 -1.7568 -1.4501 -1.1841 -0.9428 -0.7276 -0.5458
 -4.7663 -4.4400 -4.2468 -4.1348 -3.8811 -3.5496 -3.2350 -2.9684 -2.7377 -2.5248
 -2.3225 -2.1320 -1.9563 -1.7971 -1.6541 -1.3538 -1.1045 -0.8867 -0.6951 -0.5313
 -0.3951
 -4.6390 -4.2825 -3.9872 -3.7676 -3.6338 -3.4776 -3.2084 -2.9285 -2.6847 -2.4707
 -2.2698 -2.0793 -1.9018 -1.7399 -1.5944 -1.2930 -1.0521 -0.8492 -0.6747 -0.5253
 -0.3996 -0.2934
 -4.5508 -4.2043 -3.8918 -3.6210 -3.3972 -3.2217 -3.0895 -2.9104 -2.6734 -2.4490
 -2.2488 -2.0590 -1.8801 -1.7151 -1.5658 -1.2584 -1.0197 -0.8254 -0.6627 -0.5247
 -0.4083 -0.3095 -0.2239 -0.1479
 -4.4808 -4.1528 -3.8430 -3.5625 -3.3150 -3.0991 -2.9129 -2.7563 -2.6182 -2.4449
 -2.2489 -2.0603 -1.8810 -1.7134 -1.5600 -1.2430 -1.0014 -0.8110 -0.6559 -0.5269
 -0.4187 -0.3271 -0.2477 -0.1770 -0.1128 -0.0542 -0.0010  0.0472  0.0878  0.1110
 -4.4216 -4.1130 -3.8149 -3.5355 -3.2828 -3.0589 -2.8574 -2.6721 -2.5052 -2.3601
 -2.2211 -2.0645 -1.8945 -1.7272 -1.5706 -1.2422 -0.9938 -0.8032 -0.6523 -0.5296
 -0.4285 -0.3437 -0.2708 -0.2060 -0.1469 -0.0919 -0.0414  0.0040  0.0437  0.0751
  0.0898
 -4.3673 -4.0782 -3.7944 -3.5222 -3.2688 -3.0398 -2.8350 -2.6474 -2.4718 -2.3075
 -2.1574 -2.0206 -1.8846 -1.7396 -1.5901 -1.2535 -0.9951 -0.8006 -0.6506 -0.5318
 -0.4360 -0.3575 -0.2911 -0.2329 -0.1796 -0.1300 -0.0826 -0.0390 -0.0011  0.0294
  0.0517
 -4.3216 -4.0424 -3.7733 -3.5114 -3.2616 -3.0309 -2.8225 -2.6339 -2.4596 -2.2942
 -2.1369 -1.9891 -1.8506 -1.7200 -1.5911 -1.2714 -1.0025 -0.8008 -0.6492 -0.5319
 -0.4394 -0.3658 -0.3057 -0.2543 -0.2079 -0.1645 -0.1239 -0.0867 -0.0528 -0.0219
  0.0063
 -4.2895 -4.0154 -3.7547 -3.5052 -3.2632 -3.0337 -2.8223 -2.6306 -2.4562 -2.2936
 -2.1385 -1.9893 -1.8462 -1.7103 -1.5831 -1.2894 -1.0224 -0.8098 -0.6526 -0.5339
 -0.4423 -0.3713 -0.3157 -0.2704 -0.2310 -0.1948 -0.1608 -0.1283 -0.0975 -0.0691
 -0.0441
 -4.2722 -3.9833 -3.7312 -3.4935 -3.2634 -3.0403 -2.8291 -2.6340 -2.4565 -2.2940
 -2.1421 -1.9967 -1.8555 -1.7185 -1.5878 -1.2979 -1.0439 -0.8263 -0.6600 -0.5371
 -0.4443 -0.3737 -0.3204 -0.2797 -0.2467 -0.2178 -0.1911 -0.1654 -0.1407 -0.1171
 -0.0952
 -4.2728 -3.9627 -3.7046 -3.4739 -3.2537 -3.0414 -2.8373 -2.6426 -2.4618 -2.2963
