 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
-10.2165 -9.1862 -8.3544 -7.7350 -7.2963 -6.9822 -6.7406 -6.5341 -6.3560 -6.1915
 -5.9796 -5.6832 -5.3550 -5.0170 -4.6896 -3.9563 -3.3320 -2.8029 -2.3626 -2.0073
 -1.7359 -1.5472 -1.4263 -1.3500 -1.3010 -1.2682 -1.2452 -1.2281 -1.2138 -1.1999
 -1.1828
-10.6324 -9.5527 -8.6186 -7.8673 -7.2992 -6.8844 -6.5733 -6.3184 -6.0858 -5.8664
 -5.6681 -5.4775 -5.2636 -5.0118 -4.7247 -3.9879 -3.3497 -2.8116 -2.3649 -2.0014
 -1.7182 -1.5147 -1.3821 -1.2999 -1.2497 -1.2189 -1.1996 -1.1877 -1.1804 -1.1753
 -1.1708
-11.1095-10.0001 -9.0023 -8.1480 -7.4583 -6.9271 -6.5258 -6.2145 -5.9525 -5.7089
 -5.4744 -5.2555 -5.0513 -4.8575 -4.6539 -4.0420 -3.3965 -2.8472 -2.3903 -2.0161
 -1.7189 -1.4970 -1.3470 -1.2535 -1.1979 -1.1660 -1.1489 -1.1409 -1.1382 -1.1382
 -1.1401
-11.6101-10.5141 -9.4854 -8.5591 -7.7672 -7.1229 -6.6169 -6.2235 -5.9101 -5.6436
 -5.3974 -5.1605 -4.9330 -4.7190 -4.5212 -4.0364 -3.4736 -2.9167 -2.4477 -2.0602
 -1.7466 -1.5036 -1.3303 -1.2181 -1.1505 -1.1125 -1.0935 -1.0862 -1.0863 -1.0908
 -1.0973
-12.0814-11.0292-10.0091 -9.0518 -8.1905 -7.4501 -6.8405 -6.3528 -5.9645 -5.6489
 -5.3792 -5.1329 -4.8965 -4.6673 -4.4495 -3.9694 -3.5067 -3.0012 -2.5246 -2.1233
 -1.7937 -1.5306 -1.3330 -1.1973 -1.1119 -1.0624 -1.0370 -1.0271 -1.0273 -1.0339
 -1.0437
-12.4919-11.5061-10.5275 -9.5765 -8.6863 -7.8820 -7.1847 -6.6028 -6.1281 -5.7427
 -5.4249 -5.1522 -4.9052 -4.6703 -4.4427 -3.9270 -3.4907 -3.0585 -2.6101
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  u   
-12.2611-11.5561-10.9464-10.3272 -9.4935 -8.6172 -8.0468 -7.6575 -7.3508 -7.0623
 -6.7868 -6.5200 -6.2606 -6.0065 -5.7549 -5.1211 -4.4788 -3.8479 -3.2328
-11.0865-10.7092-10.2809 -9.8692 -9.3458 -8.5682 -7.8911 -7.4300 -7.0710 -6.7563
 -6.4582 -6.1735 -5.9001 -5.6355 -5.3761 -4.7414 -4.1216 -3.5322 -2.9979 -2.5501
-10.0769 -9.7888 -9.6124 -9.3452 -9.0343 -8.5572 -7.8778 -7.3103 -6.8933 -6.5454
 -6.2256 -5.9227 -5.6354 -5.3607 -5.0954 -4.4612 -3.8594 -3.3034 -2.8138 -2.4060
 -2.0955
 -9.7397 -9.1095 -8.8377 -8.7484 -8.5861 -8.3345 -7.9091 -7.3143 -6.8113 -6.4215
 -6.0808 -5.7608 -5.4590 -5.1734 -4.9011 -4.2639 -3.6735 -3.1383 -2.6757 -2.2934
 -1.9994 -1.7938
 -9.7205 -8.8965 -8.3763 -8.1014 -7.9977 -7.9096 -7.7108 -7.3514 -6.8357 -6.3778
 -6.0099 -5.6751 -5.3601 -5.0633 -4.7824 -4.1364 -3.5501 -3.0253 -2.5767 -2.2087
 -1.9230 -1.7216 -1.5870 -1.4933
 -9.9258 -8.9434 -8.2432 -7.7858 -7.5049 -7.3449 -7.2525 -7.1170 -6.8426 -6.4203
 -5.9995 -5.6496 -5.3242 -5.0173 -4.7274 -4.0680 -3.4790 -2.9570 -2.5129 -2.1498
 -1.8662 -1.6624 -1.5274 -1.4389 -1.3770 -1.3320 -1.2975 -1.2682 -1.2393 -1.2062
-10.3112 -9.2039 -8.3362 -7.7161 -7.2928 -7.0057 -6.7999 -6.6459 -6.5143 -6.3303
 -6.0268 -5.6658 -5.3347 -5.0211 -4.7238 -4.0490 -3.4530 -2.9280 -2.4818 -2.1164
 -1.8288 -1.6174 -1.4758 -1.3853 -1.3270 -1.2875 -1.2592 -1.2377 -1.2196 -1.2016
 -1.1797
-10.7998 -9.6278 -8.6306 -7.8480 -7.2774 -6.8735 -6.5807 -6.3482 -6.1474 -5.9707
 -5.8046 -5.5996 -5.3388 -5.0523 -4.7584 -4.0711 -3.4652 -2.9341 -2.4817 -2.1086
 -1.8118 -1.5881 -1.4341 -1.3358 -1.2751 -1.2372 -1.2133 -1.1972 -1.1860 -1.1773
 -1.1688
-11.3467-10.1254 -9.0622 -8.1554 -7.4399 -6.9036 -6.5103 -6.2123 -5.9660 -5.7431
 -5.5368 -5.3496 -5.1676 -4.9750 -4.7581 -4.1202 -3.5050 -2.9661 -2.5053 -2.1217
 -1.8122 -1.5731 -1.4024 -1.2913 -1.2236 -1.1838 -1.1613 -1.1490 -1.1429 -1.1401
 -1.1388
-11.9085-10.7099 -9.5942 -8.6051 -7.7730 -7.1070 -6.5944 -6.2052 -5.9019 -5.6476
 -5.4166 -5.1997 -4.9980 -4.8093 -4.6311 -4.1528 -3.5775 -3.0317 -2.5617 -2.1654
 -1.8401 -1.5822 -1.3902 -1.2597 -1.1784 -1.1311 -1.1060 -1.0944 -1.0910 -1.0925
 -1.0965
-12.4222-11.2767-10.1660 -9.1341 -8.2238 -7.4535 -6.8274 -6.3333 -5.9468 -5.6382
 -5.3786 -5.1447 -4.9251 -4.7168 -4.5215 -4.0859 -3.6307 -3.1157 -2.6383 -2.2296
 -1.8884 -1.6115 -1.3974 -1.2438 -1.1433 -1.0830 -1.0505 -1.0358 -1.0324 -1.0361
 -1.0432
-12.8597-11.7952-10.7248 -9.6963 -8.7446 -7.9038 -7.1851 -6.5918 -6.1123 -5.7281
 -5.4153 -5.1508 -4.9147 -4.6940 -4.4836 -4.0150 -3.6099 -3.1834 -2.7273
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  u   
-12.3068-11.5781-10.9085-10.1352 -9.2023 -8.3947 -7.8788 -7.5053 -7.2202 -6.9667
 -6.7176 -6.4745 -6.2373 -6.0033 -5.7701 -5.1783 -4.5736 -3.9709 -3.3905
-11.1174-10.8305-10.3584 -9.8591 -9.1489 -8.3159 -7.6995 -7.2719 -6.9448 -6.6637
 -6.3969 -6.1414 -5.8947 -5.6537 -5.4155 -4.8239 -4.2354 -3.6678 -3.1457 -2.6902
-10.2416-10.0508 -9.7579 -9.4335 -9.0209 -8.3586 -7.6587 -7.1383 -6.7601 -6.4489
 -6.1643 -5.8955 -5.6393 -5.3924 -5.1514 -4.5631 -3.9892 -3.4462 -2.9596 -2.5434
 -2.2094
 -9.7244 -9.2141 -9.0756 -8.9156 -8.6777 -8.3207 -7.7374 -7.1253 -6.6681 -6.3158
 -6.0122 -5.7292 -5.4620 -5.2076 -4.9623 -4.3753 -3.8124 -3.2855 -2.8203 -2.4281
 -2.1132 -1.8802
 -9.6811 -8.8832 -8.4359 -8.2723 -8.1928 -8.0194 -7.7172 -7.2173 -6.6778 -6.2614
 -5.9301 -5.6326 -5.3536 -5.0901 -4.8385 -4.2473 -3.6904 -3.1732 -2.7195 -2.3405
 -2.0365 -1.8090 -1.6513 -1.5411
 -9.9070 -8.9039 -8.2239 -7.8133 -7.6042 -7.5183 -7.4111 -7.1744 -6.7723 -6.2929
 -5.9084 -5.5935 -5.3035 -5.0307 -4.7717 -4.1712 -3.6150 -3.1021 -2.6528 -2.2786
 -1.9788 -1.7511 -1.5920 -1.4858 -1.4120 -1.3587 -1.3175 -1.2821 -1.2478 -1.2098
-10.3500 -9.1767 -8.2935 -7.6882 -7.2976 -7.0548 -6.9083 -6.8055 -6.6499 -6.3599
 -5.9563 -5.6007 -5.2993 -5.0186 -4.7529 -4.1407 -3.5812 -3.0683 -2.6182 -2.2423
 -1.9399 -1.7073 -1.5418 -1.4320 -1.3605 -1.3121 -1.2770 -1.2501 -1.2276 -1.2053
 -1.1783
-10.9205 -9.6515 -8.5987 -7.8033 -7.2448 -6.8629 -6.5988 -6.4029 -6.2487 -6.1087
 -5.9249 -5.6400 -5.3285 -5.0421 -4.7714 -4.1489 -3.5842 -3.0688 -2.6141 -2.2315
 -1.9210 -1.6790 -1.5022 -1.3835 -1.3083 -1.2607 -1.2300 -1.2090 -1.1936 -1.1807
 -1.1681
-11.5207-10.2256 -9.0764 -8.1244 -7.3937 -6.8647 -6.4891 -6.2121 -5.9895 -5.7968
 -5.6260 -5.4648 -5.2743 -5.0495 -4.8047 -4.1835 -3.6136 -3.0942 -2.6340 -2.2416
 -1.9194 -1.6641 -1.4729 -1.3412 -1.2574 -1.2069 -1.1772 -1.1595 -1.1492 -1.1429
 -1.1383
-12.1186-10.8418 -9.6592 -8.6149 -7.7443 -7.0626 -6.5529 -6.1768 -5.8901 -5.6536
 -5.4432 -5.2517 -5.0778 -4.9083 -4.7366 -4.2367 -3.6737 -3.1522 -2.6866 -2.2835
 -1.9462 -1.6737 -1.4638 -1.3134 -1.2149 -1.1555 -1.1221 -1.1049 -1.0973 -1.0955
 -1.0962
-12.6594-11.4393-10.2652 -9.1823 -8.2289 -7.4292 -6.7876 -6.2924 -5.9145 -5.6192
