 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -1.8308 -1.6557 -1.5010 -1.3525 -1.2085 -1.0716 -0.9454 -0.8314 -0.7305 -0.6424
 -0.5664 -0.5014 -0.4445 -0.3933 -0.3463 -0.2387 -0.1479 -0.0798 -0.0355 -0.0144
 -0.0101 -0.0134 -0.0185 -0.0238 -0.0291 -0.0345 -0.0406 -0.0489 -0.0594 -0.0720
 -0.0864
 -1.8286 -1.6420 -1.4827 -1.3380 -1.1988 -1.0649 -0.9385 -0.8227 -0.7192 -0.6280
 -0.5492 -0.4821 -0.4243 -0.3730 -0.3258 -0.2223 -0.1360 -0.0703 -0.0263 -0.0040
 -0.0002 -0.0072 -0.0182 -0.0297 -0.0405 -0.0506 -0.0603 -0.0697 -0.0795 -0.0906
 -0.1027
 -1.8553 -1.6457 -1.4758 -1.3296 -1.1937 -1.0629 -0.9380 -0.8206 -0.7141 -0.6193
 -0.5365 -0.4656 -0.4056 -0.3540 -0.3077 -0.2068 -0.1237 -0.0600 -0.0167  0.0069
  0.0121  0.0041 -0.0107 -0.0279 -0.0450 -0.0609 -0.0757 -0.0893 -0.1022 -0.1150
 -0.1287
 -1.9055 -1.6667 -1.4804 -1.3268 -1.1922 -1.0648 -0.9422 -0.8253 -0.7159 -0.6168
 -0.5296 -0.4539 -0.3894 -0.3351 -0.2886 -0.1916 -0.1115 -0.0495 -0.0069
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.8759 -2.6993 -2.4033 -2.1039 -1.8244 -1.5894 -1.4132 -1.2637 -1.1276 -1.0029
 -0.8858 -0.7761 -0.6740 -0.5799 -0.4938 -0.3139 -0.1764 -0.0718  0.0031
 -2.4653 -2.3846 -2.2842 -2.0415 -1.7783 -1.5391 -1.3457 -1.1921 -1.0575 -0.9364
 -0.8236 -0.7185 -0.6214 -0.5326 -0.4521 -0.2862 -0.1615 -0.0687 -0.0026  0.0423
 -2.3029 -2.0937 -1.9750 -1.9153 -1.7434 -1.5176 -1.3124 -1.1468 -1.0109 -0.8924
 -0.7835 -0.6828 -0.5900 -0.5054 -0.4291 -0.2724 -0.1553 -0.0694 -0.0092  0.0311
  0.0580
 -2.2275 -1.9932 -1.7958 -1.6494 -1.5696 -1.4766 -1.3022 -1.1257 -0.9806 -0.8614
 -0.7556 -0.6585 -0.5695 -0.4886 -0.4157 -0.2660 -0.1539 -0.0722 -0.0159  0.0209
  0.0451  0.0616
 -2.1815 -1.9484 -1.7363 -1.5509 -1.3975 -1.2834 -1.2092 -1.1078 -0.9673 -0.8392
 -0.7340 -0.6399 -0.5540 -0.4762 -0.4062 -0.2624 -0.1543 -0.0754 -0.0217  0.0122
  0.0335  0.0479  0.0574  0.0636
 -2.1535 -1.9245 -1.7113 -1.5175 -1.3446 -1.1955 -1.0728 -0.9793 -0.9080 -0.8195
 -0.7174 -0.6239 -0.5402 -0.4651 -0.3976 -0.2590 -0.1543 -0.0775 -0.0256  0.0060
  0.0240  0.0352  0.0427  0.0466  0.0485  0.0466  0.0389  0.0237  0.0014 -0.0235
 -2.1408 -1.9149 -1.7025 -1.5069 -1.3298 -1.1724 -1.0336 -0.9127 -0.8123 -0.7348
 -0.6702 -0.6019 -0.5268 -0.4537 -0.3880 -0.2541 -0.1525 -0.0774 -0.0268  0.0031
  0.0180  0.0253  0.0293  0.0310  0.0305  0.0289  0.0242  0.0140 -0.0038 -0.0293
 -0.0585
 -2.1388 -1.9173 -1.7059 -1.5090 -1.3293 -1.1674 -1.0232 -0.8953 -0.7832 -0.6867
 -0.6072 -0.5452 -0.4907 -0.4346 -0.3761 -0.2467 -0.1483 -0.0748 -0.0248  0.0041
  0.0164  0.0195  0.0190  0.0170  0.0139  0.0094  0.0046 -0.0027 -0.0154 -0.0355
 -0.0644
 -2.1527 -1.9262 -1.7181 -1.5206 -1.3375 -1.1722 -1.0241 -0.8921 -0.7751 -0.6723
 -0.5835 -0.5095 -0.4491 -0.3978 -0.3501 -0.2346 -0.1399 -0.0684 -0.0191  0.0094
  0.0202  0.0193  0.0136  0.0066 -0.0006 -0.0081 -0.0165 -0.0271 -0.0400 -0.0549
 -0.0717
 -2.1910 -1.9537 -1.7401 -1.5455 -1.3607 -1.1904 -1.0375 -0.9011 -0.7799 -0.6726
 -0.5788 -0.4983 -0.4310 -0.3744 -0.3253 -0.2200 -0.1292 -0.0601 -0.0114  0.0175
  0.0283  0.0252  0.0148  0.0021 -0.0105 -0.0225 -0.0345 -0.0462 -0.0584 -0.0720
 -0.0885
 -2.2639 -1.9852 -1.7679 -1.5753 -1.3940 -1.2212 -1.0622 -0.9197 -0.7935 -0.6814
 -0.5827 -0.4970 -0.4241 -0.3630 -0.3107 -0.2045 -0.1181 -0.0495 -0.0018  0.0275
  0.0392  0.0358  0.0224  0.0046 -0.0138 -0.0315 -0.0484 -0.0642 -0.0794 -0.0947
 -0.1107
 -2.3808 -2.0502 -1.8076 -1.6097 -1.4288 -1.2592 -1.0995 -0.9503 -0.8168 -0.6986
 -0.5944 -0.5031 -0.4244 -0.3577 -0.3016 -0.1919 -0.1066 -0.0392  0.0088
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  r   
 -2.9157 -2.6625 -2.3349 -2.0359 -1.7628 -1.5312 -1.3553 -1.2101 -1.0808 -0.9597
 -0.8474 -0.7421 -0.6438 -0.5527 -0.4688 -0.2918 -0.1578 -0.0577  0.0158
 -2.5591 -2.5032 -2.2854 -1.9981 -1.7310 -1.4915 -1.3030 -1.1522 -1.0223 -0.9041
 -0.7950 -0.6934 -0.5990 -0.5120 -0.4324 -0.2676 -0.1449 -0.0545  0.0104  0.0551
 -2.3341 -2.1639 -2.1117 -1.9673 -1.7201 -1.4842 -1.2790 -1.1172 -0.9844 -0.8677
 -0.7615 -0.6632 -0.5723 -0.4889 -0.4129 -0.2561 -0.1401 -0.0555  0.0044  0.0451
  0.0718
 -2.2667 -2.0248 -1.8455 -1.7535 -1.6750 -1.4855 -1.2796 -1.1019 -0.9605 -0.8424
 -0.7383 -0.6428 -0.5550 -0.4746 -0.4016 -0.2512 -0.1397 -0.0585 -0.0018  0.0359
  0.0600  0.0761
 -2.2401 -1.9864 -1.7652 -1.5864 -1.4573 -1.3801 -1.2721 -1.1061 -0.9506 -0.8249
 -0.7206 -0.6273 -0.5419 -0.4642 -0.3937 -0.2487 -0.1408 -0.0620 -0.0075  0.0280
  0.0497  0.0635  0.0724  0.0777
 -2.2350 -1.9784 -1.7474 -1.5442 -1.3725 -1.2314 -1.1256 -1.0476 -0.9458 -0.8182
 -0.7069 -0.6139 -0.5304 -0.4548 -0.3866 -0.2464 -0.1416 -0.0646 -0.0116  0.0222
  0.0415  0.0525  0.0591  0.0623  0.0622  0.0581  0.0492  0.0343  0.0127 -0.0141
 -2.2472 -1.9888 -1.7526 -1.5410 -1.3547 -1.1933 -1.0549 -0.9388 -0.8487 -0.7753
 -0.6915 -0.6026 -0.5196 -0.4453 -0.3789 -0.2427 -0.1408 -0.0654 -0.0133  0.0191
  0.0362  0.0439  0.0473  0.0481  0.0466  0.0425  0.0355  0.0241  0.0066 -0.0195
 -0.0496
 -2.2704 -2.0142 -1.7741 -1.5561 -1.3619 -1.1912 -1.0415 -0.9108 -0.7979 -0.7029
 -0.6269 -0.5636 -0.5006 -0.4344 -0.3700 -0.2370 -0.1377 -0.0637 -0.0124  0.0193
