 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -0.3763 -0.3195 -0.2764 -0.2384 -0.2053 -0.1715 -0.1370 -0.1004 -0.0621 -0.0237
  0.0130  0.0468  0.0774  0.1044  0.1275  0.1679  0.1926  0.2076  0.2106  0.1968
  0.1676  0.1303  0.0914  0.0536  0.0171 -0.0182 -0.0530 -0.0876 -0.1227 -0.1592
 -0.1976
 -0.3420 -0.2621 -0.2059 -0.1632 -0.1322 -0.1020 -0.0737 -0.0456 -0.0166  0.0143
  0.0455  0.0753  0.1027  0.1274  0.1493  0.1901  0.2135  0.2241  0.2236  0.2101
  0.1821  0.1437  0.1012  0.0583  0.0170 -0.0226 -0.0607 -0.0976 -0.1337 -0.1700
 -0.2071
 -0.3375 -0.2219 -0.1450 -0.0943 -0.0599 -0.0327 -0.0081  0.0154  0.0378  0.0605
  0.0843  0.1085  0.1317  0.1530  0.1720  0.2089  0.2316  0.2408  0.2377
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.5550 -1.4725 -1.2961 -1.1096 -0.9287 -0.7744 -0.6602 -0.5640 -0.4743 -0.3892
 -0.3093 -0.2336 -0.1617 -0.0936 -0.0295  0.1074  0.2038  0.2571  0.2733
 -1.2612 -1.2466 -1.2152 -1.0762 -0.9135 -0.7598 -0.6335 -0.5341 -0.4455 -0.3640
 -0.2880 -0.2162 -0.1482 -0.0838 -0.0235  0.1032  0.1902  0.2380  0.2532  0.2476
 -1.1320 -1.0242 -0.9763 -0.9721 -0.8859 -0.7507 -0.6201 -0.5128 -0.4244 -0.3455
 -0.2731 -0.2050 -0.1405 -0.0796 -0.0226  0.0965  0.1772  0.2218  0.2367  0.2313
  0.2150
 -1.0518 -0.9327 -0.8280 -0.7561 -0.7341 -0.7042 -0.6091 -0.5006 -0.4078 -0.3297
 -0.2601 -0.1954 -0.1342 -0.0765 -0.0225  0.0903  0.1663  0.2086  0.2234  0.2182
  0.2021  0.1800
 -0.9792 -0.8701 -0.7621 -0.6638 -0.5837 -0.5322 -0.5116 -0.4712 -0.3938 -0.3149
 -0.2468 -0.1850 -0.1269 -0.0721 -0.0209  0.0862  0.1584  0.1988  0.2133  0.2080
  0.1914  0.1693  0.1435  0.1143
 -0.9060 -0.8095 -0.7116 -0.6148 -0.5237 -0.4445 -0.3825 -0.3424 -0.3201 -0.2844
 -0.2290 -0.1719 -0.1171 -0.0653 -0.0167  0.0850  0.1537  0.1925  0.2064  0.2009
  0.1832  0.1599  0.1339  0.1050  0.0736  0.0386 -0.0012 -0.0466 -0.0969 -0.1477
 -0.8308 -0.7449 -0.6587 -0.5720 -0.4861 -0.4050 -0.3318 -0.2685 -0.2189 -0.1865
 -0.1640 -0.1360 -0.0979 -0.0537 -0.0090  0.0872  0.1526  0.1896  0.2031  0.1973
  0.1782  0.1529  0.1253  0.0959  0.0646  0.0316 -0.0043 -0.0447 -0.0906 -0.1418
 -0.1944
 -0.7598 -0.6763 -0.5995 -0.5236 -0.4478 -0.3726 -0.3008 -0.2346 -0.1759 -0.1261
 -0.0872 -0.0599 -0.0386 -0.0157  0.0124  0.0934  0.1552  0.1905  0.2036  0.1978
  0.1774  0.1493  0.1190  0.0878  0.0557  0.0224 -0.0119 -0.0486 -0.0894 -0.1357
 -0.1882
 -0.7018 -0.6095 -0.5348 -0.4668 -0.4007 -0.3353 -0.2702 -0.2074 -0.1489 -0.0958
 -0.0493 -0.0105  0.0200  0.0433  0.0627  0.1120  0.1626  0.1954  0.2079  0.2022
  0.1811  0.1504  0.1162  0.0817  0.0474  0.0129 -0.0224 -0.0597 -0.0992 -0.1405
 -0.1835
 -0.6674 -0.5593 -0.4740 -0.4069 -0.3471 -0.2901 -0.2343 -0.1787 -0.1247 -0.0736
 -0.0266  0.0152  0.0511  0.0810  0.1051  0.1465  0.1785  0.2042  0.2155  0.2104
  0.1899  0.1576  0.1198  0.0810  0.0430  0.0059 -0.0311 -0.0679 -0.1052 -0.1438
 -0.1851
 -0.6710 -0.5264 -0.4264 -0.3510 -0.2901 -0.2376 -0.1889 -0.1416 -0.0949 -0.0491
 -0.0052  0.0354  0.0719  0.1037  0.1307  0.1775  0.2034  0.2194  0.2265  0.2212
  0.2017  0.1695  0.1293  0.0863  0.0438  0.0027 -0.0373 -0.0762 -0.1145 -0.1530
 -0.1922
 -0.7201 -0.5316 -0.4024 -0.3098 -0.2395 -0.1840 -0.1375 -0.0957 -0.0563 -0.0175
  0.0207  0.0574  0.0917  0.1225  0.1496  0.1995  0.2268  0.2390  0.2411
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  i   
