 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  u   
 -4.5291 -4.2932 -4.0694 -3.8535 -3.6266 -3.0615 -2.5658 -2.1362 -1.7998 -1.5709
 -1.4259 -1.3352 -1.2780 -1.2426 -1.2224 -1.2124 -1.2085 -1.2064 -1.2051 -1.2037
 -1.1983
 -8.3785 -7.7491 -7.2287 -6.8067 -6.4054 -6.0242 -5.6623 -5.3214 -5.0021 -4.7052
 -4.4324 -4.1834 -3.9539 -3.7388 -3.5270 -3.0064 -2.5324 -2.1285 -1.8115 -1.5519
 -1.3990 -1.2895 -1.2286 -1.1927 -1.1731 -1.1649 -1.1644 -1.1668 -1.1708 -1.1763
 -1.1832
 -8.1469 -7.7269 -7.2730 -6.7893 -6.3917 -6.0141 -5.6538 -5.3115 -4.9872 -4.6822
 -4.3978 -4.1357 -3.8957 -3.6749 -3.4656 -2.9736 -2.5217 -2.1319 -1.8072 -1.5536
 -1.3727 -1.2543 -1.1826 -1.1417 -1.1205 -1.1124 -1.1135 -1.1203 -1.1299 -1.1400
 -1.1501
 -8.1840 -7.7513 -7.2947 -6.8172 -6.4198 -6.0432 -5.6854 -5.3434 -5.0172 -4.7075
 -4.4153 -4.1425 -3.8904 -3.6592 -3.4455 -2.9616 -2.5303 -2.1488 -1.8299 -1.5730
 -1.3773 -1.2388 -1.1489 -1.0958 -1.0679 -1.0564 -1.0563 -1.0639 -1.0760 -1.0903
 -1.1048
 -8.3256 -7.8224 -7.3553 -6.9211 -6.5131 -6.1307 -5.7661 -5.3985 -5.0718 -4.7594
 -4.4620 -4.1813 -3.9185 -3.6757 -3.4523 -2.9609 -2.5423 -2.1708 -1.8542 -1.5961
 -1.3930 -1.2397 -1.1312 -1.0610 -1.0206 -1.0014 -0.9969 -1.0023 -1.0144 -1.0306
 -1.0487
 -8.5716 -7.9401 -7.4547 -7.1009 -6.6717 -6.2766 -5.8366 -5.4910 -5.1594 -4.8234
 -4.5230 -4.2369 -3.9666 -3.7138 -3.4860 -2.9715 -2.5577 -2.1979 -1.8801
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  u   
 -8.8682 -8.9480 -9.0958 -9.0494 -8.7428 -8.4033 -8.2916 -8.3524 -8.3291 -8.0850
 -7.7497 -7.3780 -7.0089 -6.6522 -6.2668 -5.2314
 -8.4495 -8.3306 -8.2815 -8.1748 -7.9792 -7.7791 -7.6683 -7.6180 -7.5226 -7.3211
 -7.0502 -6.7246 -6.3663 -6.0047 -5.6366 -4.7027 -3.8113 -3.1025 -2.5433
 -8.1493 -7.8806 -7.6793 -7.5061 -7.3522 -7.2163 -7.0931 -6.9688 -6.8239 -6.6427
 -6.4122 -6.1250 -5.7880 -5.4342 -5.0857 -4.2439 -3.4627 -2.8311 -2.3639 -2.0419
 -1.8462
 -7.9676 -7.5980 -7.2892 -7.0433 -6.8618 -6.7149 -6.5660 -6.4048 -6.2330 -6.0498
 -5.8357 -5.5792 -5.2740 -4.9407 -4.6141 -3.8550 -3.1704 -2.6062 -2.2028 -1.9268
 -1.7371 -1.6036 -1.5057
 -7.9044 -7.4828 -7.1112 -6.7864 -6.5080 -6.2749 -6.0870 -5.9260 -5.7499 -5.5424
