 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
 -0.0551 -0.0443 -0.0363 -0.0305 -0.0264 -0.0241 -0.0243 -0.0274 -0.0385 -0.0604
 -0.0882
 -1.1877 -1.1488 -1.0800 -0.9845 -0.8996 -0.8215 -0.7479 -0.6802 -0.6203 -0.5679
 -0.5209 -0.4769 -0.4340 -0.3920 -0.3523 -0.2540 -0.1721 -0.1139 -0.0799 -0.0667
 -0.0556 -0.0545 -0.0511 -0.0489 -0.0475 -0.0468 -0.0474 -0.0524 -0.0622 -0.0763
 -0.0942
 -1.1331 -1.0180 -0.9352 -0.8815 -0.8113 -0.7469 -0.6855 -0.6266 -0.5713 -0.5215
 -0.4773 -0.4370 -0.3987 -0.3614 -0.3257 -0.2365 -0.1608 -0.1052 -0.0721 -0.0580
 -0.0551 -0.0568 -0.0598 -0.0628 -0.0657 -0.0683 -0.0711 -0.0746 -0.0797 -0.0882
 -0.1037
 -0.9903 -0.8953 -0.8258 -0.7791 -0.7197 -0.6654 -0.6151 -0.5661 -0.5187 -0.4738
 -0.4327 -0.3959 -0.3621 -0.3298 -0.2985 -0.2201 -0.1498 -0.0963 -0.0627 -0.0470
 -0.0450 -0.0510 -0.0601 -0.0696 -0.0782 -0.0857 -0.0925 -0.0988 -0.1053 -0.1131
 -0.1219
 -0.8343 -0.7809 -0.7274 -0.6738 -0.6295 -0.5906 -0.5523 -0.4990 -0.4600 -0.4220
 -0.3858 -0.3525 -0.3225 -0.2949 -0.2683 -0.2026 -0.1381 -0.0873 -0.0536 -0.0365
 -0.0331 -0.0399 -0.0528 -0.0680 -0.0831 -0.0967 -0.1089 -0.1197 -0.1295 -0.1392
 -0.1500
 -0.6653 -0.6746 -0.6399 -0.5657 -0.5408 -0.5225 -0.4776 -0.4456 -0.4130 -0.3657
 -0.3356 -0.3071 -0.2808 -0.2570 -0.2351 -0.1840 -0.1257 -0.0782 -0.0448
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -3.8288 -3.5260 -3.2952 -2.9125 -2.3980 -1.9740 -1.7801 -1.7179 -1.6363 -1.4878
 -1.3158 -1.1364 -0.9799 -0.8526 -0.7300 -0.4598
 -3.2657 -2.8838 -2.5997 -2.2941 -1.9682 -1.7030 -1.5451 -1.4513 -1.3600 -1.2481
 -1.1266 -0.9970 -0.8697 -0.7530 -0.6432 -0.4083 -0.2310 -0.1096 -0.0198
 -2.8417 -2.4124 -2.0938 -1.8361 -1.6285 -1.4656 -1.3379 -1.2339 -1.1429 -1.0569
 -0.9701 -0.8770 -0.7754 -0.6716 -0.5738 -0.3681 -0.2159 -0.1110 -0.0384  0.0084
  0.0329
 -2.5568 -2.1118 -1.7775 -1.5385 -1.3789 -1.2618 -1.1585 -1.0657 -0.9850 -0.9142
 -0.8463 -0.7764 -0.6970 -0.6084 -0.5218 -0.3392 -0.2058 -0.1141 -0.0535 -0.0126
  0.0155  0.0343  0.0462
 -2.4110 -1.9820 -1.6508 -1.4013 -1.2194 -1.0916 -1.0069 -0.9467 -0.8863 -0.8200
 -0.7552 -0.6952 -0.6345 -0.5634 -0.4872 -0.3216 -0.2007 -0.1189 -0.0651 -0.0282
 -0.0022  0.0162  0.0287  0.0371  0.0399
 -2.3106 -1.9088 -1.5931 -1.3486 -1.1618 -1.0221 -0.9200 -0.8457 -0.7912 -0.7452
 -0.6932 -0.6356 -0.5811 -0.5245 -0.4605 -0.3099 -0.1975 -0.1225 -0.0750 -0.0426
 -0.0192 -0.0023  0.0098  0.0178  0.0220  0.0223
 -2.2066 -1.8415 -1.5505 -1.3199 -1.1375 -0.9940 -0.8828 -0.7978 -0.7318 -0.6778
 -0.6305 -0.5834 -0.5341 -0.4863 -0.4329 -0.2992 -0.1936 -0.1227 -0.0805 -0.0536
 -0.0342 -0.0199 -0.0094 -0.0022  0.0023  0.0039  0.0021 -0.0073 -0.0263 -0.0499
 -2.0839 -1.7592 -1.4980 -1.2880 -1.1173 -0.9776 -0.8634 -0.7712 -0.6978 -0.6377
 -0.5853 -0.5369 -0.4898 -0.4467 -0.4022 -0.2852 -0.1875 -0.1192 -0.0799 -0.0587
 -0.0449 -0.0348 -0.0274 -0.0221 -0.0188 -0.0172 -0.0183 -0.0223 -0.0340 -0.0564
 -0.0842
 -1.9482 -1.6617 -1.4301 -1.2424 -1.0878 -0.9576 -0.8466 -0.7520 -0.6730 -0.6081
 -0.5530 -0.5034 -0.4566 -0.4120 -0.3715 -0.2672 -0.1782 -0.1125 -0.0741 -0.0564
 -0.0487 -0.0444 -0.0417 -0.0400 -0.0393 -0.0395 -0.0409 -0.0444 -0.0513 -0.0648
 -0.0904
 -1.8025 -1.5531 -1.3485 -1.1815 -1.0433 -0.9251 -0.8217 -0.7302 -0.6500 -0.5815
 -0.5235 -0.4734 -0.4276 -0.3841 -0.3442 -0.2473 -0.1653 -0.1034 -0.0649 -0.0482
 -0.0447 -0.0467 -0.0501 -0.0537 -0.0572 -0.0605 -0.0642 -0.0685 -0.0744 -0.0837
 -0.0998
