 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -1.9806 -1.8497 -1.7241 -1.6038 -1.4832 -1.2028 -0.9738 -0.7923 -0.6518 -0.5445
 -0.4577 -0.3824 -0.3143 -0.2509 -0.1909 -0.1340 -0.0808 -0.0316  0.0115  0.0446
  0.0608
 -3.4750 -3.3111 -3.1514 -2.9955 -2.8414 -2.6865 -2.5297 -2.3733 -2.2199 -2.0720
 -1.9322 -1.8014 -1.6782 -1.5613 -1.4481 -1.1874 -0.9679 -0.7917 -0.6527 -0.5495
 -0.4663 -0.4006 -0.3400 -0.2835 -0.2297 -0.1779 -0.1285 -0.0840 -0.0446 -0.0099
  0.0205
 -3.2552 -3.1266 -2.9926 -2.8538 -2.7214 -2.5885 -2.4522 -2.3128 -2.1716 -2.0316
 -1.8956 -1.7662 -1.6445 -1.5301 -1.4208 -1.1733 -0.9638 -0.7929 -0.6567 -0.5522
 -0.4734 -0.4111 -0.3578 -0.3091 -0.2627 -0.2174 -0.1735 -0.1311 -0.0913 -0.0555
 -0.0265
 -3.0661 -2.9527 -2.8344 -2.7116 -2.5966 -2.4811 -2.3644 -2.2437 -2.1190 -1.9919
 -1.8646 -1.7402 -1.6212 -1.5089 -1.4028 -1.1634 -0.9624 -0.7957 -0.6620 -0.5568
 -0.4770 -0.4167 -0.3687 -0.3273 -0.2888 -0.2513 -0.2145 -0.1782 -0.1429 -0.1098
 -0.0785
 -2.8930 -2.7894 -2.6856 -2.5819 -2.4827 -2.3856 -2.2860 -2.1593 -2.0522 -1.9410
 -1.8269 -1.7120 -1.5988 -1.4901 -1.3869 -1.1543 -0.9594 -0.7974 -0.6654 -0.5609
 -0.4801 -0.4192 -0.3733 -0.3370 -0.3057 -0.2763 -0.2475 -0.2186 -0.1898 -0.1617
 -0.1352
 -2.7361 -2.6366 -2.5464 -2.4647 -2.3796 -2.3020 -2.1748 -2.0857 -1.9927 -1.8732
 -1.7745 -1.6730 -1.5701 -1.4683 -1.3731 -1.1460 -0.9548 -0.7980 -0.6669
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  g   
 -5.3213 -5.1895 -5.1430 -4.9445 -4.5655 -4.2378 -4.1412 -4.1491 -4.0596 -3.8232
 -3.5420 -3.2534 -2.9919 -2.7589 -2.5247 -1.9629
 -4.9057 -4.6538 -4.4883 -4.2886 -4.0384 -3.8234 -3.7057 -3.6303 -3.5157 -3.3372
 -3.1268 -2.8958 -2.6623 -2.4415 -2.2300 -1.7470 -1.3276 -0.9909 -0.7182
 -4.5929 -4.2610 -4.0120 -3.8022 -3.6230 -3.4718 -3.3408 -3.2170 -3.0876 -2.9440
 -2.7803 -2.5932 -2.3876 -2.1819 -1.9896 -1.5691 -1.2135 -0.9222 -0.6922 -0.5161
