 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.4679 -3.3865 -3.5943 -3.5204 -3.3092 -3.0280 -2.7171 -2.5061 -2.3139 -2.1171
 -1.9339 -1.7652 -1.6090 -1.4622 -1.3227 -1.0247 -0.7320 -0.4739 -0.3099
 -3.4524 -3.1989 -2.9969 -2.8601 -2.7800 -2.6653 -2.4809 -2.2760 -2.0831 -1.8998
 -1.7268 -1.5661 -1.4181 -1.2813 -1.1539 -0.8695 -0.6295 -0.4392 -0.2972 -0.1897
 -3.2178 -2.9657 -2.7440 -2.5571 -2.4054 -2.3008 -2.2153 -2.0849 -1.9182 -1.7433
 -1.5797 -1.4278 -1.2882 -1.1603 -1.0429 -0.7883 -0.5803 -0.4153 -0.2905 -0.1943
 -0.1171
 -3.0326 -2.7984 -2.5810 -2.3877 -2.2181 -2.0696 -1.9454 -1.8503 -1.7512 -1.6203
 -1.4722 -1.3284 -1.1963 -1.0754 -0.9649 -0.7300 -0.5443 -0.4001 -0.2890 -0.2026
 -0.1318 -0.0717
 -2.8753 -2.6632 -2.4595 -2.2710 -2.1013 -1.9485 -1.8101 -1.6856 -1.5818 -1.4847
 -1.3781 -1.2562 -1.1325 -1.0170 -0.9119 -0.6901 -0.5185 -0.3885 -0.2896 -0.2122
 -0.1478 -0.0923 -0.0433  0.0001
 -2.7402 -2.5451 -2.3593 -2.1806 -2.0156 -1.8652 -1.7279 -1.6015 -1.4857 -1.3799
 -1.2829 -1.1870 -1.0845 -0.9788 -0.8774 -0.6636 -0.5005 -0.3793 -0.2893 -0.2205
 -0.1630 -0.1127 -0.0678 -0.0269  0.0122  0.0477  0.0774  0.0994  0.1124  0.1156
 -2.6268 -2.4427 -2.2702 -2.1045 -1.9463 -1.8003 -1.6661 -1.5424 -1.4287 -1.3225
 -1.2227 -1.1287 -1.0380 -0.9473 -0.8558 -0.6477 -0.4882 -0.3704 -0.2863 -0.2247
 -0.1746 -0.1306 -0.0908 -0.0541 -0.0197  0.0140  0.0447  0.0697  0.0868  0.0942
  0.0909
 -2.5346 -2.3565 -2.1912 -2.0353 -1.8866 -1.7455 -1.6148 -1.4944 -1.3836 -1.2806
 -1.1838 -1.0917 -1.0033 -0.9184 -0.8353 -0.6406 -0.4816 -0.3642 -0.2813 -0.2238
 -0.1803 -0.1434 -0.1099 -0.0785 -0.0488 -0.0200  0.0090  0.0354  0.0559  0.0677
  0.0693
 -2.4631 -2.2872 -2.1244 -1.9695 -1.8296 -1.6955 -1.5686 -1.4506 -1.3424 -1.2423
 -1.1486 -1.0602 -0.9758 -0.8943 -0.8152 -0.6321 -0.4779 -0.3599 -0.2754 -0.2185
 -0.1790 -0.1486 -0.1223 -0.0976 -0.0737 -0.0499 -0.0267 -0.0044  0.0147  0.0303
  0.0427
 -2.4117 -2.2351 -2.0717 -1.9204 -1.7801 -1.6499 -1.5284 -1.4133 -1.3065 -1.2083
 -1.1174 -1.0321 -0.9514 -0.8735 -0.7984 -0.6247 -0.4757 -0.3583 -0.2721 -0.2131
 -0.1741 -0.1473 -0.1271 -0.1096 -0.0927 -0.0754 -0.0578 -0.0400 -0.0225 -0.0066
  0.0083
 -2.3757 -2.1960 -2.0305 -1.8781 -1.7376 -1.6080 -1.4884 -1.3775 -1.2730 -1.1758
 -1.0863 -1.0035 -0.9258 -0.8521 -0.7815 -0.6162 -0.4722 -0.3563 -0.2696 -0.2084
 -0.1679 -0.1417 -0.1249 -0.1132 -0.1033 -0.0933 -0.0826 -0.0708 -0.0583 -0.0459
 -0.0346
 -2.3373 -2.1507 -1.9829 -1.8310 -1.6927 -1.5658 -1.4484 -1.3392 -1.2375 -1.1429
 -1.0552 -0.9739 -0.8984 -0.8277 -0.7605 -0.6050 -0.4669 -0.3532 -0.2663
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
 -3.8423 -3.7324 -3.5791 -3.3105 -3.0097 -2.7237 -2.4797 -2.2721 -2.0815 -1.9016
 -1.7328 -1.5772 -1.4349 -1.3040 -1.1826 -0.9190 -0.6782 -0.4651 -0.3056
 -3.4771 -3.2399 -3.1040 -3.0169 -2.8260 -2.5703 -2.3234 -2.1113 -1.9236 -1.7480
 -1.5838 -1.4331 -1.2963 -1.1724 -1.0592 -0.8124 -0.6032 -0.4278 -0.2888 -0.1814
 -3.2770 -3.0103 -2.7914 -2.6267 -2.5320 -2.4181 -2.2179 -2.0031 -1.8138 -1.6432
 -1.4837 -1.3370 -1.2039 -1.0840 -0.9756 -0.7448 -0.5563 -0.4021 -0.2799 -0.1840
 -0.1066
 -3.1416 -2.8778 -2.6444 -2.4385 -2.2682 -2.1429 -2.0503 -1.9197 -1.7426 -1.5737
 -1.4181 -1.2751 -1.1449 -1.0277 -0.9221 -0.7005 -0.5249 -0.3854 -0.2760 -0.1899
 -0.1193 -0.0593
 -3.0414 -2.7879 -2.5553 -2.3484 -2.1658 -2.0018 -1.8611 -1.7471 -1.6488 -1.5226
 -1.3776 -1.2367 -1.1086 -0.9932 -0.8893 -0.6728 -0.5046 -0.3744 -0.2746 -0.1969
 -0.1330 -0.0779 -0.0293  0.0131
 -2.9738 -2.7222 -2.4949 -2.2872 -2.1021 -1.9362 -1.7840 -1.6449 -1.5238 -1.4240
 -1.3251 -1.2099 -1.0882 -0.9732 -0.8700 -0.6559 -0.4914 -0.3665 -0.2732 -0.2029
 -0.1458 -0.0963 -0.0520 -0.0119  0.0258  0.0596  0.0878  0.1088  0.1215  0.1244
 -2.9184 -2.6731 -2.4520 -2.2461 -2.0592 -1.8924 -1.7416 -1.6024 -1.4731 -1.3564
 -1.2529 -1.1594 -1.0636 -0.9619 -0.8608 -0.6461 -0.4828 -0.3600 -0.2704 -0.2055
 -0.1553 -0.1122 -0.0733 -0.0374 -0.0041  0.0284  0.0578  0.0814  0.0968  0.1027
  0.0997
 -2.8794 -2.6374 -2.4220 -2.2190 -2.0314 -1.8618 -1.7105 -1.5734 -1.4465 -1.3282
 -1.2191 -1.1192 -1.0278 -0.9406 -0.8525 -0.6422 -0.4772 -0.3546 -0.2661 -0.2041
 -0.1596 -0.1233 -0.0908 -0.0605 -0.0317 -0.0021  0.0261  0.0502  0.0680  0.0777
  0.0783
 -2.8608 -2.6157 -2.4003 -2.2004 -2.0134 -1.8414 -1.6868 -1.5484 -1.4232 -1.3075
 -1.1996 -1.0989 -1.0051 -0.9179 -0.8356 -0.6407 -0.4738 -0.3493 -0.2601 -0.1988
 -0.1576 -0.1274 -0.1019 -0.0783 -0.0553 -0.0329 -0.0111  0.0084  0.0253  0.0399
  0.0524
 -2.8649 -2.6096 -2.3905 -2.1939 -2.0082 -1.8352 -1.6764 -1.5337 -1.4065 -1.2914
 -1.1855 -1.0868 -0.9940 -0.9069 -0.8249 -0.6387 -0.4763 -0.3481 -0.2562 -0.1932
 -0.1523 -0.1255 -0.1060 -0.0894 -0.0734 -0.0572 -0.0410 -0.0246 -0.0087  0.0057
  0.0190
 -2.8870 -2.6194 -2.3938 -2.1955 -2.0103 -1.8377 -1.6769 -1.5291 -1.3965 -1.2784
 -1.1719 -1.0745 -0.9837 -0.8983 -0.8175 -0.6349 -0.4775 -0.3492 -0.2539 -0.1881
 -0.1455 -0.1193 -0.1032 -0.0924 -0.0834 -0.0744 -0.0649 -0.0545 -0.0435 -0.0325
 -0.0226
 -2.9209 -2.6450 -2.4102 -2.2039 -2.0180 -1.8455 -1.6842 -1.5342 -1.3962 -1.2719
