 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -3.8055 -3.5421 -3.2873 -3.0505 -2.8323 -2.3200 -1.8091 -1.3455 -0.9529 -0.6299
 -0.3853 -0.2101 -0.0828  0.0153  0.0957  0.1645  0.2241  0.2759  0.3207  0.3592
  0.3919
 -8.8647 -8.0909 -7.3802 -6.7283 -6.1075 -5.5565 -5.0838 -4.6919 -4.3670 -4.0851
 -3.8233 -3.5643 -3.3045 -3.0516 -2.8146 -2.3007 -1.8341 -1.3897 -1.0000 -0.6769
 -0.4254 -0.2423 -0.1125 -0.0176  0.0564  0.1173  0.1689  0.2135  0.2519  0.2848
  0.3145
 -9.0892 -8.3714 -7.6967 -7.0627 -6.4313 -5.8531 -5.3300 -4.8726 -4.4838 -4.1566
 -3.8725 -3.6106 -3.3552 -3.1009 -2.8529 -2.3063 -1.8491 -1.4280 -1.0460 -0.7240
 -0.4676 -0.2757 -0.1391 -0.0430  0.0269  0.0807  0.1242  0.1605  0.1913  0.2170
  0.2383
 -9.2751 -8.6486 -8.0320 -7.4085 -6.7921 -6.1983 -5.6449 -5.1447 -4.6993 -4.3100
 -3.9786 -3.6903 -3.4271 -3.1749 -2.9270 -2.3515 -1.8740 -1.4624 -1.0908
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.8933 -9.4098 -8.8820 -8.3821 -7.7090 -7.0229 -6.5083 -6.1300 -5.7997 -5.4997
 -5.2130 -4.9358 -4.6688 -4.4097 -4.1558 -3.5283 -2.8753 -2.1773 -1.5073
 -8.6723 -8.3727 -8.1422 -7.8169 -7.4415 -6.9060 -6.3159 -5.8679 -5.5004 -5.1751
 -4.8658 -4.5705 -4.2892 -4.0205 -3.7614 -3.1408 -2.5297 -1.9125 -1.3254 -0.8467
 -8.1450 -7.5770 -7.3045 -7.1884 -6.9942 -6.6931 -6.2351 -5.7216 -5.3042 -4.9499
 -4.6201 -4.3075 -4.0127 -3.7346 -3.4707 -2.8566 -2.2799 -1.7244 -1.2023 -0.7638
 -0.4372
 -7.9483 -7.2488 -6.7868 -6.5185 -6.3951 -6.2824 -6.0473 -5.6659 -5.2112 -4.8199
 -4.4724 -4.1444 -3.8361 -3.5476 -3.2770 -2.6635 -2.1103 -1.5986 -1.1245 -0.7158
 -0.4074 -0.1753
 -7.9583 -7.1596 -6.5793 -6.1759 -5.9066 -5.7280 -5.6088 -5.4455 -5.1541 -4.7704
 -4.4094 -4.0702 -3.7495 -3.4493 -3.1694 -2.5470 -2.0058 -1.5225 -1.0821 -0.6959
 -0.3987 -0.1783 -0.0054  0.1376
 -8.1372 -7.2527 -6.5579 -6.0478 -5.6787 -5.4056 -5.1915 -5.0131 -4.8602 -4.6591
 -4.3715 -4.0572 -3.7360 -3.4257 -3.1347 -2.4935 -1.9529 -1.4852 -1.0672 -0.6984
 -0.4077 -0.1937 -0.0298  0.1036  0.2169  0.3158  0.4046  0.4867  0.5620  0.6222
 -8.4461 -7.4977 -6.7039 -6.0839 -5.6206 -5.2757 -5.0031 -4.7640 -4.5466 -4.3575
 -4.1802 -3.9751 -3.7280 -3.4480 -3.1569 -2.4915 -1.9410 -1.4783 -1.0737 -0.7178
 -0.4305 -0.2187 -0.0603  0.0654  0.1706  0.2618  0.3416  0.4121  0.4746  0.5294
  0.5733
 -8.8279 -7.8578 -6.9865 -6.2660 -5.7010 -5.2690 -4.9364 -4.6639 -4.4186 -4.1867
 -3.9727 -3.7788 -3.5946 -3.3964 -3.1698 -2.5312 -1.9629 -1.4963 -1.0968 -0.7493
 -0.4640 -0.2509 -0.0945  0.0256  0.1236  0.2067  0.2798  0.3436  0.3981  0.4430
  0.4786
 -9.2308 -8.2761 -7.3679 -6.5647 -5.9020 -5.3791 -4.9710 -4.6471 -4.3758 -4.1291
 -3.8935 -3.6684 -3.4590 -3.2669 -3.0809 -2.5677 -2.0074 -1.5306 -1.1303 -0.7864
 -0.5017 -0.2852 -0.1282 -0.0115  0.0803  0.1560  0.2201  0.2753  0.3226  0.3627
  0.3964
 -9.6044 -8.7050 -7.8216 -6.9718 -6.2261 -5.6080 -5.1150 -4.7233 -4.4058 -4.1352
 -3.8890 -3.6528 -3.4233 -3.2059 -3.0045 -2.5440 -2.0657 -1.5893 -1.1823 -0.8368
 -0.5496 -0.3267 -0.1645 -0.0475  0.0401  0.1095  0.1663  0.2143  0.2549  0.2892
  0.3172
 -9.9041 -9.1174 -8.2808 -7.4385 -6.6454 -5.9462 -5.3623 -4.8902 -4.5100 -4.1964
 -3.9265 -3.6806 -3.4447 -3.2147 -2.9941 -2.5089 -2.0821 -1.6516 -1.2442 -0.8939
 -0.6021 -0.3713 -0.2006 -0.0792  0.0073  0.0715  0.1215  0.1620  0.1953  0.2226
  0.2448
-10.1288 -9.4422 -8.6892 -7.9034 -7.1183 -6.3759 -5.7140 -5.1569 -4.6986 -4.3239
 -4.0125 -3.7427 -3.4971 -3.2629 -3.0347 -2.5125 -2.0818 -1.6907 -1.3069
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F390M
-10.0795 -9.4522 -8.8796 -8.3001 -7.5463 -6.8077 -6.3232 -5.9803 -5.6853 -5.4068
 -5.1437 -4.8892 -4.6436 -4.4054 -4.1718 -3.5933 -2.9970 -2.3588 -1.7000
 -8.8372 -8.5941 -8.2359 -7.8492 -7.3743 -6.7105 -6.1311 -5.7210 -5.3884 -5.0883
 -4.8056 -4.5358 -4.2783 -4.0313 -3.7921 -3.2170 -2.6498 -2.0728 -1.5005 -0.9911
 -8.1483 -7.6789 -7.5215 -7.3321 -7.0512 -6.6435 -6.0731 -5.5728 -5.1934 -4.8666
 -4.5662 -4.2820 -4.0132 -3.7584 -3.5148 -2.9425 -2.3991 -1.8697 -1.3599 -0.8987
 -0.5342
 -7.9450 -7.2536 -6.8490 -6.6788 -6.5818 -6.3788 -6.0334 -5.5471 -5.0980 -4.7371
 -4.4202 -4.1226 -3.8425 -3.5787 -3.3292 -2.7551 -2.2272 -1.7315 -1.2663 -0.8420
 -0.4980 -0.2405
 -7.9841 -7.1553 -6.5779 -6.2119 -6.0024 -5.8965 -5.7658 -5.4987 -5.1028 -4.6939
 -4.3552 -4.0460 -3.7548 -3.4810 -3.2233 -2.6399 -2.1188 -1.6445 -1.2098 -0.8137
 -0.4844 -0.2376 -0.0490  0.1046
 -8.2133 -7.2681 -6.5507 -6.0445 -5.7002 -5.4625 -5.2961 -5.1693 -4.9927 -4.7013
 -4.3533 -4.0357 -3.7356 -3.4520 -3.1846 -2.5840 -2.0608 -1.5983 -1.1834 -0.8082
 -0.4903 -0.2491 -0.0685  0.0750  0.1958  0.3005  0.3934  0.4778  0.5550  0.6204
 -8.5839 -7.5566 -6.7131 -6.0741 -5.6127 -5.2807 -5.0288 -4.8204 -4.6473 -4.4922
 -4.2980 -4.0398 -3.7608 -3.4764 -3.2004 -2.5774 -2.0437 -1.5844 -1.1809 -0.8209
