 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -2.9648 -2.6914 -2.4493 -2.2267 -2.0220 -1.8378 -1.6763 -1.5349 -1.4088 -1.2930
 -1.1853 -1.0851 -0.9919 -0.9053 -0.8235 -0.6302 -0.4641 -0.3399 -0.2520 -0.1928
 -0.1540 -0.1263 -0.1034 -0.0823 -0.0621 -0.0424 -0.0235 -0.0071  0.0066  0.0179
  0.0270
 -2.9858 -2.7044 -2.4594 -2.2397 -2.0334 -1.8443 -1.6741 -1.5249 -1.3948 -1.2790
 -1.1731 -1.0746 -0.9823 -0.8956 -0.8139 -0.6285 -0.4670 -0.3396 -0.2486 -0.1871
 -0.1483 -0.1239 -0.1068 -0.0926 -0.0792 -0.0656 -0.0520 -0.0384 -0.0253 -0.0139
 -0.0033
 -3.0208 -2.7331 -2.4843 -2.2634 -2.0561 -1.8646 -1.6886 -1.5299 -1.3908 -1.2696
 -1.1622 -1.0646 -0.9740 -0.8887 -0.8081 -0.6256 -0.4686 -0.3411 -0.2467 -0.1821
 -0.1412 -0.1172 -0.1034 -0.0949 -0.0883 -0.0817 -0.0747 -0.0668 -0.0583 -0.0501
 -0.0429
 -3.0663 -2.7773 -2.5239 -2.2961 -2.0880 -1.8949 -1.7156 -1.5508 -1.4017 -1.2705
 -1.1566 -1.0561 -0.9653 -0.8813 -0.8023 -0.6233 -0.4690 -0.3423 -0.2458
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.0973 -3.8507 -3.4779 -3.1130 -2.7772 -2.4905 -2.2637 -2.0619 -1.8741 -1.7010
 -1.5397 -1.3922 -1.2592 -1.1394 -1.0310 -0.7972 -0.5975 -0.4223 -0.2760
 -3.5700 -3.4443 -3.3022 -3.0020 -2.6832 -2.3925 -2.1495 -1.9458 -1.7602 -1.5900
 -1.4319 -1.2877 -1.1582 -1.0426 -0.9389 -0.7205 -0.5406 -0.3876 -0.2601 -0.1583
 -3.3621 -3.0857 -2.9271 -2.8384 -2.6210 -2.3434 -2.0883 -1.8747 -1.6904 -1.5233
 -1.3684 -1.2267 -1.0992 -0.9854 -0.8838 -0.6730 -0.5043 -0.3652 -0.2513 -0.1602
 -0.0871
 -3.2730 -2.9598 -2.7096 -2.5260 -2.4177 -2.2902 -2.0673 -1.8422 -1.6507 -1.4851
 -1.3334 -1.1939 -1.0677 -0.9547 -0.8538 -0.6457 -0.4828 -0.3520 -0.2474 -0.1645
 -0.0978 -0.0419
 -3.2335 -2.9098 -2.6351 -2.4058 -2.2182 -2.0731 -1.9684 -1.8268 -1.6390 -1.4658
 -1.3161 -1.1788 -1.0536 -0.9409 -0.8399 -0.6317 -0.4709 -0.3447 -0.2462 -0.1697
 -0.1089 -0.0577 -0.0133  0.0265
 -3.2306 -2.8978 -2.6089 -2.3626 -2.1516 -1.9713 -1.8188 -1.6936 -1.5886 -1.4582
 -1.3117 -1.1748 -1.0501 -0.9377 -0.8363 -0.6262 -0.4649 -0.3406 -0.2458 -0.1741
 -0.1188 -0.0729 -0.0326  0.0031  0.0360  0.0646  0.0870  0.1018  0.1084  0.1075
 -3.2584 -2.9171 -2.6145 -2.3538 -2.1315 -1.9416 -1.7745 -1.6240 -1.4919 -1.3819
 -1.2819 -1.1722 -1.0543 -0.9412 -0.8389 -0.6263 -0.4626 -0.3381 -0.2450 -0.1765
 -0.1259 -0.0855 -0.0505 -0.0189  0.0098  0.0370  0.0607  0.0785  0.0884  0.0894
  0.0820
 -3.3054 -2.9622 -2.6482 -2.3717 -2.1345 -1.9326 -1.7592 -1.6051 -1.4650 -1.3380
 -1.2264 -1.1305 -1.0393 -0.9438 -0.8460 -0.6301 -0.4631 -0.3364 -0.2430 -0.1761
 -0.1290 -0.0941 -0.0649 -0.0387 -0.0143  0.0084  0.0306  0.0499  0.0632  0.0682
  0.0634
 -3.3701 -3.0219 -2.7032 -2.4135 -2.1590 -1.9420 -1.7576 -1.5983 -1.4566 -1.3272
 -1.2089 -1.1030 -1.0087 -0.9230 -0.8400 -0.6352 -0.4642 -0.3342 -0.2393 -0.1724
 -0.1272 -0.0966 -0.0735 -0.0535 -0.0348 -0.0169 -0.0001  0.0142  0.0257  0.0349
  0.0418
 -3.4523 -3.1007 -2.7784 -2.4829 -2.2143 -1.9787 -1.7779 -1.6072 -1.4598 -1.3286
 -1.2093 -1.1002 -1.0010 -0.9109 -0.8286 -0.6407 -0.4703 -0.3355 -0.2372 -0.1684
 -0.1227 -0.0943 -0.0761 -0.0625 -0.0502 -0.0383 -0.0267 -0.0152 -0.0044  0.0046
  0.0105
