 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140W
 -0.9151 -1.0295 -1.1159 -1.1197 -1.1269 -1.1134 -1.0741 -1.0588 -1.0487 -1.0387
 -1.0389 -1.0497 -1.0671 -1.0886 -1.1139 -1.1903 -1.2996 -1.4308 -1.5407
 -0.9697 -1.0089 -1.0413 -1.0703 -1.0918 -1.0921 -1.0839 -1.0758 -1.0683 -1.0650
 -1.0694 -1.0813 -1.0988 -1.1211 -1.1476 -1.2295 -1.3287 -1.4378 -1.5503 -1.6635
 -0.9390 -0.9810 -1.0165 -1.0454 -1.0686 -1.0874 -1.0934 -1.0881 -1.0833 -1.0833
 -1.0898 -1.1032 -1.1222 -1.1455 -1.1726 -1.2537 -1.3496 -1.4554 -1.5653 -1.6756
 -1.7856
 -0.9103 -0.9533 -0.9918 -1.0250 -1.0529 -1.0755 -1.0928 -1.1030 -1.1025 -1.1005
 -1.1060 -1.1199 -1.1399 -1.1644 -1.1923 -1.2739 -1.3676 -1.4705 -1.5779 -1.6861
 -1.7937 -1.9005
 -0.8872 -0.9280 -0.9673 -1.0032 -1.0354 -1.0635 -1.0873 -1.1066 -1.1194 -1.1262
 -1.1298 -1.1385 -1.1552 -1.1791 -1.2076 -1.2903 -1.3831 -1.4835 -1.5885 -1.6951
 -1.8010 -1.9058 -2.0097 -2.1129
 -0.8715 -0.9088 -0.9458 -0.9822 -1.0166 -1.0484 -1.0772 -1.1028 -1.1249 -1.1425
 -1.1562 -1.1671 -1.1797 -1.1979 -1.2224 -1.3035 -1.3960 -1.4946 -1.5975 -1.7027
 -1.8075 -1.9111 -2.0133 -2.1144 -2.2152 -2.3157 -2.4155 -2.5144 -2.6122 -2.7088
 -0.8648 -0.8976 -0.9302 -0.9653 -0.9993 -1.0325 -1.0643 -1.0940 -1.1216 -1.1461
 -1.1682 -1.1883 -1.2061 -1.2240 -1.2449 -1.3164 -1.4069 -1.5041 -1.6053 -1.7090
 -1.8130 -1.9159 -2.0171 -2.1168 -2.2151 -2.3120 -2.4083 -2.5046 -2.6015 -2.6986
 -2.7930
 -0.8684 -0.8959 -0.9241 -0.9553 -0.9874 -1.0196 -1.0519 -1.0836 -1.1143 -1.1432
 -1.1704 -1.1962 -1.2209 -1.2443 -1.2673 -1.3335 -1.4176 -1.5124 -1.6119 -1.7141
 -1.8172 -1.9197 -2.0206 -2.1196 -2.2168 -2.3125 -2.4068 -2.5003 -2.5938 -2.6877
 -2.7824
 -0.8836 -0.9053 -0.9290 -0.9548 -0.9841 -1.0140 -1.0444 -1.0755 -1.1072 -1.1382
 -1.1682 -1.1975 -1.2263 -1.2544 -1.2818 -1.3510 -1.4307 -1.5215 -1.6190 -1.7196
 -1.8216 -1.9239 -2.0249 -2.1241 -2.2210 -2.3159 -2.4093 -2.5013 -2.5927 -2.6837
 -2.7743
 -0.9118 -0.9272 -0.9457 -0.9670 -0.9909 -1.0169 -1.0447 -1.0734 -1.1034 -1.1342
 -1.1652 -1.1960 -1.2268 -1.2574 -1.2877 -1.3636 -1.4423 -1.5298 -1.6245 -1.7232
 -1.8237 -1.9249 -2.0257 -2.1252 -2.2224 -2.3172 -2.4100 -2.5008 -2.5903 -2.6788
 -2.7680
 -0.9532 -0.9621 -0.9747 -0.9905 -1.0093 -1.0307 -1.0545 -1.0803 -1.1075 -1.1359
 -1.1655 -1.1960 -1.2271 -1.2587 -1.2907 -1.3711 -1.4523 -1.5375 -1.6296 -1.7265
 -1.8256 -1.9254 -2.0254 -2.1248 -2.2225 -2.3179 -2.4109 -2.5015 -2.5901 -2.6773
 -2.7633
 -1.0040 -1.0074 -1.0146 -1.0251 -1.0389 -1.0555 -1.0748 -1.0965 -1.1204 -1.1459
 -1.1730 -1.2013 -1.2308 -1.2615 -1.2932 -1.3755 -1.4595 -1.5449 -1.6347
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F140W
 -1.0894 -1.1413 -1.1577 -1.1490 -1.1363 -1.1203 -1.1044 -1.0919 -1.0816 -1.0745
 -1.0737 -1.0803 -1.0937 -1.1124 -1.1355 -1.2075 -1.3024 -1.4160 -1.5303
 -1.0468 -1.0830 -1.1199 -1.1460 -1.1400 -1.1292 -1.1193 -1.1101 -1.1017 -1.0963
 -1.0972 -1.1053 -1.1200 -1.1397 -1.1635 -1.2374 -1.3289 -1.4337 -1.5451 -1.6581
 -1.0097 -1.0489 -1.0796 -1.1044 -1.1290 -1.1336 -1.1256 -1.1204 -1.1162 -1.1128
 -1.1147 -1.1237 -1.1392 -1.1598 -1.1843 -1.2590 -1.3490 -1.4507 -1.5592 -1.6695
 -1.7797
 -0.9712 -1.0146 -1.0506 -1.0787 -1.1006 -1.1184 -1.1301 -1.1278 -1.1251 -1.1245
 -1.1276 -1.1371 -1.1530 -1.1742 -1.1994 -1.2754 -1.3650 -1.4645 -1.5707 -1.6790
 -1.7869 -1.8942
 -0.9330 -0.9787 -1.0190 -1.0535 -1.0817 -1.1036 -1.1214 -1.1333 -1.1374 -1.1358
 -1.1378 -1.1469 -1.1628 -1.1843 -1.2101 -1.2875 -1.3774 -1.4756 -1.5799 -1.6868
 -1.7933 -1.8987 -2.0032 -2.1073
 -0.9016 -0.9433 -0.9859 -1.0242 -1.0583 -1.0874 -1.1112 -1.1300 -1.1449 -1.1540
 -1.1563 -1.1603 -1.1722 -1.1920 -1.2176 -1.2962 -1.3868 -1.4845 -1.5873 -1.6930
 -1.7987 -1.9031 -2.0060 -2.1077 -2.2085 -2.3088 -2.4088 -2.5086 -2.6080 -2.7052
 -0.8707 -0.9110 -0.9540 -0.9941 -1.0314 -1.0656 -1.0960 -1.1220 -1.1438 -1.1616
 -1.1752 -1.1848 -1.1936 -1.2070 -1.2271 -1.3027 -1.3938 -1.4914 -1.5932 -1.6979
 -1.8031 -1.9070 -2.0090 -2.1094 -2.2085 -2.3067 -2.4042 -2.5012 -2.5977 -2.6938
 -2.7895
 -0.8478 -0.8848 -0.9260 -0.9660 -1.0044 -1.0409 -1.0756 -1.1074 -1.1357 -1.1605
 -1.1816 -1.1999 -1.2164 -1.2316 -1.2482 -1.3109 -1.3994 -1.4967 -1.5979 -1.7016
 -1.8062 -1.9100 -2.0117 -2.1115 -2.2095 -2.3057 -2.4007 -2.4951 -2.5894 -2.6839
 -2.7789
 -0.8349 -0.8675 -0.9050 -0.9432 -0.9808 -1.0178 -1.0539 -1.0889 -1.1221 -1.1525
 -1.1798 -1.2042 -1.2270 -1.2489 -1.2698 -1.3278 -1.4074 -1.5024 -1.6028 -1.7056
 -1.8095 -1.9132 -2.0154 -2.1153 -2.2130 -2.3087 -2.4029 -2.4961 -2.5885 -2.6800
 -2.7706
 -0.8336 -0.8613 -0.8941 -0.9278 -0.9631 -0.9987 -1.0343 -1.0698 -1.1051 -1.1392
 -1.1713 -1.2010 -1.2286 -1.2553 -1.2813 -1.3451 -1.4188 -1.5078 -1.6060 -1.7075
 -1.8103 -1.9133 -2.0154 -2.1158 -2.2138 -2.3094 -2.4029 -2.4946 -2.5848 -2.6740
 -2.7640
 -0.8449 -0.8666 -0.8939 -0.9227 -0.9543 -0.9869 -1.0206 -1.0549 -1.0898 -1.1249
 -1.1595 -1.1930 -1.2248 -1.2552 -1.2848 -1.3570 -1.4311 -1.5154 -1.6097 -1.7093
 -1.8108 -1.9128 -2.0143 -2.1148 -2.2134 -2.3096 -2.4034 -2.4947 -2.5841 -2.6720
 -2.7587
 -0.8658 -0.8834 -0.9045 -0.9285 -0.9552 -0.9843 -1.0151 -1.0472 -1.0803 -1.1143
 -1.1488 -1.1836 -1.2179 -1.2513 -1.2837 -1.3628 -1.4411 -1.5235 -1.6141
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F140W
 -1.1833 -1.1900 -1.1771 -1.1650 -1.1460 -1.1283 -1.1200 -1.1143 -1.1085 -1.1038
 -1.1036 -1.1086 -1.1196 -1.1361 -1.1572 -1.2247 -1.3092 -1.4095 -1.5215
 -1.1131 -1.1634 -1.1817 -1.1685 -1.1575 -1.1459 -1.1367 -1.1317 -1.1267 -1.1229
 -1.1236 -1.1300 -1.1421 -1.1597 -1.1816 -1.2500 -1.3335 -1.4304 -1.5380 -1.6503
 -1.0746 -1.1057 -1.1386 -1.1668 -1.1593 -1.1507 -1.1455 -1.1421 -1.1395 -1.1370
 -1.1385 -1.1454 -1.1580 -1.1761 -1.1986 -1.2682 -1.3518 -1.4469 -1.5513 -1.6606
 -1.7710
 -1.0372 -1.0728 -1.1001 -1.1225 -1.1464 -1.1526 -1.1469 -1.1461 -1.1473 -1.1474
 -1.1495 -1.1566 -1.1693 -1.1874 -1.2102 -1.2809 -1.3651 -1.4594 -1.5618 -1.6689
 -1.7772 -1.8851
 -0.9951 -1.0375 -1.0713 -1.0974 -1.1172 -1.1342 -1.1477 -1.1484 -1.1495 -1.1538
 -1.1576 -1.1649 -1.1773 -1.1952 -1.2179 -1.2894 -1.3744 -1.4687 -1.5699 -1.6754
 -1.7822 -1.8885 -1.9937 -2.0981
 -0.9502 -0.9979 -1.0378 -1.0711 -1.0975 -1.1184 -1.1354 -1.1491 -1.1568 -1.1590
 -1.1635 -1.1711 -1.1833 -1.2007 -1.2231 -1.2950 -1.3809 -1.4754 -1.5759 -1.6804
 -1.7863 -1.8915 -1.9953 -2.0980 -2.1997 -2.3008 -2.4017 -2.5026 -2.6029 -2.6995
 -0.9054 -0.9559 -1.0006 -1.0394 -1.0731 -1.1016 -1.1249 -1.1438 -1.1595 -1.1716
 -1.1776 -1.1811 -1.1896 -1.2052 -1.2267 -1.2984 -1.3851 -1.4801 -1.5803 -1.6840
 -1.7893 -1.8940 -1.9971 -2.0985 -2.1987 -2.2977 -2.3958 -2.4936 -2.5916 -2.6892
 -2.7837
 -0.8644 -0.9144 -0.9616 -1.0045 -1.0429 -1.0774 -1.1078 -1.1337 -1.1558 -1.1746
 -1.1906 -1.2015 -1.2088 -1.2183 -1.2339 -1.3007 -1.3877 -1.4831 -1.5833 -1.6864
 -1.7911 -1.8957 -1.9986 -2.0995 -2.1985 -2.2961 -2.3924 -2.4878 -2.5829 -2.6779
 -2.7732
 -0.8298 -0.8774 -0.9244 -0.9690 -1.0105 -1.0489 -1.0844 -1.1167 -1.1454 -1.1704
 -1.1926 -1.2117 -1.2276 -1.2414 -1.2550 -1.3073 -1.3902 -1.4860 -1.5863 -1.6890
 -1.7932 -1.8978 -2.0010 -2.1021 -2.2009 -2.2978 -2.3931 -2.4874 -2.5807 -2.6732
 -2.7647
 -0.8039 -0.8475 -0.8915 -0.9355 -0.9779 -1.0184 -1.0569 -1.0933 -1.1275 -1.1586
 -1.1867 -1.2119 -1.2343 -1.2548 -1.2744 -1.3246 -1.3951 -1.4871 -1.5869 -1.6891
 -1.7926 -1.8967 -2.0000 -2.1016 -2.2007 -2.2975 -2.3922 -2.4850 -2.5764 -2.6666
 -2.7563
 -0.7883 -0.8262 -0.8663 -0.9075 -0.9488 -0.9894 -1.0291 -1.0675 -1.1048 -1.1404
 -1.1737 -1.2046 -1.2326 -1.2584 -1.2829 -1.3428 -1.4079 -1.4907 -1.5874 -1.6887
 -1.7915 -1.8948 -1.9979 -2.0997 -2.1995 -2.2967 -2.3916 -2.4842 -2.5747 -2.6637
 -2.7514
 -0.7818 -0.8150 -0.8507 -0.8878 -0.9262 -0.9652 -1.0042 -1.0428 -1.0812 -1.1188
 -1.1555 -1.1908 -1.2240 -1.2548 -1.2838 -1.3532 -1.4220 -1.4990 -1.5894
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F140W
 -1.2001 -1.1907 -1.1784 -1.1680 -1.1510 -1.1327 -1.1245 -1.1215 -1.1197 -1.1160
 -1.1167 -1.1219 -1.1323 -1.1479 -1.1681 -1.2333 -1.3141 -1.4094 -1.5177
 -1.1503 -1.1942 -1.1837 -1.1714 -1.1626 -1.1501 -1.1423 -1.1389 -1.1369 -1.1339
 -1.1354 -1.1416 -1.1530 -1.1696 -1.1906 -1.2571 -1.3375 -1.4301 -1.5344 -1.6455
 -1.0993 -1.1325 -1.1745 -1.1742 -1.1629 -1.1575 -1.1520 -1.1496 -1.1489 -1.1472
 -1.1492 -1.1559 -1.1677 -1.1846 -1.2061 -1.2737 -1.3544 -1.4460 -1.5474 -1.6553
 -1.7656
 -1.0650 -1.0951 -1.1201 -1.1492 -1.1639 -1.1562 -1.1539 -1.1543 -1.1562 -1.1570
 -1.1595 -1.1663 -1.1781 -1.1949 -1.2164 -1.2847 -1.3663 -1.4578 -1.5575 -1.6631
 -1.7711 -1.8793
 -1.0253 -1.0630 -1.0916 -1.1138 -1.1331 -1.1513 -1.1537 -1.1533 -1.1582 -1.1632
 -1.1671 -1.1742 -1.1857 -1.2022 -1.2234 -1.2920 -1.3744 -1.4661 -1.5651 -1.6691
 -1.7755 -1.8820 -1.9877 -2.0927
 -0.9803 -1.0253 -1.0613 -1.0900 -1.1126 -1.1302 -1.1455 -1.1559 -1.1586 -1.1646
 -1.1723 -1.1801 -1.1914 -1.2074 -1.2281 -1.2965 -1.3796 -1.4719 -1.5705 -1.6735
 -1.7789 -1.8843 -1.9886 -2.0918 -2.1941 -2.2960 -2.3976 -2.4986 -2.5984 -2.6955
 -0.9325 -0.9826 -1.0254 -1.0610 -1.0909 -1.1152 -1.1349 -1.1511 -1.1645 -1.1725
 -1.1777 -1.1851 -1.1961 -1.2114 -1.2314 -1.2992 -1.3829 -1.4756 -1.5743 -1.6767
 -1.7812 -1.8860 -1.9895 -2.0915 -2.1922 -2.2920 -2.3910 -2.4894 -2.5875 -2.6852
 -2.7785
 -0.8857 -0.9378 -0.9852 -1.0267 -1.0627 -1.0942 -1.1210 -1.1435 -1.1628 -1.1792
 -1.1923 -1.2003 -1.2065 -1.2173 -1.2347 -1.3005 -1.3845 -1.4778 -1.5765 -1.6786
 -1.7825 -1.8869 -1.9902 -2.0916 -2.1913 -2.2896 -2.3867 -2.4828 -2.5784 -2.6738
 -2.7691
 -0.8429 -0.8945 -0.9438 -0.9892 -1.0301 -1.0669 -1.1000 -1.1294 -1.1550 -1.1774
 -1.1972 -1.2144 -1.2271 -1.2372 -1.2489 -1.3029 -1.3858 -1.4796 -1.5787 -1.6806
 -1.7842 -1.8884 -1.9919 -2.0936 -2.1930 -2.2906 -2.3866 -2.4813 -2.5749 -2.6679
 -2.7605
 -0.8067 -0.8554 -0.9039 -0.9505 -0.9944 -1.0351 -1.0728 -1.1076 -1.1394 -1.1680
 -1.1935 -1.2167 -1.2371 -1.2547 -1.2707 -1.3155 -1.3868 -1.4793 -1.5784 -1.6800
 -1.7830 -1.8868 -1.9904 -2.0924 -2.1922 -2.2896 -2.3850 -2.4785 -2.5706 -2.6615
 -2.7517
 -0.7791 -0.8236 -0.8693 -0.9148 -0.9591 -1.0017 -1.0423 -1.0807 -1.1171 -1.1511
 -1.1824 -1.2110 -1.2372 -1.2608 -1.2827 -1.3352 -1.3969 -1.4800 -1.5775 -1.6787
 -1.7813 -1.8845 -1.9877 -2.0900 -2.1903 -2.2882 -2.3838 -2.4770 -2.5683 -2.6580
 -2.7462
 -0.7602 -0.8004 -0.8423 -0.8851 -0.9279 -0.9703 -1.0117 -1.0519 -1.0909 -1.1285
 -1.1643 -1.1981 -1.2296 -1.2585 -1.2854 -1.3489 -1.4121 -1.4869 -1.5775
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F140W
 -1.2006 -1.1868 -1.1774 -1.1696 -1.1577 -1.1410 -1.1323 -1.1284 -1.1285 -1.1263
 -1.1281 -1.1339 -1.1442 -1.1592 -1.1786 -1.2419 -1.3200 -1.4114 -1.5143
 -1.1909 -1.1965 -1.1819 -1.1732 -1.1671 -1.1569 -1.1498 -1.1466 -1.1452 -1.1434
 -1.1457 -1.1523 -1.1634 -1.1793 -1.1994 -1.2642 -1.3422 -1.4310 -1.5313 -1.6402
 -1.1206 -1.1694 -1.1873 -1.1737 -1.1666 -1.1631 -1.1590 -1.1573 -1.1570 -1.1561
 -1.1588 -1.1657 -1.1770 -1.1931 -1.2135 -1.2792 -1.3578 -1.4461 -1.5440 -1.6497
 -1.7594
 -1.0871 -1.1134 -1.1454 -1.1736 -1.1655 -1.1606 -1.1610 -1.1620 -1.1640 -1.1657
 -1.1686 -1.1757 -1.1869 -1.2028 -1.2231 -1.2890 -1.3684 -1.4569 -1.5537 -1.6571
 -1.7644 -1.8727
 -1.0518 -1.0835 -1.1079 -1.1301 -1.1542 -1.1598 -1.1569 -1.1607 -1.1664 -1.1719
 -1.1761 -1.1832 -1.1943 -1.2098 -1.2296 -1.2953 -1.3753 -1.4644 -1.5608 -1.6628
 -1.7682 -1.8747 -1.9808 -2.0862
 -1.0091 -1.0496 -1.0806 -1.1050 -1.1248 -1.1422 -1.1556 -1.1581 -1.1635 -1.1732
 -1.1813 -1.1891 -1.2000 -1.2150 -1.2343 -1.2992 -1.3797 -1.4693 -1.5657 -1.6668
 -1.7710 -1.8762 -1.9808 -2.0845 -2.1875 -2.2900 -2.3920 -2.4937 -2.5942 -2.6907
 -0.9612 -1.0089 -1.0479 -1.0795 -1.1052 -1.1261 -1.1431 -1.1574 -1.1667 -1.1723
 -1.1825 -1.1931 -1.2045 -1.2191 -1.2377 -1.3015 -1.3822 -1.4723 -1.5689 -1.6696
 -1.7728 -1.8772 -1.9809 -2.0834 -2.1847 -2.2851 -2.3848 -2.4839 -2.5826 -2.6803
 -2.7745
 -0.9114 -0.9634 -1.0089 -1.0476 -1.0802 -1.1080 -1.1315 -1.1510 -1.1679 -1.1816
 -1.1910 -1.1991 -1.2089 -1.2226 -1.2404 -1.3026 -1.3831 -1.4738 -1.5705 -1.6710
 -1.7737 -1.8775 -1.9808 -2.0827 -2.1830 -2.2819 -2.3799 -2.4768 -2.5729 -2.6687
 -2.7641
 -0.8629 -0.9171 -0.9662 -1.0104 -1.0492 -1.0834 -1.1135 -1.1398 -1.1626 -1.1827
 -1.2003 -1.2150 -1.2253 -1.2342 -1.2470 -1.3036 -1.3837 -1.4749 -1.5721 -1.6726
 -1.7751 -1.8785 -1.9818 -2.0838 -2.1838 -2.2820 -2.3789 -2.4743 -2.5686 -2.6622
 -2.7554
 -0.8185 -0.8712 -0.9220 -0.9695 -1.0130 -1.0525 -1.0882 -1.1206 -1.1498 -1.1758
 -1.1992 -1.2205 -1.2393 -1.2542 -1.2669 -1.3095 -1.3829 -1.4737 -1.5710 -1.6714
 -1.7735 -1.8766 -1.9798 -2.0820 -2.1822 -2.2803 -2.3764 -2.4707 -2.5636 -2.6553
 -2.7462
 -0.7812 -0.8310 -0.8805 -0.9286 -0.9744 -1.0175 -1.0575 -1.0947 -1.1294 -1.1612
 -1.1902 -1.2169 -1.2413 -1.2633 -1.2827 -1.3280 -1.3880 -1.4723 -1.5692 -1.6695
 -1.7713 -1.8739 -1.9768 -2.0791 -2.1798 -2.2782 -2.3744 -2.4684 -2.5605 -2.6510
 -2.7399
 -0.7517 -0.7974 -0.8445 -0.8912 -0.9371 -0.9815 -1.0240 -1.0645 -1.1030 -1.1395
 -1.1737 -1.2056 -1.2352 -1.2626 -1.2876 -1.3448 -1.4028 -1.4761 -1.5673
