 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -0.6773 -0.7236 -0.7727 -0.8173 -0.8562 -0.8896 -0.9188 -0.9457 -0.9714 -0.9961
 -1.0199 -1.0432 -1.0663 -1.0896 -1.1126 -1.1706 -1.2356 -1.3083 -1.3884 -1.4752
 -1.5662 -1.6573 -1.7460 -1.8321 -1.9155 -1.9969 -2.0768 -2.1562 -2.2353 -2.3139
 -2.3922
 -0.6374 -0.6815 -0.7297 -0.7739 -0.8167 -0.8555 -0.8901 -0.9213 -0.9506 -0.9786
 -1.0058 -1.0321 -1.0577 -1.0829 -1.1075 -1.1687 -1.2337 -1.3065 -1.3861 -1.4719
 -1.5625 -1.6546 -1.7454 -1.8337 -1.9191 -2.0017 -2.0823 -2.1609 -2.2382 -2.3148
 -2.3923
 -0.6087 -0.6473 -0.6919 -0.7343 -0.7780 -0.8186 -0.8574 -0.8932 -0.9264 -0.9577
 -0.9879 -1.0173 -1.0458 -1.0735 -1.1005 -1.1658 -1.2321 -1.3044 -1.3835 -1.4682
 -1.5576 -1.6496 -1.7415 -1.8319 -1.9196 -2.0044 -2.0865 -2.1661 -2.2437 -2.3199
 -2.3951
 -0.5902 -0.6209 -0.6594 -0.6998 -0.7413 -0.7828 -0.8231 -0.8617 -0.8987 -0.9335
 -0.9667 -0.9989 -1.0302 -1.0607 -1.0902 -1.1609 -1.2300 -1.3025 -1.3807
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.1700 -1.1741 -1.1377 -1.1040 -1.0712 -1.0463 -1.0355 -1.0283 -1.0208 -1.0134
 -1.0095 -1.0101 -1.0153 -1.0244 -1.0368 -1.0802 -1.1389 -1.2108 -1.2960
 -1.0680 -1.1222 -1.1496 -1.1206 -1.0919 -1.0688 -1.0545 -1.0472 -1.0403 -1.0345
 -1.0323 -1.0348 -1.0419 -1.0527 -1.0664 -1.1112 -1.1687 -1.2382 -1.3198 -1.4087
 -1.0277 -1.0385 -1.0687 -1.1128 -1.1040 -1.0821 -1.0666 -1.0585 -1.0534 -1.0489
