 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F438W
 -2.3149 -2.1235 -1.9412 -1.7706 -1.6095 -1.2300 -0.9029 -0.6503 -0.4510 -0.2867
 -0.1528 -0.0475  0.0368  0.1086  0.1737  0.2347  0.2924  0.3461  0.3960  0.4423
  0.4854
 -4.7376 -4.4267 -4.1428 -3.8746 -3.6059 -3.3459 -3.0999 -2.8750 -2.6717 -2.4823
 -2.2986 -2.1163 -1.9369 -1.7646 -1.6020 -1.2372 -0.9198 -0.6613 -0.4604 -0.2978
 -0.1652 -0.0608  0.0200  0.0856  0.1429  0.1958  0.2458  0.2937  0.3393  0.3820
  0.4210
 -4.6740 -4.3646 -4.0894 -3.8360 -3.5821 -3.3373 -3.0965 -2.8665 -2.6540 -2.4608
 -2.2814 -2.1088 -1.9385 -1.7706 -1.6081 -1.2433 -0.9344 -0.6764 -0.4713 -0.3085
 -0.1765 -0.0718  0.0081  0.0698  0.1204  0.1653  0.2070  0.2470  0.2856  0.3224
  0.3569
 -4.6149 -4.3126 -4.0412 -3.7895 -3.5514 -3.3208 -3.0929 -2.8705 -2.6564 -2.4555
 -2.2712 -2.1001 -1.9369 -1.7772 -1.6200 -1.2548 -0.9468 -0.6912 -0.4833
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F438W
 -6.9940 -6.6733 -6.2281 -5.7445 -5.2255 -4.7490 -4.3732 -4.0429 -3.7331 -3.4495
 -3.1840 -2.9383 -2.7135 -2.5066 -2.3132 -1.8673 -1.4477 -1.0457 -0.6849
 -6.1683 -5.9774 -5.7999 -5.4564 -5.0340 -4.5782 -4.1615 -3.8105 -3.4916 -3.2025
 -2.9328 -2.6849 -2.4596 -2.2547 -2.0658 -1.6438 -1.2654 -0.9165 -0.6018 -0.3358
 -5.7925 -5.4041 -5.1926 -5.0793 -4.8234 -4.4479 -4.0397 -3.6624 -3.3328 -3.0381
 -2.7656 -2.5150 -2.2876 -2.0822 -1.8951 -1.4868 -1.1354 -0.8234 -0.5448 -0.3048
 -0.1081
 -5.5955 -5.1526 -4.8145 -4.5789 -4.4365 -4.2648 -3.9498 -3.5873 -3.2430 -2.9391
 -2.6641 -2.4106 -2.1803 -1.9726 -1.7848 -1.3823 -1.0473 -0.7596 -0.5077 -0.2887
 -0.1063  0.0438
 -5.4716 -5.0198 -4.6429 -4.3360 -4.0906 -3.8919 -3.7316 -3.5073 -3.2007 -2.8906
 -2.6120 -2.3559 -2.1218 -1.9104 -1.7198 -1.3170 -0.9904 -0.7182 -0.4851 -0.2830
 -0.1126  0.0282  0.1470  0.2501
 -5.3927 -4.9445 -4.5478 -4.2124 -3.9293 -3.6845 -3.4660 -3.2687 -3.0857 -2.8546
 -2.5898 -2.3363 -2.0998 -1.8839 -1.6890 -1.2803 -0.9561 -0.6928 -0.4724 -0.2837
 -0.1238  0.0088  0.1203  0.2174  0.3041  0.3833  0.4575  0.5289  0.5931  0.6317
 -5.3460 -4.9075 -4.5042 -4.1489 -3.8462 -3.5880 -3.3532 -3.1268 -2.9129 -2.7202
 -2.5318 -2.3208 -2.0979 -1.8829 -1.6841 -1.2654 -0.9383 -0.6790 -0.4667 -0.2879
 -0.1368 -0.0114  0.0930  0.1834  0.2646  0.3388  0.4073  0.4712  0.5314  0.5840
  0.6126
 -5.3142 -4.8964 -4.4953 -4.1282 -3.8048 -3.5273 -3.2862 -3.0628 -2.8448 -2.6330
 -2.4358 -2.2540 -2.0745 -1.8863 -1.6955 -1.2686 -0.9338 -0.6740 -0.4658 -0.2938
 -0.1496 -0.0304  0.0678  0.1512  0.2257  0.2942  0.3587  0.4186  0.4728  0.5205
  0.5613
 -5.2949 -4.8945 -4.5059 -4.1363 -3.7981 -3.5003 -3.2430 -3.0165 -2.8054 -2.5986
 -2.3965 -2.2044 -2.0250 -1.8570 -1.6918 -1.2839 -0.9383 -0.6737 -0.4667 -0.2986
 -0.1593 -0.0449  0.0478  0.1246  0.1918  0.2532  0.3102  0.3630  0.4118  0.4570
  0.4988
 -5.2894 -4.9041 -4.5314 -4.1712 -3.8285 -3.5145 -3.2366 -2.9946 -2.7805 -2.5811
 -2.3870 -2.1966 -2.0128 -1.8394 -1.6778 -1.3034 -0.9606 -0.6849 -0.4744 -0.3070
 -0.1702 -0.0585  0.0308  0.1023  0.1626  0.2164  0.2660  0.3129  0.3571  0.3981
  0.4353
 -5.2949 -4.9040 -4.5502 -4.2089 -3.8768 -3.5586 -3.2653 -3.0035 -2.7740 -2.5699
 -2.3810 -2.1988 -2.0198 -1.8456 -1.6797 -1.3114 -0.9864 -0.7056 -0.4866 -0.3168
 -0.1804 -0.0697  0.0180  0.0863  0.1408  0.1872  0.2290  0.2683  0.3055  0.3407
  0.3735
 -5.3055 -4.9081 -4.5569 -4.2335 -3.9181 -3.6113 -3.3180 -3.0436 -2.7960 -2.5767
 -2.3811 -2.2013 -2.0293 -1.8612 -1.6968 -1.3221 -1.0050 -0.7304 -0.5041
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F438W
 -7.0441 -6.6169 -6.1082 -5.5955 -5.0782 -4.6102 -4.2397 -3.9201 -3.6253 -3.3497
 -3.0931 -2.8547 -2.6364 -2.4368 -2.2523 -1.8324 -1.4426 -1.0681 -0.7178
 -6.2672 -6.1250 -5.8144 -5.3931 -4.9364 -4.4665 -4.0618 -3.7204 -3.4141 -3.1337
 -2.8726 -2.6316 -2.4121 -2.2130 -2.0309 -1.6281 -1.2694 -0.9374 -0.6325 -0.3652
 -5.7974 -5.4859 -5.3746 -5.1692 -4.8074 -4.3927 -3.9692 -3.6007 -3.2821 -2.9953
 -2.7311 -2.4871 -2.2648 -2.0641 -1.8819 -1.4873 -1.1480 -0.8448 -0.5722 -0.3311
 -0.1281
 -5.6136 -5.1768 -4.8822 -4.7313 -4.6012 -4.3061 -3.9322 -3.5510 -3.2128 -2.9162
 -2.6489 -2.4017 -2.1759 -1.9718 -1.7875 -1.3945 -1.0661 -0.7816 -0.5318 -0.3117
 -0.1235  0.0331
 -5.5234 -5.0521 -4.6737 -4.3933 -4.1936 -4.0546 -3.8524 -3.5351 -3.1964 -2.8840
 -2.6105 -2.3601 -2.1302 -1.9217 -1.7336 -1.3369 -1.0132 -0.7401 -0.5061 -0.3023
 -0.1270  0.0203  0.1439  0.2504
 -5.4859 -5.0023 -4.5880 -4.2507 -3.9836 -3.7608 -3.5726 -3.4037 -3.1748 -2.8864
 -2.6044 -2.3506 -2.1165 -1.9029 -1.7098 -1.3049 -0.9809 -0.7143 -0.4907 -0.2994
 -0.1352  0.0035  0.1199  0.2201  0.3088  0.3899  0.4658  0.5352  0.5950  0.6378
 -5.4857 -4.9997 -4.5650 -4.1933 -3.8868 -3.6321 -3.4066 -3.1952 -3.0043 -2.8199
 -2.5999 -2.3587 -2.1258 -1.9084 -1.7096 -1.2927 -0.9642 -0.6998 -0.4827 -0.3006
 -0.1457 -0.0146  0.0949  0.1885  0.2714  0.3465  0.4146  0.4784  0.5389  0.5915
  0.6210
 -5.5041 -5.0301 -4.5856 -4.1900 -3.8513 -3.5691 -3.3283 -3.1079 -2.8955 -2.6933
 -2.5076 -2.3258 -2.1297 -1.9254 -1.7272 -1.2975 -0.9603 -0.6941 -0.4805 -0.3042
 -0.1563 -0.0319  0.0714  0.1585  0.2347  0.3037  0.3680  0.4274  0.4812  0.5288
  0.5700
 -5.5325 -5.0724 -4.6317 -4.2229 -3.8596 -3.5482 -3.2852 -3.0573 -2.8461 -2.6406
 -2.4420 -2.2561 -2.0818 -1.9116 -1.7373 -1.3142 -0.9654 -0.6938 -0.4803 -0.3074
 -0.1645 -0.0456  0.0524  0.1332  0.2024  0.2646  0.3215  0.3744  0.4233  0.4677
  0.5077
 -5.5663 -5.1229 -4.6986 -4.2902 -3.9116 -3.5751 -3.2850 -3.0373 -2.8206 -2.6196
 -2.4246 -2.2351 -2.0544 -1.8842 -1.7242 -1.3407 -0.9876 -0.7055 -0.4880 -0.3152
 -0.1745 -0.0588  0.0354  0.1113  0.1742  0.2291  0.2789  0.3253  0.3686  0.4086
  0.4450
 -5.6071 -5.1649 -4.7610 -4.3682 -3.9906 -3.6395 -3.3254 -3.0522 -2.8168 -2.6096
 -2.4184 -2.2344 -2.0551 -1.8821 -1.7179 -1.3515 -1.0180 -0.7273 -0.5011 -0.3252
 -0.1843 -0.0699  0.0223  0.0949  0.1527  0.2008  0.2431  0.2820  0.3186  0.3529
  0.3852
 -5.6536 -5.2013 -4.8054 -4.4350 -4.0735 -3.7246 -3.3987 -3.1044 -2.8456 -2.6201
 -2.4211 -2.2387 -2.0649 -1.8956 -1.7310 -1.3587 -1.0401 -0.7567 -0.5209
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F438W
 -7.0483 -6.5245 -5.9771 -5.4577 -4.9699 -4.5196 -4.1516 -3.8290 -3.5407 -3.2752
 -3.0271 -2.7958 -2.5828 -2.3883 -2.2096 -1.8086 -1.4420 -1.0913 -0.7530
 -6.4420 -6.1952 -5.7835 -5.3167 -4.8489 -4.3922 -3.9976 -3.6599 -3.3572 -3.0871
 -2.8346 -2.6003 -2.3857 -2.1908 -2.0131 -1.6240 -1.2804 -0.9620 -0.6661 -0.3996
 -5.8332 -5.6592 -5.5162 -5.1833 -4.7699 -4.3377 -3.9214 -3.5617 -3.2477 -2.9696
 -2.7138 -2.4765 -2.2590 -2.0617 -1.8828 -1.4980 -1.1682 -0.8716 -0.6030 -0.3621
 -0.1536
 -5.6234 -5.2192 -5.0166 -4.9229 -4.6698 -4.3026 -3.9063 -3.5251 -3.1940 -2.9051
 -2.6458 -2.4052 -2.1840 -1.9830 -1.8011 -1.4148 -1.0921 -0.8096 -0.5598 -0.3386
 -0.1458  0.0174
 -5.5573 -5.0747 -4.7163 -4.4880 -4.3652 -4.2018 -3.8921 -3.5356 -3.1883 -2.8831
 -2.6164 -2.3724 -2.1472 -1.9416 -1.7553 -1.3629 -1.0423 -0.7683 -0.5314 -0.3253
 -0.1457  0.0077  0.1372  0.2477
 -5.5573 -5.0414 -4.6166 -4.2908 -4.0520 -3.8754 -3.7312 -3.5136 -3.2110 -2.8990
 -2.6169 -2.3681 -2.1387 -1.9281 -1.7365 -1.3343 -1.0116 -0.7421 -0.5139 -0.3188
 -0.1505 -0.0059  0.1163  0.2208  0.3124  0.3947  0.4705  0.5420  0.6056  0.6445
 -5.6044 -5.0693 -4.6062 -4.2259 -3.9238 -3.6854 -3.4813 -3.3020 -3.1293 -2.9071
 -2.6413 -2.3853 -2.1520 -1.9365 -1.7392 -1.3241 -0.9957 -0.7271 -0.5042 -0.3170
 -0.1577 -0.0214  0.0941  0.1922  0.2776  0.3540  0.4235  0.4876  0.5475  0.5998
  0.6289
 -5.6749 -5.1395 -4.6527 -4.2318 -3.8839 -3.6034 -3.3713 -3.1617 -2.9643 -2.7809
 -2.6003 -2.3950 -2.1757 -1.9613 -1.7599 -1.3303 -0.9923 -0.7212 -0.5008 -0.3186
 -0.1660 -0.0366  0.0726  0.1645  0.2436  0.3139  0.3773  0.4350  0.4887  0.5385
  0.5800
 -5.7558 -5.2234 -4.7332 -4.2868 -3.9018 -3.5812 -3.3182 -3.0945 -2.8889 -2.6907
 -2.5017 -2.3248 -2.1512 -1.9699 -1.7833 -1.3481 -0.9980 -0.7210 -0.5001 -0.3207
 -0.1725 -0.0486  0.0549  0.1409  0.2134  0.2771  0.3343  0.3867  0.4349  0.4789
  0.5183
 -5.8373 -5.3269 -4.8414 -4.3848 -3.9733 -3.6173 -3.3184 -3.0691 -2.8545 -2.6563
 -2.4648 -2.2801 -2.1057 -1.9403 -1.7796 -1.3800 -1.0203 -0.7333 -0.5082 -0.3282
 -0.1818 -0.0611  0.0384  0.1196  0.1864  0.2433  0.2937  0.3397  0.3823  0.4213
  0.4566
 -5.9162 -5.4145 -4.9497 -4.5017 -4.0801 -3.6993 -3.3677 -3.0860 -2.8480 -2.6413
 -2.4515 -2.2692 -2.0927 -1.9239 -1.7634 -1.3968 -1.0537 -0.7557 -0.5222 -0.3387
 -0.1916 -0.0721  0.0250  0.1029  0.1650  0.2158  0.2592  0.2982  0.3341  0.3674
  0.3993
 -5.9998 -5.4898 -5.0390 -4.6125 -4.2002 -3.8119 -3.4587 -3.1478 -2.8803 -2.6515
 -2.4519 -2.2699 -2.0969 -1.9294 -1.7675 -1.4004 -1.0800 -0.7880 -0.5437
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F438W
 -7.0004 -6.4175 -5.8504 -5.3414 -4.8780 -4.4545 -4.0982 -3.7697 -3.4778 -3.2260
 -2.9861 -2.7612 -2.5534 -2.3629 -2.1878 -1.7995 -1.4495 -1.1157 -0.7934
 -6.4220 -6.2111 -5.7341 -5.2418 -4.7713 -4.3343 -3.9569 -3.6210 -3.3216 -3.0614
 -2.8174 -2.5899 -2.3802 -2.1887 -2.0138 -1.6334 -1.3004 -0.9920 -0.7034 -0.4386
