 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F110W
 -0.9132 -1.0050 -1.1705 -1.1923 -1.1802 -1.1416 -1.0752 -1.0453 -1.0203 -0.9956
 -0.9767 -0.9635 -0.9531 -0.9463 -0.9439 -0.9535 -0.9923 -1.0709 -1.1645
 -0.9790 -0.9937 -1.0091 -1.0359 -1.0755 -1.0904 -1.0755 -1.0523 -1.0304 -1.0125
 -0.9986 -0.9883 -0.9813 -0.9777 -0.9777 -0.9963 -1.0430 -1.1098 -1.1843 -1.2610
 -0.9305 -0.9479 -0.9602 -0.9716 -0.9861 -1.0127 -1.0404 -1.0461 -1.0365 -1.0232
 -1.0136 -1.0069 -1.0027 -1.0013 -1.0030 -1.0231 -1.0679 -1.1327 -1.2061 -1.2813
 -1.3567
 -0.8812 -0.9057 -0.9219 -0.9340 -0.9451 -0.9569 -0.9731 -0.9972 -1.0154 -1.0207
 -1.0192 -1.0170 -1.0162 -1.0173 -1.0208 -1.0434 -1.0873 -1.1504 -1.2232 -1.2979
 -1.3723 -1.4460
 -0.8277 -0.8608 -0.8842 -0.9007 -0.9142 -0.9268 -0.9397 -0.9537 -0.9719 -0.9907
 -1.0054 -1.0143 -1.0202 -1.0254 -1.0314 -1.0572 -1.1013 -1.1636 -1.2360 -1.3111
 -1.3854 -1.4587 -1.5311 -1.6028
 -0.7714 -0.8110 -0.8426 -0.8661 -0.8842 -0.8998 -0.9149 -0.9298 -0.9448 -0.9604
 -0.9778 -0.9949 -1.0092 -1.0216 -1.0333 -1.0650 -1.1099 -1.1715 -1.2439 -1.3205
 -1.3960 -1.4699 -1.5424 -1.6136 -1.6839 -1.7539 -1.8243 -1.8956 -1.9682 -2.0423
 -0.7154 -0.7586 -0.7961 -0.8270 -0.8514 -0.8717 -0.8899 -0.9074 -0.9247 -0.9414
 -0.9578 -0.9747 -0.9917 -1.0082 -1.0243 -1.0660 -1.1137 -1.1740 -1.2470 -1.3255
 -1.4033 -1.4789 -1.5524 -1.6242 -1.6945 -1.7627 -1.8303 -1.8990 -1.9702 -2.0441
 -2.1183
 -0.6626 -0.7071 -0.7474 -0.7831 -0.8140 -0.8401 -0.8627 -0.8834 -0.9034 -0.9228
 -0.9415 -0.9595 -0.9771 -0.9949 -1.0127 -1.0599 -1.1127 -1.1736 -1.2458 -1.3255
 -1.4061 -1.4845 -1.5601 -1.6333 -1.7046 -1.7740 -1.8413 -1.9081 -1.9759 -2.0463
 -2.1200
 -0.6158 -0.6596 -0.7003 -0.7371 -0.7728 -0.8042 -0.8321 -0.8570 -0.8803 -0.9023
 -0.9236 -0.9442 -0.9642 -0.9835 -1.0026 -1.0526 -1.1085 -1.1712 -1.2425 -1.3225
 -1.4053 -1.4869 -1.5656 -1.6414 -1.7146 -1.7854 -1.8544 -1.9219 -1.9893 -2.0569
 -2.1245
 -0.5782 -0.6194 -0.6585 -0.6957 -0.7311 -0.7649 -0.7969 -0.8263 -0.8536 -0.8790
 -0.9030 -0.9263 -0.9488 -0.9705 -0.9917 -1.0452 -1.1025 -1.1662 -1.2371 -1.3158
 -1.3991 -1.4829 -1.5649 -1.6439 -1.7199 -1.7930 -1.8637 -1.9323 -1.9993 -2.0654
 -2.1319
 -0.5520 -0.5884 -0.6241 -0.6591 -0.6934 -0.7271 -0.7602 -0.7925 -0.8233 -0.8523
 -0.8796 -0.9058 -0.9310 -0.9555 -0.9794 -1.0375 -1.0966 -1.1609 -1.2317 -1.3088
 -1.3912 -1.4756 -1.5596 -1.6417 -1.7209 -1.7970 -1.8704 -1.9410 -2.0095 -2.0764
 -2.1423
 -0.5374 -0.5639 -0.5935 -0.6252 -0.6583 -0.6919 -0.7256 -0.7588 -0.7913 -0.8229
 -0.8534 -0.8827 -0.9108 -0.9379 -0.9643 -1.0283 -1.0908 -1.1557 -1.2262
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F110W
 -1.1400 -1.1964 -1.2173 -1.1877 -1.1469 -1.1061 -1.0718 -1.0445 -1.0204 -0.9996
 -0.9840 -0.9735 -0.9670 -0.9638 -0.9638 -0.9774 -1.0124 -1.0729 -1.1526
 -1.0692 -1.0807 -1.1139 -1.1556 -1.1475 -1.1163 -1.0851 -1.0595 -1.0376 -1.0195
 -1.0067 -0.9988 -0.9945 -0.9932 -0.9947 -1.0111 -1.0474 -1.1053 -1.1770 -1.2531
 -1.0231 -1.0289 -1.0338 -1.0474 -1.0830 -1.1042 -1.0896 -1.0673 -1.0482 -1.0326
 -1.0220 -1.0161 -1.0137 -1.0142 -1.0172 -1.0359 -1.0724 -1.1280 -1.1978 -1.2725
 -1.3480
 -0.9776 -0.9896 -0.9941 -0.9955 -1.0020 -1.0212 -1.0504 -1.0609 -1.0514 -1.0392
 -1.0307 -1.0265 -1.0259 -1.0280 -1.0324 -1.0538 -1.0912 -1.1455 -1.2138 -1.2879
 -1.3626 -1.4367
 -0.9265 -0.9488 -0.9598 -0.9653 -0.9698 -0.9751 -0.9853 -1.0030 -1.0247 -1.0330
 -1.0321 -1.0307 -1.0320 -1.0357 -1.0415 -1.0656 -1.1043 -1.1581 -1.2255 -1.2996
 -1.3745 -1.4485 -1.5215 -1.5945
 -0.8718 -0.9015 -0.9226 -0.9344 -0.9422 -0.9492 -0.9561 -0.9642 -0.9765 -0.9946
 -1.0116 -1.0231 -1.0308 -1.0376 -1.0453 -1.0722 -1.1123 -1.1662 -1.2331 -1.3078
 -1.3839 -1.4587 -1.5319 -1.6040 -1.6747 -1.7449 -1.8158 -1.8882 -1.9625 -2.0373
 -0.8087 -0.8470 -0.8785 -0.8996 -0.9135 -0.9243 -0.9342 -0.9438 -0.9538 -0.9653
 -0.9798 -0.9973 -1.0140 -1.0285 -1.0416 -1.0743 -1.1160 -1.1702 -1.2367 -1.3121
 -1.3901 -1.4666 -1.5411 -1.6137 -1.6849 -1.7545 -1.8236 -1.8933 -1.9646 -2.0381
 -2.1136
 -0.7439 -0.7868 -0.8268 -0.8576 -0.8801 -0.8966 -0.9106 -0.9236 -0.9364 -0.9490
 -0.9620 -0.9764 -0.9930 -1.0106 -1.0278 -1.0705 -1.1160 -1.1708 -1.2368 -1.3124
 -1.3923 -1.4714 -1.5480 -1.6222 -1.6943 -1.7638 -1.8319 -1.9000 -1.9694 -2.0409
 -2.1152
 -0.6807 -0.7254 -0.7700 -0.8085 -0.8396 -0.8641 -0.8836 -0.9006 -0.9169 -0.9326
 -0.9479 -0.9632 -0.9790 -0.9958 -1.0135 -1.0605 -1.1121 -1.1691 -1.2350 -1.3102
 -1.3914 -1.4733 -1.5528 -1.6295 -1.7035 -1.7753 -1.8453 -1.9146 -1.9833 -2.0516
 -2.1193
 -0.6221 -0.6674 -0.7136 -0.7545 -0.7920 -0.8240 -0.8508 -0.8734 -0.8936 -0.9128
 -0.9313 -0.9493 -0.9669 -0.9845 -1.0024 -1.0504 -1.1042 -1.1640 -1.2303 -1.3045
 -1.3855 -1.4692 -1.5517 -1.6315 -1.7082 -1.7822 -1.8539 -1.9235 -1.9916 -2.0588
 -2.1262
 -0.5713 -0.6136 -0.6590 -0.7007 -0.7416 -0.7778 -0.8108 -0.8399 -0.8656 -0.8888
