 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.4774 -3.3827 -3.6146 -3.5374 -3.3028 -3.0050 -2.6889 -2.4669 -2.2627 -2.0585
 -1.8730 -1.7033 -1.5450 -1.3956 -1.2548 -0.9568 -0.6698 -0.4251 -0.2792
 -3.4314 -3.1750 -2.9693 -2.8289 -2.7452 -2.6250 -2.4326 -2.2197 -2.0201 -1.8326
 -1.6581 -1.4970 -1.3491 -1.2129 -1.0869 -0.8093 -0.5802 -0.4026 -0.2733 -0.1777
 -3.1673 -2.9183 -2.6976 -2.5096 -2.3553 -2.2471 -2.1569 -2.0206 -1.8491 -1.6721
 -1.5097 -1.3601 -1.2226 -1.0967 -0.9815 -0.7348 -0.5375 -0.3846 -0.2712 -0.1856
 -0.1182
 -2.9527 -2.7272 -2.5170 -2.3275 -2.1589 -2.0093 -1.8829 -1.7855 -1.6840 -1.5520
 -1.4055 -1.2653 -1.1368 -1.0189 -0.9111 -0.6836 -0.5075 -0.3740 -0.2732 -0.1961
 -0.1339 -0.0820
 -2.7706 -2.5674 -2.3762 -2.1975 -2.0337 -1.8836 -1.7460 -1.6219 -1.5184 -1.4223
 -1.3178 -1.1991 -1.0793 -0.9676 -0.8655 -0.6502 -0.4867 -0.3660 -0.2762 -0.2071
 -0.1504 -0.1021 -0.0603 -0.0239
 -2.6172 -2.4290 -2.2555 -2.0914 -1.9378 -1.7947 -1.6615 -1.5379 -1.4246 -1.3214
 -1.2274 -1.1348 -1.0360 -0.9344 -0.8366 -0.6292 -0.4726 -0.3592 -0.2773 -0.2161
 -0.1655 -0.1218 -0.0834 -0.0488 -0.0165  0.0118  0.0341  0.0488  0.0547  0.0512
 -2.4930 -2.3127 -2.1486 -1.9981 -1.8555 -1.7216 -1.5958 -1.4777 -1.3680 -1.2657
 -1.1697 -1.0793 -0.9922 -0.9051 -0.8174 -0.6169 -0.4631 -0.3518 -0.2749 -0.2203
 -0.1768 -0.1389 -0.1050 -0.0741 -0.0454 -0.0171  0.0081  0.0269  0.0365  0.0357
  0.0261
 -2.3986 -2.2200 -2.0588 -1.9142 -1.7810 -1.6559 -1.5380 -1.4266 -1.3221 -1.2240
 -1.1316 -1.0437 -0.9591 -0.8775 -0.7977 -0.6110 -0.4582 -0.3465 -0.2700 -0.2190
 -0.1817 -0.1507 -0.1227 -0.0966 -0.0722 -0.0487 -0.0247 -0.0034  0.0114  0.0168
  0.0109
 -2.3344 -2.1524 -1.9890 -1.8399 -1.7115 -1.5927 -1.4817 -1.3771 -1.2785 -1.1851
 -1.0966 -1.0129 -0.9326 -0.8546 -0.7786 -0.6027 -0.4549 -0.3426 -0.2637 -0.2129
 -0.1795 -0.1548 -0.1338 -0.1142 -0.0951 -0.0762 -0.0577 -0.0401 -0.0259 -0.0154
 -0.0082
 -2.3011 -2.1114 -1.9417 -1.7904 -1.6556 -1.5360 -1.4291 -1.3297 -1.2366 -1.1485
 -1.0647 -0.9849 -0.9087 -0.8346 -0.7627 -0.5957 -0.4526 -0.3407 -0.2598 -0.2064
 -0.1731 -0.1521 -0.1372 -0.1246 -0.1122 -0.0994 -0.0861 -0.0725 -0.0592 -0.0474
 -0.0364
 -2.2958 -2.0953 -1.9164 -1.7571 -1.6157 -1.4904 -1.3801 -1.2825 -1.1931 -1.1096
 -1.0308 -0.9556 -0.8833 -0.8140 -0.7469 -0.5883 -0.4493 -0.3384 -0.2566 -0.2005
 -0.1655 -0.1448 -0.1334 -0.1266 -0.1212 -0.1153 -0.1086 -0.1006 -0.0918 -0.0830
 -0.0751
 -2.3057 -2.0932 -1.9040 -1.7358 -1.5868 -1.4553 -1.3398 -1.2385 -1.1487 -1.0676
 -0.9929 -0.9226 -0.8552 -0.7900 -0.7269 -0.5786 -0.4449 -0.3353 -0.2529
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F547M
 -3.8123 -3.6988 -3.5402 -3.2637 -2.9583 -2.6727 -2.4288 -2.2168 -2.0193 -1.8323
 -1.6591 -1.5020 -1.3597 -1.2297 -1.1099 -0.8518 -0.6199 -0.4197 -0.2752
 -3.4247 -3.1866 -3.0485 -2.9582 -2.7617 -2.5030 -2.2569 -2.0445 -1.8532 -1.6736
 -1.5082 -1.3585 -1.2237 -1.1021 -0.9916 -0.7529 -0.5542 -0.3910 -0.2648 -0.1695
 -3.2029 -2.9420 -2.7253 -2.5599 -2.4636 -2.3467 -2.1439 -1.9292 -1.7400 -1.5686
 -1.4102 -1.2667 -1.1374 -1.0209 -0.9158 -0.6932 -0.5145 -0.3714 -0.2605 -0.1755
 -0.1081
 -3.0439 -2.7915 -2.5670 -2.3658 -2.1971 -2.0716 -1.9779 -1.8455 -1.6683 -1.5004
 -1.3475 -1.2095 -1.0848 -0.9720 -0.8702 -0.6566 -0.4895 -0.3595 -0.2601 -0.1836
 -0.1219 -0.0702
 -2.9215 -2.6805 -2.4622 -2.2662 -2.0899 -1.9293 -1.7900 -1.6763 -1.5780 -1.4527
 -1.3103 -1.1746 -1.0531 -0.9437 -0.8443 -0.6354 -0.4745 -0.3523 -0.2612 -0.1920
 -0.1360 -0.0884 -0.0471 -0.0121
 -2.8392 -2.5951 -2.3828 -2.1908 -2.0177 -1.8594 -1.7117 -1.5753 -1.4562 -1.3583
 -1.2622 -1.1516 -1.0361 -0.9275 -0.8298 -0.6239 -0.4654 -0.3472 -0.2616 -0.1988
 -0.1488 -0.1061 -0.0684 -0.0347 -0.0032  0.0243  0.0457  0.0592  0.0638  0.0597
 -2.7771 -2.5324 -2.3223 -2.1325 -1.9617 -1.8075 -1.6652 -1.5314 -1.4062 -1.2930
 -1.1932 -1.1042 -1.0139 -0.9183 -0.8232 -0.6183 -0.4602 -0.3430 -0.2599 -0.2018
 -0.1581 -0.1212 -0.0883 -0.0583 -0.0308 -0.0041  0.0194  0.0368  0.0458  0.0449
  0.0347
 -2.7422 -2.4929 -2.2810 -2.0896 -1.9184 -1.7648 -1.6263 -1.4982 -1.3778 -1.2647
 -1.1605 -1.0655 -0.9793 -0.8975 -0.8150 -0.6166 -0.4575 -0.3395 -0.2564 -0.2005
 -0.1621 -0.1315 -0.1045 -0.0796 -0.0561 -0.0315 -0.0082  0.0108  0.0229  0.0262
  0.0195
 -2.7395 -2.4789 -2.2579 -2.0618 -1.8865 -1.7304 -1.5916 -1.4661 -1.3505 -1.2421
 -1.1403 -1.0453 -0.9571 -0.8751 -0.7978 -0.6146 -0.4559 -0.3358 -0.2511 -0.1951
 -0.1595 -0.1348 -0.1145 -0.0959 -0.0778 -0.0601 -0.0430 -0.0283 -0.0162 -0.0065
  0.0011
 -2.7717 -2.4927 -2.2596 -2.0567 -1.8742 -1.7119 -1.5683 -1.4410 -1.3268 -1.2219
 -1.1240 -1.0320 -0.9453 -0.8638 -0.7868 -0.6115 -0.4581 -0.3357 -0.2479 -0.1893
 -0.1535 -0.1319 -0.1174 -0.1055 -0.0941 -0.0823 -0.0702 -0.0579 -0.0461 -0.0357
 -0.0261
 -2.8287 -2.5346 -2.2880 -2.0739 -1.8819 -1.7103 -1.5585 -1.4246 -1.3070 -1.2020
 -1.1063 -1.0174 -0.9336 -0.8543 -0.7790 -0.6074 -0.4587 -0.3369 -0.2461 -0.1842
 -0.1460 -0.1246 -0.1134 -0.1072 -0.1025 -0.0976 -0.0919 -0.0852 -0.0777 -0.0701
 -0.0637
 -2.9069 -2.6048 -2.3430 -2.1127 -1.9090 -1.7276 -1.5658 -1.4224 -1.2964 -1.1861
 -1.0888 -1.0009 -0.9196 -0.8430 -0.7703 -0.6037 -0.4582 -0.3377 -0.2452
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.9609 -3.7249 -3.3617 -3.0111 -2.6940 -2.4248 -2.2099 -2.0166 -1.8335 -1.6605
 -1.4985 -1.3507 -1.2181 -1.0995 -0.9925 -0.7636 -0.5704 -0.4030 -0.2648
 -3.4534 -3.3382 -3.2010 -2.9055 -2.5974 -2.3219 -2.0927 -1.8987 -1.7190 -1.5503
 -1.3927 -1.2495 -1.1214 -1.0075 -0.9057 -0.6924 -0.5185 -0.3723 -0.2519 -0.1570
 -3.2434 -2.9892 -2.8390 -2.7529 -2.5379 -2.2687 -2.0263 -1.8241 -1.6472 -1.4836
 -1.3306 -1.1910 -1.0658 -0.9545 -0.8552 -0.6496 -0.4864 -0.3532 -0.2453 -0.1603
 -0.0928
 -3.1357 -2.8559 -2.6243 -2.4485 -2.3431 -2.2182 -2.0014 -1.7862 -1.6040 -1.4440
 -1.2955 -1.1591 -1.0362 -0.9264 -0.8284 -0.6261 -0.4681 -0.3425 -0.2431 -0.1656
 -0.1039 -0.0527
