 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.7006 -0.7411 -0.7743 -0.7970 -0.8090 -0.8122 -0.8097 -0.8049 -0.8004 -0.7969
 -0.7942 -0.7927 -0.7931 -0.7967 -0.8037 -0.8289 -0.8554 -0.8845 -0.9263 -0.9824
 -1.0478 -1.1152 -1.1805 -1.2430 -1.3029 -1.3606 -1.4164 -1.4714 -1.5259 -1.5799
 -1.6334
 -0.5975 -0.6453 -0.6868 -0.7186 -0.7430 -0.7587 -0.7674 -0.7708 -0.7717 -0.7719
 -0.7723 -0.7732 -0.7746 -0.7771 -0.7817 -0.8045 -0.8372 -0.8742 -0.9178 -0.9730
 -1.0387 -1.1089 -1.1785 -1.2454 -1.3093 -1.3704 -1.4293 -1.4860 -1.5410 -1.5951
 -1.6490
 -0.4954 -0.5467 -0.5940 -0.6331 -0.6671 -0.6926 -0.7122 -0.7260 -0.7354 -0.7415
 -0.7464 -0.7510 -0.7555 -0.7601 -0.7654 -0.7863 -0.8192 -0.8602 -0.9072 -0.9622
 -1.0268 -1.0979 -1.1705 -1.2417 -1.3100 -1.3754 -1.4381 -1.4982 -1.5561 -1.6123
 -1.6676
 -0.3949 -0.4454 -0.4959 -0.5416 -0.5822 -0.6170 -0.6456 -0.6688 -0.6875 -0.7022
 -0.7136 -0.7233 -0.7321 -0.7405 -0.7486 -0.7719 -0.8043 -0.8462 -0.8954
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.5545 -1.5355 -1.4443 -1.3436 -1.2428 -1.1581 -1.1005 -1.0525 -1.0068 -0.9642
 -0.9285 -0.8983 -0.8726 -0.8502 -0.8306 -0.7951 -0.7807 -0.7917 -0.8300
 -1.3650 -1.3939 -1.4076 -1.3411 -1.2571 -1.1764 -1.1116 -1.0619 -1.0164 -0.9759
 -0.9423 -0.9144 -0.8908 -0.8704 -0.8527 -0.8214 -0.8102 -0.8224 -0.8589 -0.9091
 -1.2843 -1.2420 -1.2424 -1.2757 -1.2483 -1.1848 -1.1209 -1.0681 -1.0238 -0.9846
 -0.9524 -0.9260 -0.9038 -0.8850 -0.8689 -0.8410 -0.8326 -0.8459 -0.8810 -0.9303
 -0.9842
 -1.2321 -1.1830 -1.1395 -1.1207 -1.1403 -1.1545 -1.1203 -1.0718 -1.0280 -0.9900
 -0.9588 -0.9335 -0.9125 -0.8950 -0.8801 -0.8550 -0.8490 -0.8634 -0.8977 -0.9463
 -1.0006 -1.0553
 -1.1774 -1.1415 -1.0968 -1.0560 -1.0304 -1.0273 -1.0470 -1.0513 -1.0254 -0.9916
 -0.9614 -0.9372 -0.9173 -0.9008 -0.8871 -0.8644 -0.8603 -0.8759 -0.9099 -0.9582
 -1.0132 -1.0691 -1.1241 -1.1774
 -1.1121 -1.0951 -1.0620 -1.0229 -0.9877 -0.9618 -0.9489 -0.9519 -0.9673 -0.9713
 -0.9558 -0.9361 -0.9182 -0.9030 -0.8904 -0.8699 -0.8674 -0.8839 -0.9181 -0.9664
 -1.0225 -1.0801 -1.1367 -1.1920 -1.2454 -1.2985 -1.3528 -1.4097 -1.4692 -1.5287
 -1.0338 -1.0359 -1.0208 -0.9931 -0.9611 -0.9323 -0.9097 -0.8944 -0.8883 -0.8940
 -0.9057 -0.9112 -0.9083 -0.8998 -0.8898 -0.8719 -0.8708 -0.8882 -0.9226 -0.9709
 -1.0282 -1.0881 -1.1470 -1.2043 -1.2601 -1.3138 -1.3670 -1.4215 -1.4788 -1.5393
 -1.6007
 -0.9438 -0.9622 -0.9656 -0.9545 -0.9334 -0.9087 -0.8859 -0.8676 -0.8543 -0.8467
 -0.8459 -0.8520 -0.8622 -0.8712 -0.8756 -0.8704 -0.8709 -0.8891 -0.9235 -0.9717
 -1.0299 -1.0923 -1.1542 -1.2143 -1.2724 -1.3288 -1.3830 -1.4366 -1.4916 -1.5495
 -1.6113
 -0.8452 -0.8759 -0.8950 -0.9009 -0.8949 -0.8807 -0.8633 -0.8467 -0.8331 -0.8231
 -0.8169 -0.8147 -0.8174 -0.8251 -0.8355 -0.8574 -0.8675 -0.8869 -0.9215 -0.9695
 -1.0281 -1.0928 -1.1583 -1.2219 -1.2832 -1.3423 -1.3997 -1.4564 -1.5126 -1.5683
 -1.6235
 -0.7410 -0.7813 -0.8116 -0.8322 -0.8416 -0.8415 -0.8344 -0.8239 -0.8134 -0.8046
 -0.7983 -0.7946 -0.7935 -0.7957 -0.8015 -0.8276 -0.8553 -0.8809 -0.9160 -0.9632
 -1.0213 -1.0872 -1.1558 -1.2234 -1.2885 -1.3511 -1.4116 -1.4700 -1.5267 -1.5826
 -1.6387
 -0.6337 -0.6793 -0.7188 -0.7505 -0.7732 -0.7868 -0.7927 -0.7924 -0.7887 -0.7839
 -0.7800 -0.7777 -0.7769 -0.7780 -0.7812 -0.8009 -0.8330 -0.8687 -0.9075 -0.9546
 -1.0116 -1.0774 -1.1481 -1.2193 -1.2886 -1.3552 -1.4194 -1.4811 -1.5407 -1.5987
 -1.6556
 -0.5237 -0.5739 -0.6198 -0.6594 -0.6919 -0.7172 -0.7355 -0.7471 -0.7535 -0.7562
 -0.7571 -0.7581 -0.7598 -0.7624 -0.7661 -0.7827 -0.8123 -0.8514 -0.8954
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F098M
 -1.6043 -1.5329 -1.4210 -1.3164 -1.2170 -1.1336 -1.0775 -1.0347 -0.9952 -0.9543
 -0.9202 -0.8921 -0.8688 -0.8491 -0.8322 -0.8012 -0.7876 -0.7940 -0.8242
