 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.5194 -0.5650 -0.6052 -0.6385 -0.6639 -0.6824 -0.6957 -0.7060 -0.7151 -0.7242
 -0.7337 -0.7438 -0.7545 -0.7662 -0.7788 -0.8130 -0.8494 -0.8874 -0.9353 -0.9958
 -1.0629 -1.1300 -1.1944 -1.2560 -1.3150 -1.3716 -1.4264 -1.4793 -1.5314 -1.5836
 -1.6387
 -0.4418 -0.4906 -0.5358 -0.5759 -0.6096 -0.6366 -0.6576 -0.6740 -0.6876 -0.6998
 -0.7115 -0.7235 -0.7356 -0.7478 -0.7603 -0.7937 -0.8323 -0.8756 -0.9251 -0.9850
 -1.0532 -1.1237 -1.1926 -1.2588 -1.3218 -1.3820 -1.4399 -1.4955 -1.5494 -1.6024
 -1.6551
 -0.3626 -0.4130 -0.4602 -0.5045 -0.5441 -0.5787 -0.6076 -0.6313 -0.6511 -0.6683
 -0.6839 -0.6990 -0.7138 -0.7282 -0.7425 -0.7781 -0.8171 -0.8626 -0.9140 -0.9732
 -1.0407 -1.1125 -1.1847 -1.2552 -1.3228 -1.3872 -1.4490 -1.5081 -1.5650 -1.6202
 -1.6744
 -0.2864 -0.3355 -0.3832 -0.4291 -0.4720 -0.5116 -0.5471 -0.5780 -0.6048 -0.6281
 -0.6490 -0.6684 -0.6917 -0.7076 -0.7254 -0.7662 -0.8038 -0.8484 -0.9020
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.6439 -0.6724 -0.7114 -0.7565 -0.8033 -0.8469 -0.8835 -0.9097 -0.9234 -0.9233
 -0.9093 -0.8853 -0.8570 -0.8315 -0.8102 -0.7762 -0.7705 -0.7931 -0.8406
 -0.6284 -0.6454 -0.6759 -0.7165 -0.7625 -0.8088 -0.8508 -0.8847 -0.9082 -0.9192
 -0.9164 -0.9010 -0.8783 -0.8561 -0.8373 -0.8083 -0.8042 -0.8270 -0.8704 -0.9225
 -0.6335 -0.6385 -0.6658 -0.7010 -0.7378 -0.7777 -0.8184 -0.8552 -0.8846 -0.9044
 -0.9124 -0.9075 -0.8918 -0.8731 -0.8566 -0.8321 -0.8305 -0.8522 -0.8938 -0.9450
 -0.9988
 -0.6746 -0.6665 -0.6687 -0.6835 -0.7133 -0.7562 -0.7979 -0.8324 -0.8614 -0.8842
 -0.8989 -0.9040 -0.8976 -0.8836 -0.8695 -0.8491 -0.8500 -0.8716 -0.9117 -0.9626
 -1.0166 -1.0706
 -0.7048 -0.6988 -0.6971 -0.7003 -0.7096 -0.7277 -0.7562 -0.7928 -0.8320 -0.8618
 -0.8810 -0.8917 -0.8942 -0.8874 -0.8766 -0.8601 -0.8635 -0.8856 -0.9249 -0.9759
 -1.0308 -1.0858 -1.1399 -1.1931
 -0.7147 -0.7153 -0.7166 -0.7185 -0.7221 -0.7293 -0.7409 -0.7574 -0.7801 -0.8104
 -0.8417 -0.8657 -0.8791 -0.8822 -0.8776 -0.8659 -0.8715 -0.8944 -0.9337 -0.9852
 -1.0417 -1.0984 -1.1539 -1.2082 -1.2613 -1.3129 -1.3649 -1.4197 -1.4778 -1.5365
 -0.7019 -0.7125 -0.7205 -0.7261 -0.7298 -0.7334 -0.7386 -0.7465 -0.7575 -0.7715
 -0.7901 -0.8140 -0.8383 -0.8566 -0.8661 -0.8666 -0.8746 -0.8985 -0.9379 -0.9900
 -1.0487 -1.1080 -1.1657 -1.2219 -1.2764 -1.3295 -1.3818 -1.4342 -1.4884 -1.5475
 -1.6082
 -0.6660 -0.6882 -0.7060 -0.7187 -0.7267 -0.7317 -0.7355 -0.7398 -0.7458 -0.7539
 -0.7637 -0.7761 -0.7928 -0.8124 -0.8306 -0.8592 -0.8733 -0.8984 -0.9378 -0.9902
 -1.0508 -1.1134 -1.1743 -1.2331 -1.2899 -1.3449 -1.3985 -1.4510 -1.5034 -1.5586
 -1.6191
 -0.6098 -0.6430 -0.6714 -0.6936 -0.7091 -0.7192 -0.7255 -0.7302 -0.7350 -0.7408
 -0.7479 -0.7563 -0.7664 -0.7793 -0.7945 -0.8340 -0.8658 -0.8946 -0.9344 -0.9867
 -1.0487 -1.1146 -1.1794 -1.2419 -1.3018 -1.3595 -1.4153 -1.4695 -1.5227 -1.5768
 -1.6322
 -0.5393 -0.5811 -0.6184 -0.6498 -0.6745 -0.6923 -0.7046 -0.7130 -0.7196 -0.7260
 -0.7329 -0.7407 -0.7494 -0.7593 -0.7707 -0.8067 -0.8468 -0.8854 -0.9271 -0.9788
 -1.0408 -1.1088 -1.1775 -1.2441 -1.3080 -1.3692 -1.4281 -1.4849 -1.5400 -1.5942
 -1.6480
 -0.4603 -0.5070 -0.5509 -0.5901 -0.6231 -0.6496 -0.6697 -0.6846 -0.6960 -0.7054
 -0.7143 -0.7235 -0.7331 -0.7432 -0.7540 -0.7860 -0.8261 -0.8704 -0.9168 -0.9689
 -1.0300 -1.0984 -1.1697 -1.2404 -1.3086 -1.3739 -1.4367 -1.4969 -1.5549 -1.6113
 -1.6666
 -0.3752 -0.4253 -0.4730 -0.5178 -0.5576 -0.5918 -0.6201 -0.6429 -0.6611 -0.6760
 -0.6889 -0.7010 -0.7149 -0.7259 -0.7444 -0.7719 -0.8037 -0.8496 -0.9035
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F098M
 -0.7289 -0.7492 -0.7780 -0.8109 -0.8446 -0.8754 -0.9000 -0.9166 -0.9254 -0.9234
 -0.9097 -0.8878 -0.8628 -0.8402 -0.8215 -0.7915 -0.7823 -0.7941 -0.8296
 -0.6684 -0.6857 -0.7152 -0.7523 -0.7925 -0.8320 -0.8665 -0.8941 -0.9135 -0.9221
 -0.9178 -0.9025 -0.8817 -0.8615 -0.8446 -0.8187 -0.8124 -0.8256 -0.8597 -0.9078
 -0.6380 -0.6450 -0.6675 -0.7019 -0.7432 -0.7868 -0.8278 -0.8631 -0.8911 -0.9093
 -0.9154 -0.9089 -0.8933 -0.8756 -0.8602 -0.8378 -0.8346 -0.8493 -0.8824 -0.9293
 -0.9823
 -0.6289 -0.6246 -0.6426 -0.6714 -0.7062 -0.7467 -0.7891 -0.8283 -0.8618 -0.8874
 -0.9029 -0.9064 -0.8983 -0.8843 -0.8706 -0.8509 -0.8504 -0.8668 -0.8996 -0.9457
 -0.9987 -1.0533
 -0.6621 -0.6381 -0.6332 -0.6454 -0.6731 -0.7132 -0.7574 -0.7983 -0.8334 -0.8620
 -0.8829 -0.8948 -0.8959 -0.8877 -0.8765 -0.8594 -0.8613 -0.8792 -0.9124 -0.9581
 -1.0115 -1.0670 -1.1220 -1.1762
 -0.6921 -0.6742 -0.6646 -0.6632 -0.6710 -0.6884 -0.7153 -0.7517 -0.7948 -0.8330
 -0.8601 -0.8770 -0.8853 -0.8849 -0.8781 -0.8641 -0.8680 -0.8875 -0.9212 -0.9670
 -1.0209 -1.0779 -1.1344 -1.1899 -1.2443 -1.2981 -1.3520 -1.4084 -1.4678 -1.5268
 -0.7069 -0.6943 -0.6872 -0.6847 -0.6867 -0.6938 -0.7066 -0.7249 -0.7487 -0.7785
 -0.8126 -0.8431 -0.8636 -0.8731 -0.8739 -0.8655 -0.8713 -0.8921 -0.9264 -0.9724
 -1.0271 -1.0858 -1.1446 -1.2020 -1.2580 -1.3128 -1.3669 -1.4213 -1.4776 -1.5376
 -1.5982
 -0.7033 -0.6987 -0.6975 -0.6982 -0.7004 -0.7042 -0.7104 -0.7200 -0.7328 -0.7486
 -0.7673 -0.7900 -0.8156 -0.8384 -0.8542 -0.8633 -0.8714 -0.8935 -0.9282 -0.9744
 -1.0296 -1.0901 -1.1516 -1.2117 -1.2701 -1.3267 -1.3821 -1.4367 -1.4914 -1.5481
 -1.6092
 -0.6790 -0.6847 -0.6917 -0.6987 -0.7048 -0.7099 -0.7144 -0.7197 -0.7267 -0.7359
 -0.7469 -0.7596 -0.7748 -0.7930 -0.8126 -0.8506 -0.8681 -0.8919 -0.9274 -0.9736
 -1.0292 -1.0913 -1.1557 -1.2192 -1.2807 -1.3400 -1.3977 -1.4538 -1.5091 -1.5651
 -1.6220
 -0.6328 -0.6506 -0.6670 -0.6822 -0.6949 -0.7047 -0.7116 -0.7168 -0.7217 -0.7275
 -0.7346 -0.7432 -0.7531 -0.7647 -0.7783 -0.8198 -0.8573 -0.8866 -0.9228 -0.9688
 -1.0240 -1.0868 -1.1537 -1.2207 -1.2859 -1.3487 -1.4094 -1.4680 -1.5250 -1.5812
 -1.6374
 -0.5681 -0.5964 -0.6229 -0.6473 -0.6681 -0.6846 -0.6969 -0.7056 -0.7121 -0.7177
 -0.7236 -0.7305 -0.7386 -0.7477 -0.7581 -0.7917 -0.8340 -0.8754 -0.9152 -0.9614
 -1.0160 -1.0787 -1.1469 -1.2170 -1.2860 -1.3527 -1.4171 -1.4789 -1.5388 -1.5970
 -1.6542
 -0.4890 -0.5256 -0.5611 -0.5941 -0.6230 -0.6474 -0.6669 -0.6817 -0.6928 -0.7014
 -0.7089 -0.7163 -0.7244 -0.7333 -0.7520 -0.7663 -0.7982 -0.8583 -0.9046
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F098M
 -0.8149 -0.8284 -0.8480 -0.8695 -0.8892 -0.9045 -0.9136 -0.9167 -0.9181 -0.9138
 -0.9011 -0.8818 -0.8601 -0.8395 -0.8223 -0.7947 -0.7865 -0.7953 -0.8238
 -0.7330 -0.7460 -0.7695 -0.7983 -0.8287 -0.8567 -0.8791 -0.8961 -0.9089 -0.9145
 -0.9100 -0.8963 -0.8778 -0.8593 -0.8436 -0.8198 -0.8143 -0.8258 -0.8542 -0.8991
 -0.6773 -0.6835 -0.7042 -0.7345 -0.7699 -0.8061 -0.8389 -0.8665 -0.8889 -0.9039
 -0.9087 -0.9026 -0.8886 -0.8723 -0.8579 -0.8369 -0.8342 -0.8473 -0.8767 -0.9203
 -0.9721
 -0.6477 -0.6479 -0.6601 -0.6842 -0.7179 -0.7567 -0.7956 -0.8306 -0.8606 -0.8839
 -0.8978 -0.9006 -0.8932 -0.8803 -0.8674 -0.8486 -0.8483 -0.8634 -0.8935 -0.9365
 -0.9881 -1.0425
 -0.6525 -0.6404 -0.6292 -0.6481 -0.6801 -0.7169 -0.7562 -0.7943 -0.8285 -0.8573
 -0.8785 -0.8901 -0.8910 -0.8835 -0.8728 -0.8562 -0.8579 -0.8749 -0.9058 -0.9488
 -1.0003 -1.0555 -1.1107 -1.1654
 -0.6777 -0.6547 -0.6405 -0.6388 -0.6498 -0.6742 -0.7117 -0.7561 -0.7974 -0.8305
 -0.8554 -0.8726 -0.8813 -0.8810 -0.8744 -0.8605 -0.8641 -0.8826 -0.9144 -0.9576
 -1.0094 -1.0656 -1.1223 -1.1783 -1.2334 -1.2877 -1.3428 -1.4006 -1.4609 -1.5203
 -0.7022 -0.6791 -0.6645 -0.6577 -0.6589 -0.6683 -0.6861 -0.7119 -0.7458 -0.7849
 -0.8215 -0.8486 -0.8646 -0.8716 -0.8712 -0.8620 -0.8671 -0.8871 -0.9197 -0.9632
 -1.0154 -1.0727 -1.1314 -1.1894 -1.2461 -1.3018 -1.3570 -1.4125 -1.4701 -1.5309
 -1.5916
 -0.7101 -0.6923 -0.6815 -0.6761 -0.6751 -0.6787 -0.6875 -0.7014 -0.7202 -0.7428
 -0.7692 -0.7985 -0.8265 -0.8473 -0.8585 -0.8606 -0.8674 -0.8886 -0.9218 -0.9657
 -1.0182 -1.0766 -1.1376 -1.1982 -1.2573 -1.3148 -1.3713 -1.4271 -1.4830 -1.5409
 -1.6025
 -0.7015 -0.6912 -0.6864 -0.6852 -0.6865 -0.6896 -0.6946 -0.7022 -0.7130 -0.7266
 -0.7423 -0.7597 -0.7793 -0.8011 -0.8220 -0.8532 -0.8650 -0.8876 -0.9216 -0.9657
 -1.0185 -1.0780 -1.1412 -1.2049 -1.2671 -1.3273 -1.3861 -1.4433 -1.4998 -1.5565
 -1.6150
 -0.6721 -0.6731 -0.6758 -0.6812 -0.6871 -0.6930 -0.6984 -0.7040 -0.7106 -0.7188
 -0.7287 -0.7402 -0.7527 -0.7666 -0.7825 -0.8261 -0.8580 -0.8833 -0.9180 -0.9619
 -1.0146 -1.0746 -1.1394 -1.2061 -1.2717 -1.3353 -1.3969 -1.4566 -1.5148 -1.5722
 -1.6296
 -0.6210 -0.6341 -0.6475 -0.6603 -0.6730 -0.6841 -0.6931 -0.7004 -0.7065 -0.7126
 -0.7195 -0.7276 -0.7369 -0.7472 -0.7586 -0.7947 -0.8370 -0.8749 -0.9115 -0.9557
 -1.0080 -1.0678 -1.1336 -1.2025 -1.2716 -1.3389 -1.4040 -1.4668 -1.5277 -1.5871
 -1.6455
 -0.5505 -0.5750 -0.5989 -0.6209 -0.6414 -0.6594 -0.6743 -0.6859 -0.6950 -0.7023
 -0.7089 -0.7160 -0.7239 -0.7329 -0.7503 -0.7590 -0.8020 -0.8624 -0.9021
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.9332 -0.9401 -0.9497 -0.9574 -0.9583 -0.9510 -0.9354 -0.9153 -0.9040 -0.8962
 -0.8856 -0.8702 -0.8521 -0.8343 -0.8189 -0.7941 -0.7878 -0.7958 -0.8192
 -0.8270 -0.8355 -0.8517 -0.8701 -0.8865 -0.8972 -0.8994 -0.8978 -0.8985 -0.8992
 -0.8949 -0.8843 -0.8691 -0.8531 -0.8389 -0.8174 -0.8134 -0.8236 -0.8488 -0.8894
 -0.7468 -0.7507 -0.7669 -0.7903 -0.8160 -0.8398 -0.8578 -0.8707 -0.8824 -0.8916
 -0.8948 -0.8903 -0.8792 -0.8654 -0.8523 -0.8330 -0.8313 -0.8438 -0.8704 -0.9106
 -0.9604
 -0.6965 -0.6907 -0.7006 -0.7222 -0.7509 -0.7822 -0.8115 -0.8359 -0.8572 -0.8747
 -0.8859 -0.8888 -0.8833 -0.8727 -0.8612 -0.8437 -0.8439 -0.8584 -0.8864 -0.9267
 -0.9761 -1.0299
 -0.6631 -0.6502 -0.6568 -0.6735 -0.6980 -0.7296 -0.7641 -0.7964 -0.8253 -0.8501
 -0.8689 -0.8796 -0.8812 -0.8754 -0.8663 -0.8507 -0.8526 -0.8689 -0.8981 -0.9387
 -0.9880 -1.0423 -1.0977 -1.1528
 -0.6779 -0.6465 -0.6314 -0.6331 -0.6512 -0.6827 -0.7205 -0.7584 -0.7922 -0.8215
 -0.8457 -0.8632 -0.8723 -0.8729 -0.8677 -0.8549 -0.8583 -0.8761 -0.9063 -0.9474
 -0.9968 -1.0517 -1.1083 -1.1647 -1.2205 -1.2760 -1.3324 -1.3912 -1.4526 -1.5126
 -0.7004 -0.6681 -0.6471 -0.6369 -0.6379 -0.6499 -0.6731 -0.7072 -0.7483 -0.7879
