 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F390M
 -7.9794 -7.4328 -7.0369 -6.7629 -6.5593 -6.3879 -6.2790 -6.1093 -5.9246 -5.7018
 -5.4440 -5.0175 -4.7498 -4.4633 -4.1702 -3.2952 -2.2903 -1.6806 -1.0418
 -7.2713 -6.8370 -6.5040 -6.2622 -6.0883 -5.9314 -5.7661 -5.5857 -5.3898 -5.1710
 -4.9112 -4.6032 -4.2692 -3.9348 -3.6041 -2.7440 -1.9431 -1.3084 -0.8486 -0.5044
 -7.0448 -6.5719 -6.1589 -5.8089 -5.5257 -5.3125 -5.1579 -5.0161 -4.8508 -4.6461
 -4.4104 -4.1351 -3.8212 -3.5056 -3.2001 -2.4513 -1.7358 -1.1644 -0.7524 -0.4470
 -0.2081
 -6.9297 -6.4283 -5.9764 -5.5744 -5.2227 -4.9222 -4.6726 -4.4736 -4.3111 -4.1453
 -3.9461 -3.7144 -3.4431 -3.1518 -2.8705 -2.2076 -1.5829 -1.0661 -0.6908 -0.4151
 -0.2004 -0.0242
 -6.8818 -6.3656 -5.8919 -5.4608 -5.0724 -4.7257 -4.4202 -4.1547 -3.9266 -3.7314
 -3.5500 -3.3553 -3.1331 -2.8824 -2.6262 -2.0301 -1.4799 -1.0081 -0.6579 -0.4030
 -0.2066 -0.0459  0.0909  0.2094
 -6.8852 -6.3664 -5.8826 -5.4342 -5.0228 -4.6490 -4.3107 -4.0067 -3.7365 -3.4969
 -3.2842 -3.0891 -2.8945 -2.6821 -2.4575 -1.9134 -1.4204 -0.9842 -0.6489 -0.4055
 -0.2218 -0.0735  0.0523  0.1617  0.2608  0.3508  0.4314  0.5027  0.5646  0.6174
 -6.9356 -6.4190 -5.9334 -5.4774 -5.0522 -4.6598 -4.2997 -3.9704 -3.6712 -3.4017
 -3.1596 -2.9416 -2.7406 -2.5430 -2.3431 -1.8436 -1.3920 -0.9867 -0.6589 -0.4189
 -0.2420 -0.1029  0.0130  0.1133  0.2020  0.2822  0.3545  0.4188  0.4752  0.5232
  0.5613
 -7.0329 -6.5207 -6.0356 -5.5770 -5.1457 -4.7415 -4.3644 -4.0161 -3.6958 -3.4016
 -3.1348 -2.8939 -2.6751 -2.4701 -2.2747 -1.8092 -1.3804 -1.0037 -0.6834 -0.4408
 -0.2644 -0.1308 -0.0232  0.0682  0.1483  0.2198  0.2856  0.3447  0.3955  0.4367
  0.4676
 -7.1662 -6.6579 -6.1759 -5.7181 -5.2843 -4.8734 -4.4851 -4.1216 -3.7831 -3.4694
 -3.1803 -2.9162 -2.6761 -2.4552 -2.2498 -1.7926 -1.3805 -1.0199 -0.7116 -0.4667
 -0.2863 -0.1539 -0.0523  0.0307  0.1018  0.1647  0.2208  0.2704  0.3141  0.3523
  0.3856
 -7.3355 -6.8306 -6.3563 -5.9000 -5.4660 -5.0529 -4.6589 -4.2844 -3.9308 -3.5995
 -3.2902 -3.0039 -2.7406 -2.4995 -2.2774 -1.8017 -1.3974 -1.0432 -0.7427 -0.4982
 -0.3124 -0.1763 -0.0761  0.0007  0.0634  0.1174  0.1647  0.2069  0.2421  0.2757
  0.3071
 -7.5409 -7.0388 -6.5768 -6.0948 -5.6692 -5.2566 -4.8621 -4.4826 -4.1194 -3.7737
 -3.4468 -3.1400 -2.8543 -2.5904 -2.3473 -1.8341 -1.4216 -1.0704 -0.7727 -0.5281
 -0.3384 -0.1972 -0.0942 -0.0192  0.0372  0.0823  0.1204  0.1537  0.1831  0.2086
  0.2299
 -7.7822 -7.2825 -6.8374 -6.2949 -5.8733 -5.4653 -5.0737 -4.6962 -4.3304 -3.9769
 -3.6376 -3.3141 -3.0082 -2.7221 -2.4595 -1.8898 -1.4531 -1.1015 -0.8016
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F390M
 -6.9661 -6.6705 -6.4628 -6.3218 -6.2173 -6.1253 -6.0462 -5.9304 -5.7829 -5.5854
 -5.3309 -4.9822 -4.6706 -4.3625 -4.0626 -3.2817 -2.4338 -1.7537 -1.0992
 -6.6056 -6.3333 -6.1357 -5.9616 -5.8001 -5.6523 -5.5145 -5.3766 -5.2213 -5.0297
 -4.7897 -4.4989 -4.1809 -3.8679 -3.5671 -2.8376 -2.0993 -1.4404 -0.9442 -0.5689
 -6.4206 -6.0428 -5.7353 -5.4968 -5.3280 -5.1942 -5.0534 -4.8949 -4.7212 -4.5316
 -4.3108 -4.0475 -3.7489 -3.4487 -3.1650 -2.5043 -1.8645 -1.2847 -0.8392 -0.5097
 -0.2550
 -6.3932 -5.9569 -5.5797 -5.2572 -4.9876 -4.7679 -4.6003 -4.4651 -4.3140 -4.1263
 -3.9158 -3.6820 -3.4139 -3.1303 -2.8622 -2.2565 -1.6947 -1.1804 -0.7734 -0.4722
 -0.2412 -0.0544
 -6.4763 -5.9919 -5.5653 -5.1895 -4.8605 -4.5750 -4.3291 -4.1194 -3.9472 -3.7927
 -3.6145 -3.4073 -3.1732 -2.9148 -2.6572 -2.0892 -1.5837 -1.1197 -0.7403 -0.4575
 -0.2432 -0.0716  0.0724  0.1970
 -6.6582 -6.1296 -5.6565 -5.2349 -4.8609 -4.5291 -4.2353 -3.9754 -3.7447 -3.5420
 -3.3649 -3.1919 -2.9992 -2.7768 -2.5395 -1.9912 -1.5218 -1.0948 -0.7340 -0.4607
 -0.2566 -0.0962  0.0369  0.1514  0.2523  0.3421  0.4226  0.4964  0.5648  0.6197
 -6.9192 -6.3550 -5.8405 -5.3749 -4.9575 -4.5850 -4.2526 -3.9554 -3.6880 -3.4465
 -3.2290 -3.0345 -2.8560 -2.6697 -2.4667 -1.9488 -1.4977 -1.0959 -0.7484 -0.4776
 -0.2774 -0.1246 -0.0006  0.1050  0.1974  0.2792  0.3521  0.4174  0.4756  0.5250
  0.5643
 -7.2311 -6.6432 -6.0982 -5.5954 -5.1369 -4.7242 -4.3547 -4.0230 -3.7241 -3.4532
 -3.2059 -2.9814 -2.7788 -2.5900 -2.4057 -1.9378 -1.4997 -1.1143 -0.7771 -0.5051
 -0.3031 -0.1535 -0.0365  0.0607  0.1448  0.2188  0.2842  0.3426  0.3949  0.4383
  0.4703
 -7.5622 -6.9613 -6.3955 -5.8677 -5.3777 -4.9289 -4.5226 -4.1568 -3.8271 -3.5282
 -3.2554 -3.0057 -2.7775 -2.5674 -2.3724 -1.9279 -1.5106 -1.1368 -0.8097 -0.5369
 -0.3299 -0.1794 -0.0667  0.0231  0.0987  0.1643  0.2218  0.2729  0.3180  0.3572
  0.3882
 -7.9018 -7.3027 -6.7266 -6.1827 -5.6711 -5.1953 -4.7569 -4.3574 -3.9958 -3.6683
 -3.3698 -3.0958 -2.8438 -2.6111 -2.3965 -1.9346 -1.5318 -1.1658 -0.8464 -0.5755
 -0.3625 -0.2064 -0.0935 -0.0085  0.0595  0.1168  0.1660  0.2091  0.2470  0.2798
  0.3100
 -8.2106 -7.6303 -7.0594 -6.5110 -5.9894 -5.4971 -5.0365 -4.6097 -4.2180 -3.8606
 -3.5347 -3.2357 -2.9605 -2.7056 -2.4697 -1.9667 -1.5587 -1.1986 -0.8816 -0.6126
 -0.3957 -0.2328 -0.1155 -0.0312  0.0315  0.0808  0.1213  0.1559  0.1857  0.2114
  0.2329
 -8.4678 -7.9165 -7.3703 -6.8317 -6.3108 -5.8134 -5.3421 -4.8981 -4.4840 -4.1003
 -3.7468 -3.4214 -3.1114 -2.8305 -2.5920 -2.0242 -1.5913 -1.2352 -0.9153
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F390M
 -6.2932 -6.1732 -6.0949 -6.0433 -6.0034 -5.9605 -5.9021 -5.8171 -5.6927 -5.5164
 -5.2798 -4.9913 -4.6770 -4.3713 -4.0782 -3.3718 -2.6431 -1.9430 -1.2840
 -5.9851 -5.8012 -5.6630 -5.5643 -5.4917 -5.4280 -5.3565 -5.2633 -5.1374 -4.9683
 -4.7462 -4.4725 -4.1697 -3.8714 -3.5887 -2.9307 -2.2880 -1.6534 -1.1108 -0.7007
 -5.7558 -5.5172 -5.3500 -5.2134 -5.0918 -4.9859 -4.8879 -4.7820 -4.6538 -4.4943
 -4.2946 -4.0485 -3.7660 -3.4794 -3.2084 -2.5963 -2.0258 -1.4745 -0.9924 -0.6213
 -0.3389
 -5.7608 -5.4230 -5.1492 -4.9352 -4.7775 -4.6631 -4.5504 -4.4232 -4.2833 -4.1249
 -3.9410 -3.7242 -3.4692 -3.1971 -2.9362 -2.3592 -1.8435 -1.3540 -0.9181 -0.5751
 -0.3151 -0.1094
 -5.9119 -5.5064 -5.1606 -4.8681 -4.6229 -4.4240 -4.2682 -4.1417 -4.0226 -3.8740
 -3.6965 -3.4966 -3.2704 -3.0165 -2.7625 -2.2054 -1.7267 -1.2812 -0.8795 -0.5558
 -0.3103 -0.1191  0.0373  0.1703
 -6.1885 -5.7100 -5.2997 -4.9450 -4.6383 -4.3748 -4.1482 -3.9530 -3.7874 -3.6497
 -3.5116 -3.3436 -3.1433 -2.9159 -2.6723 -2.1198 -1.6611 -1.2456 -0.8688 -0.5576
 -0.3205 -0.1388  0.0071  0.1299  0.2366  0.3302  0.4143  0.4923  0.5640  0.6209
 -6.5981 -6.0371 -5.5509 -5.1299 -4.7637 -4.4437 -4.1639 -3.9184 -3.7010 -3.5072
 -3.3378 -3.1881 -3.0324 -2.8471 -2.6335 -2.0889 -1.6347 -1.2373 -0.8783 -0.5755
 -0.3418 -0.1653 -0.0270  0.0872  0.1852  0.2713  0.3474  0.4152  0.4754  0.5273
  0.5688
 -7.1144 -6.4796 -5.9153 -5.4193 -4.9856 -4.6068 -4.2750 -3.9824 -3.7226 -3.4896
 -3.2784 -3.0885 -2.9203 -2.7596 -2.5865 -2.0979 -1.6389 -1.2491 -0.9018 -0.6048
 -0.3708 -0.1957 -0.0622  0.0448  0.1350  0.2132  0.2817  0.3423  0.3958  0.4403
  0.4741
 -7.6719 -6.9873 -6.3621 -5.7975 -5.2946 -4.8513 -4.4626 -4.1213 -3.8194 -3.5495
 -3.3054 -3.0831 -2.8812 -2.6976 -2.5257 -2.0988 -1.6619 -1.2722 -0.9317 -0.6387
 -0.4031 -0.2258 -0.0945  0.0070  0.0897  0.1601  0.2209  0.2740  0.3202  0.3592
  0.3915
 -8.2374 -7.5320 -6.8674 -6.2499 -5.6871 -5.1815 -4.7325 -4.3376 -3.9899 -3.6814
 -3.4043 -3.1527 -2.9221 -2.7106 -2.5158 -2.0906 -1.6914 -1.3102 -0.9727 -0.6817
 -0.4429 -0.2597 -0.1260 -0.0272  0.0496  0.1126  0.1656  0.2110  0.2501  0.2834
  0.3135
 -8.7497 -8.0565 -7.3808 -6.7351 -6.1302 -5.5738 -5.0702 -4.6212 -4.2238 -3.8730
 -3.5604 -3.2784 -3.0212 -2.7837 -2.5652 -2.0983 -1.7118 -1.3493 -1.0164 -0.7268
 -0.4851 -0.2949 -0.1548 -0.0544  0.0188  0.0752  0.1203  0.1578  0.1893  0.2156
  0.2374
 -9.1729 -8.5170 -7.8634 -7.2168 -6.5938 -6.0045 -5.4588 -4.9629 -4.5177 -4.1211
 -3.7688 -3.4541 -3.1677 -2.9039 -2.6739 -2.1219 -1.7231 -1.3895 -1.0628
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F390M
 -5.9607 -5.9410 -5.9331 -5.9275 -5.9175 -5.8935 -5.8467 -5.7694 -5.6540 -5.4948
