 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F547M
 -2.3087 -1.8008 -1.5976 -1.6841 -2.0528 -2.4858 -2.7202 -2.5531 -2.3901 -2.2225
 -2.0473 -1.8993 -1.7139 -1.5319 -1.3642 -0.9948 -0.6835 -0.4574 -0.2870
 -3.3106 -2.9890 -2.7535 -2.5955 -2.4896 -2.3881 -2.2754 -2.1571 -2.0371 -1.9144
 -1.7777 -1.6228 -1.4586 -1.3000 -1.1533 -0.8372 -0.5900 -0.4069 -0.2767 -0.1812
 -3.0854 -2.7844 -2.5439 -2.3515 -2.2013 -2.0917 -2.0113 -1.9242 -1.8151 -1.6921
 -1.5697 -1.4426 -1.3028 -1.1624 -1.0324 -0.7597 -0.5483 -0.3906 -0.2761 -0.1904
 -0.1231
 -2.8971 -2.6290 -2.4059 -2.2166 -2.0552 -1.9190 -1.8058 -1.7137 -1.6312 -1.5351
 -1.4210 -1.3064 -1.1880 -1.0649 -0.9476 -0.7030 -0.5182 -0.3809 -0.2798 -0.2023
 -0.1402 -0.0884
 -2.7113 -2.4802 -2.2831 -2.1098 -1.9551 -1.8168 -1.6940 -1.5854 -1.4884 -1.3993
 -1.3080 -1.2079 -1.1048 -0.9962 -0.8900 -0.6644 -0.4964 -0.3741 -0.2846 -0.2150
 -0.1580 -0.1098 -0.0677 -0.0288
 -2.5251 -2.3274 -2.1580 -2.0062 -1.8665 -1.7369 -1.6168 -1.5062 -1.4046 -1.3097
 -1.2191 -1.1294 -1.0404 -0.9467 -0.8515 -0.6398 -0.4811 -0.3675 -0.2871 -0.2255
 -0.1745 -0.1307 -0.0919 -0.0570 -0.0242  0.0048  0.0279  0.0433  0.0497  0.0465
 -2.3515 -2.1754 -2.0288 -1.8980 -1.7762 -1.6605 -1.5499 -1.4445 -1.3448 -1.2510
 -1.1613 -1.0742 -0.9896 -0.9058 -0.8215 -0.6256 -0.4713 -0.3610 -0.2855 -0.2310
 -0.1870 -0.1487 -0.1145 -0.0832 -0.0540 -0.0250  0.0009  0.0204  0.0308  0.0307
  0.0215
 -2.1941 -2.0345 -1.9018 -1.7858 -1.6802 -1.5797 -1.4814 -1.3856 -1.2929 -1.2031
 -1.1171 -1.0341 -0.9533 -0.8743 -0.7962 -0.6152 -0.4665 -0.3560 -0.2809 -0.2303
 -0.1927 -0.1612 -0.1329 -0.1066 -0.0816 -0.0575 -0.0328 -0.0107  0.0050  0.0112
  0.0061
 -2.0595 -1.9106 -1.7830 -1.6747 -1.5793 -1.4906 -1.4052 -1.3208 -1.2376 -1.1554
 -1.0750 -0.9968 -0.9210 -0.8468 -0.7736 -0.6031 -0.4611 -0.3521 -0.2752 -0.2247
 -0.1909 -0.1658 -0.1445 -0.1245 -0.1051 -0.0856 -0.0665 -0.0497 -0.0354 -0.0234
 -0.0135
 -1.9478 -1.8037 -1.6823 -1.5741 -1.4815 -1.3998 -1.3239 -1.2503 -1.1776 -1.1050
 -1.0326 -0.9609 -0.8905 -0.8217 -0.7540 -0.5933 -0.4566 -0.3494 -0.2714 -0.2186
 -0.1848 -0.1633 -0.1480 -0.1351 -0.1225 -0.1092 -0.0953 -0.0811 -0.0722 -0.0588
 -0.0423
 -1.8589 -1.7138 -1.5997 -1.4896 -1.3930 -1.3110 -1.2391 -1.1729 -1.1092 -1.0464
 -0.9834 -0.9201 -0.8567 -0.7938 -0.7318 -0.5828 -0.4509 -0.3458 -0.2676 -0.2130
 -0.1777 -0.1563 -0.1443 -0.1371 -0.1314 -0.1252 -0.1180 -0.1095 -0.1000 -0.0904
 -0.0817
 -1.7929 -1.6409 -1.5352 -1.4220 -1.3187 -1.2311 -1.1569 -1.0924 -1.0340 -0.9790
 -0.9249 -0.8709 -0.8162 -0.7609 -0.7070 -0.5716 -0.4440 -0.3413 -0.2638
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F547M
 -3.8389 -3.2749 -2.8822 -2.6494 -2.5681 -2.5563 -2.5177 -2.3706 -2.2212 -2.0631
 -1.8937 -1.7282 -1.5512 -1.3846 -1.2331 -0.9090 -0.6436 -0.4392 -0.2822
 -3.6152 -3.2191 -2.9399 -2.7078 -2.5086 -2.3416 -2.1992 -2.0707 -1.9458 -1.8167
 -1.6776 -1.5260 -1.3687 -1.2187 -1.0821 -0.7975 -0.5740 -0.4005 -0.2720 -0.1749
 -3.3060 -2.8937 -2.5893 -2.3707 -2.2249 -2.1112 -1.9917 -1.8678 -1.7480 -1.6326
 -1.5155 -1.3897 -1.2522 -1.1146 -0.9881 -0.7291 -0.5332 -0.3828 -0.2700 -0.1844
 -0.1169
 -3.1356 -2.7437 -2.4442 -2.2141 -2.0370 -1.9016 -1.8039 -1.7247 -1.6294 -1.5159
 -1.4013 -1.2894 -1.1721 -1.0480 -0.9308 -0.6855 -0.5064 -0.3724 -0.2721 -0.1949
 -0.1327 -0.0808
 -3.0092 -2.6456 -2.3631 -2.1393 -1.9583 -1.8105 -1.6885 -1.5869 -1.5042 -1.4257
 -1.3292 -1.2227 -1.1148 -1.0039 -0.8937 -0.6597 -0.4896 -0.3659 -0.2754 -0.2059
 -0.1491 -0.1009 -0.0590 -0.0221
 -2.8917 -2.5589 -2.2971 -2.0863 -1.9111 -1.7621 -1.6339 -1.5221 -1.4225 -1.3330
 -1.2511 -1.1656 -1.0725 -0.9722 -0.8702 -0.6453 -0.4792 -0.3609 -0.2771 -0.2149
 -0.1642 -0.1206 -0.0821 -0.0476 -0.0163  0.0116  0.0349  0.0514  0.0562  0.0522
 -2.7780 -2.4726 -2.2310 -2.0345 -1.8689 -1.7249 -1.5974 -1.4832 -1.3796 -1.2836
 -1.1934 -1.1080 -1.0262 -0.9413 -0.8510 -0.6375 -0.4730 -0.3562 -0.2757 -0.2194
 -0.1754 -0.1375 -0.1037 -0.0728 -0.0442 -0.0177  0.0058  0.0253  0.0378  0.0373
  0.0279
 -2.6738 -2.3908 -2.1648 -1.9797 -1.8231 -1.6865 -1.5637 -1.4513 -1.3478 -1.2515
