 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.2782 -0.2718 -0.4587 -0.4701 -0.3958 -0.2744 -0.1237 -0.0249  0.0631  0.1575
  0.2482  0.3337  0.4136  0.4844  0.5454  0.6724  0.7127  0.6891  0.6916
 -0.2788 -0.2116 -0.1589 -0.1347 -0.1399 -0.1208 -0.0547  0.0299  0.1137  0.1958
  0.2757  0.3513  0.4205  0.4819  0.5348  0.6302  0.6778  0.6889  0.6791  0.6578
 -0.1553 -0.0950 -0.0360  0.0155  0.0540  0.0671  0.0685  0.0966  0.1538  0.2240
  0.2941  0.3620  0.4248  0.4806  0.5287  0.6157  0.6599  0.6692  0.6584  0.6376
  0.6103
 -0.0423  0.0025  0.0532  0.1041  0.1509  0.1913  0.2198  0.2298  0.2399  0.2695
  0.3179  0.3739  0.4292  0.4798  0.5237  0.6037  0.6452  0.6534  0.6416  0.6206
  0.5942  0.5635
  0.0711  0.0984  0.1346  0.1766  0.2196  0.2605  0.2978  0.3298  0.3502  0.3641
  0.3801  0.4072  0.4437  0.4844  0.5231  0.5962  0.6353  0.6424  0.6293  0.6068
  0.5802  0.5502  0.5168  0.4799
  0.1857  0.1990  0.2195  0.2482  0.2819  0.3174  0.3519  0.3846  0.4145  0.4400
  0.4587  0.4733  0.4900  0.5109  0.5350  0.5948  0.6310  0.6373  0.6227  0.5972
  0.5687  0.5381  0.5050  0.4695  0.4311  0.3893  0.3441  0.2953  0.2428  0.1867
  0.2992  0.3024  0.3107  0.3264  0.3480  0.3740  0.4021  0.4303  0.4576  0.4838
  0.5078  0.5276  0.5429  0.5560  0.5692  0.6039  0.6331  0.6400  0.6230  0.5936
  0.5613  0.5284  0.4943  0.4588  0.4215  0.3831  0.3422  0.2972  0.2467  0.1908
  0.1331
  0.4091  0.4056  0.4058  0.4115  0.4222  0.4370  0.4557  0.4768  0.4987  0.5207
  0.5422  0.5621  0.5795  0.5935  0.6048  0.6267  0.6428  0.6469  0.6297  0.5971
  0.5598  0.5227  0.4861  0.4492  0.4115  0.3729  0.3336  0.2920  0.2464  0.1956
  0.1387
  0.5132  0.5055  0.5009  0.5001  0.5027  0.5087  0.5176  0.5294  0.5437  0.5597
  0.5762  0.5924  0.6075  0.6209  0.6323  0.6514  0.6597  0.6578  0.6408  0.6068
  0.5651  0.5227  0.4816  0.4416  0.4021  0.3628  0.3228  0.2818  0.2382  0.1918
  0.1430
  0.6090  0.5990  0.5919  0.5873  0.5850  0.5848  0.5865  0.5901  0.5956  0.6037
  0.6137  0.6246  0.6354  0.6456  0.6549  0.6719  0.6777  0.6723  0.6542  0.6210
  0.5775  0.5307  0.4844  0.4399  0.3970  0.3554  0.3142  0.2731  0.2315  0.1884
  0.1428
  0.6944  0.6851  0.6773  0.6710  0.6658  0.6618  0.6588  0.6567  0.6554  0.6556
  0.6579  0.6620  0.6673  0.6730  0.6785  0.6897  0.6940  0.6866  0.6672  0.6356
  0.5929  0.5444  0.4941  0.4447  0.3972  0.3518  0.3079  0.2652  0.2230  0.1806
  0.1372
  0.7682  0.7684  0.7643  0.7574  0.7490  0.7403  0.7320  0.7249  0.7188  0.7138
  0.7096  0.7064  0.7050  0.7050  0.7058  0.7082  0.7084  0.7003  0.6802
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  I   
 -0.5579 -0.5659 -0.5383 -0.4331 -0.3037 -0.1788 -0.0729  0.0166  0.0995  0.1791
  0.2554  0.3281  0.3967  0.4606  0.5185  0.6377  0.7007  0.7131  0.7087
 -0.3819 -0.3168 -0.2988 -0.3054 -0.2468 -0.1444 -0.0412  0.0473  0.1260  0.2003
  0.2712  0.3388  0.4025  0.4613  0.5144  0.6166  0.6752  0.6951  0.6885  0.6681
 -0.2733 -0.1968 -0.1309 -0.0889 -0.0875 -0.0760 -0.0109  0.0718  0.1474  0.2165
  0.2823  0.3450  0.4042  0.4588  0.5079  0.6020  0.6563  0.6758  0.6693  0.6492
  0.6219
 -0.1798 -0.1133 -0.0445  0.0205  0.0703  0.0943  0.0958  0.1168  0.1716  0.2335
  0.2935  0.3513  0.4062  0.4571  0.5028  0.5903  0.6412  0.6603  0.6541  0.6339
  0.6071  0.5760
 -0.0870 -0.0359  0.0230  0.0836  0.1397  0.1890  0.2258  0.2450  0.2510  0.2725
  0.3132  0.3621  0.4115  0.4585  0.5011  0.5827  0.6305  0.6490  0.6429  0.6220
  0.5947  0.5639  0.5297  0.4912
  0.0061  0.0454  0.0902  0.1412  0.1934  0.2425  0.2874  0.3265  0.3551  0.3695
  0.3797  0.3987  0.4290  0.4663  0.5043  0.5800  0.6247  0.6426  0.6364  0.6140
  0.5849  0.5532  0.5191  0.4825  0.4436  0.4016  0.3557  0.3052  0.2503  0.1933
  0.1053  0.1323  0.1643  0.2021  0.2451  0.2891  0.3310  0.3702  0.4060  0.4363
  0.4586  0.4724  0.4845  0.5004  0.5217  0.5826  0.6240  0.6409  0.6348  0.6108
  0.5789  0.5448  0.5096  0.4729  0.4344  0.3941  0.3512  0.3048  0.2541  0.1989
  0.1394
  0.2026  0.2234  0.2444  0.2716  0.3025  0.3376  0.3737  0.4086  0.4417  0.4729
  0.5010  0.5246  0.5421  0.5545  0.5654  0.5964  0.6285  0.6439  0.6380  0.6133
  0.5780  0.5403  0.5025  0.4644  0.4256  0.3865  0.3460  0.3026  0.2551  0.2028
  0.1451
  0.2943  0.3127  0.3285  0.3474  0.3695  0.3939  0.4211  0.4499  0.4781  0.5053
  0.5314  0.5556  0.5770  0.5941  0.6067  0.6265  0.6417  0.6514  0.6452  0.6205
  0.5828  0.5406  0.4988  0.4577  0.4171  0.3765  0.3350  0.2915  0.2460  0.1987
  0.1499
  0.3762  0.3944  0.4092  0.4253  0.4410  0.4582  0.4765  0.4967  0.5183  0.5401
  0.5615  0.5820  0.6016  0.6192  0.6338  0.6551  0.6631  0.6641  0.6556  0.6319
  0.5938  0.5485  0.5019  0.4566  0.4127  0.3699  0.3274  0.2850  0.2419  0.1974
  0.1504
  0.4438  0.4674  0.4845  0.5003  0.5128  0.5262  0.5391  0.5521  0.5658  0.5809
  0.5966  0.6120  0.6272  0.6416  0.6548  0.6772  0.6843  0.6807  0.6683  0.6448
  0.6079  0.5615  0.5116  0.4617  0.4134  0.3670  0.3219  0.2779  0.2343  0.1906
  0.1459
  0.4971  0.5316  0.5546  0.5714  0.5840  0.5942  0.6036  0.6128  0.6210  0.6293
  0.6384  0.6480  0.6578  0.6675  0.6770  0.6953  0.7023  0.6975  0.6824
