 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -2.8133 -2.5558 -2.3322 -2.1277 -1.9390 -1.7670 -1.6139 -1.4781 -1.3565 -1.2455
 -1.1434 -1.0494 -0.9626 -0.8822 -0.8065 -0.6276 -0.4722 -0.3549 -0.2728 -0.2190
 -0.1852 -0.1621 -0.1431 -0.1257 -0.1088 -0.0923 -0.0763 -0.0627 -0.0516 -0.0429
 -0.0364
 -2.8436 -2.5720 -2.3411 -2.1356 -1.9451 -1.7700 -1.6110 -1.4696 -1.3447 -1.2331
 -1.1318 -1.0387 -0.9522 -0.8715 -0.7956 -0.6236 -0.4735 -0.3541 -0.2690 -0.2128
 -0.1789 -0.1590 -0.1459 -0.1352 -0.1249 -0.1142 -0.1034 -0.0922 -0.0814 -0.0722
 -0.0637
 -2.8962 -2.6104 -2.3695 -2.1582 -1.9642 -1.7857 -1.6222 -1.4738 -1.3421 -1.2260
 -1.1228 -1.0295 -0.9438 -0.8640 -0.7890 -0.6193 -0.4734 -0.3546 -0.2666 -0.2072
 -0.1711 -0.1515 -0.1417 -0.1367 -0.1332 -0.1294 -0.1248 -0.1192 -0.1128 -0.1064
 -0.1010
 -2.9655 -2.6710 -2.4176 -2.1947 -1.9953 -1.8130 -1.6452 -1.4916 -1.3521 -1.2281
 -1.1193 -1.0230 -0.9362 -0.8568 -0.7828 -0.6162 -0.4726 -0.3547 -0.2650
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.9317 -3.7021 -3.3473 -2.9989 -2.6768 -2.4009 -2.1826 -1.9890 -1.8085 -1.6415
 -1.4857 -1.3431 -1.2142 -1.0982 -0.9932 -0.7689 -0.5804 -0.4177 -0.2839
 -3.4319 -3.3174 -3.1845 -2.8968 -2.5910 -2.3117 -2.0775 -1.8816 -1.7034 -1.5397
 -1.3875 -1.2485 -1.1235 -1.0116 -0.9114 -0.7017 -0.5315 -0.3890 -0.2721 -0.1802
 -3.2317 -2.9727 -2.8234 -2.7408 -2.5328 -2.2665 -2.0214 -1.8158 -1.6387 -1.4785
 -1.3299 -1.1941 -1.0715 -0.9618 -0.8638 -0.6613 -0.5013 -0.3712 -0.2664 -0.1839
 -0.1185
 -3.1409 -2.8493 -2.6124 -2.4372 -2.3348 -2.2143 -2.0012 -1.7854 -1.6015 -1.4429
 -1.2979 -1.1648 -1.0442 -0.9358 -0.8388 -0.6391 -0.4841 -0.3613 -0.2646 -0.1894
 -0.1297 -0.0802
 -3.0944 -2.7960 -2.5382 -2.3198 -2.1397 -2.0008 -1.9021 -1.7684 -1.5896 -1.4241
 -1.2813 -1.1507 -1.0318 -0.9246 -0.8280 -0.6285 -0.4753 -0.3564 -0.2650 -0.1954
 -0.1409 -0.0956 -0.0565 -0.0215
 -3.0814 -2.7766 -2.5086 -2.2762 -2.0743 -1.9007 -1.7541 -1.6350 -1.5364 -1.4142
 -1.2757 -1.1460 -1.0282 -0.9219 -0.8258 -0.6254 -0.4714 -0.3539 -0.2657 -0.2003
 -0.1508 -0.1103 -0.0749 -0.0438 -0.0152  0.0094  0.0278  0.0384  0.0408  0.0365
 -3.0989 -2.7856 -2.5071 -2.2641 -2.0536 -1.8714 -1.7102 -1.5653 -1.4393 -1.3355
 -1.2423 -1.1404 -1.0304 -0.9244 -0.8282 -0.6269 -0.4707 -0.3526 -0.2656 -0.2030
 -0.1578 -0.1224 -0.0919 -0.0646 -0.0399 -0.0164  0.0038  0.0180  0.0243  0.0216
  0.0112
 -3.1392 -2.8205 -2.5311 -2.2756 -2.0537 -1.8621 -1.6954 -1.5467 -1.4119 -1.2906
 -1.1851 -1.0956 -1.0114 -0.9236 -0.8332 -0.6311 -0.4723 -0.3518 -0.2642 -0.2028
 -0.1608 -0.1306 -0.1056 -0.0833 -0.0626 -0.0434 -0.0244 -0.0082  0.0021  0.0040
 -0.0040
 -3.2032 -2.8736 -2.5767 -2.3087 -2.0727 -1.8691 -1.6938 -1.5406 -1.4038 -1.2794
 -1.1667 -1.0667 -0.9787 -0.8995 -0.8233 -0.6348 -0.4740 -0.3504 -0.2610 -0.1992
 -0.1588 -0.1327 -0.1137 -0.0973 -0.0820 -0.0672 -0.0534 -0.0420 -0.0331 -0.0265
 -0.0220
 -3.2929 -2.9524 -2.6458 -2.3693 -2.1197 -1.9005 -1.7119 -1.5494 -1.4078 -1.2813
 -1.1668 -1.0630 -0.9696 -0.8856 -0.8093 -0.6367 -0.4792 -0.3522 -0.2592 -0.1952
 -0.1541 -0.1300 -0.1157 -0.1055 -0.0965 -0.0875 -0.0785 -0.0695 -0.0610 -0.0541
 -0.0503
 -3.4039 -3.0419 -2.7297 -2.4480 -2.1906 -1.9572 -1.7520 -1.5752 -1.4232 -1.2908
 -1.1732 -1.0674 -0.9715 -0.8845 -0.8051 -0.6336 -0.4841 -0.3559 -0.2588 -0.1913
 -0.1480 -0.1234 -0.1117 -0.1066 -0.1039 -0.1014 -0.0985 -0.0947 -0.0905 -0.0864
 -0.0832
 -3.5359 -3.1503 -2.8253 -2.5388 -2.2760 -2.0352 -1.8173 -1.6235 -1.4562 -1.3122
 -1.1872 -1.0771 -0.9784 -0.8892 -0.8077 -0.6325 -0.4860 -0.3605 -0.2603
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -3.9506 -3.6303 -3.2408 -2.8975 -2.5880 -2.3190 -2.1025 -1.9146 -1.7423 -1.5794
