 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -1.2352 -1.1082 -0.9909 -0.8836 -0.7863 -0.5858 -0.4342 -0.3150 -0.2169 -0.1337
 -0.0637
 -3.3133 -3.2529 -2.9960 -2.6581 -2.3561 -2.0998 -1.8741 -1.6806 -1.5117 -1.3611
 -1.2257 -1.0998 -0.9832 -0.8761 -0.7785 -0.5768 -0.4256 -0.3085 -0.2136 -0.1342
 -0.0680 -0.0138
 -3.2066 -2.9434 -2.8754 -2.6944 -2.4003 -2.1269 -1.8912 -1.6877 -1.5131 -1.3600
 -1.2242 -1.0995 -0.9838 -0.8770 -0.7792 -0.5754 -0.4226 -0.3059 -0.2127 -0.1360
 -0.0728 -0.0215  0.0196  0.0530
 -3.2678 -2.8838 -2.6282 -2.5165 -2.4113 -2.1694 -1.9241 -1.7102 -1.5257 -1.3671
 -1.2284 -1.1044 -0.9896 -0.8834 -0.7855 -0.5796 -0.4240 -0.3061 -0.2135 -0.1386
 -0.0776 -0.0287  0.0099  0.0409  0.0668  0.0866  0.0992  0.1045  0.1027  0.0945
 -3.4206 -2.9499 -2.6052 -2.3595 -2.2078 -2.1172 -1.9591 -1.7460 -1.5517 -1.3836
 -1.2389 -1.1129 -0.9989 -0.8934 -0.7958 -0.5881 -0.4291 -0.3087 -0.2155 -0.1414
 -0.0820 -0.0352  0.0011  0.0296  0.0528  0.0719  0.0858  0.0930  0.0928  0.0858
  0.0726
 -3.6521 -3.1003 -2.6797 -2.3649 -2.1313 -1.9636 -1.8446 -1.7369 -1.5852 -1.4126
 -1.2584 -1.1262 -1.0110 -0.9061 -0.8089 -0.6001 -0.4379 -0.3140 -0.2187 -0.1442
 -0.0857 -0.0405 -0.0062  0.0195  0.0398  0.0560  0.0687  0.0767  0.0790  0.0744
  0.0625
 -3.9407 -3.3222 -2.8281 -2.4462 -2.1558 -1.9354 -1.7666 -1.6317 -1.5186 -1.4084
 -1.2811 -1.1451 -1.0247 -0.9192 -0.8224 -0.6131 -0.4482 -0.3206 -0.2222 -0.1462
 -0.0878 -0.0436 -0.0112  0.0120  0.0290  0.0420  0.0515  0.0577  0.0606  0.0585
  0.0498
 -4.2196 -3.5847 -3.0489 -2.6025 -2.2515 -1.9809 -1.7721 -1.6070 -1.4702 -1.3510
 -1.2444 -1.1428 -1.0386 -0.9352 -0.8399 -0.6307 -0.4631 -0.3318 -0.2292 -0.1502
 -0.0904 -0.0463 -0.0149  0.0064  0.0204  0.0297  0.0357  0.0391  0.0399  0.0374
  0.0317
 -4.5510 -3.8811 -3.3071 -2.8197 -2.4132 -2.0879 -1.8333 -1.6339 -1.4739 -1.3396
 -1.2217 -1.1161 -1.0202 -0.9309 -0.8464 -0.6488 -0.4800 -0.3454 -0.2388 -0.1556
 -0.0931 -0.0478 -0.0166  0.0034  0.0150  0.0209  0.0229  0.0225  0.0202  0.0159
  0.0101
 -4.9350 -4.2113 -3.5769 -3.0699 -2.6275 -2.2552 -1.9518 -1.7100 -1.5178 -1.3620
 -1.2312 -1.1172 -1.0151 -0.9232 -0.8419 -0.6674 -0.4989 -0.3614 -0.2510
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  V   
 -3.5305 -3.1673 -2.8601 -2.6035 -2.3436 -2.1190 -1.9201 -1.7402 -1.5771 -1.4288
 -1.2928 -1.1659 -1.0485 -0.9410 -0.8428 -0.6345 -0.4664 -0.3347 -0.2249
 -3.6250 -3.2032 -2.8535 -2.5689 -2.3164 -2.0838 -1.8812 -1.6997 -1.5322 -1.3876
 -1.2522 -1.1260 -1.0094 -0.9025 -0.8050 -0.6014 -0.4439 -0.3185 -0.2149 -0.1264
 -3.6830 -3.2791 -2.8959 -2.5776 -2.3155 -2.0735 -1.8625 -1.6793 -1.5104 -1.3655
 -1.2312 -1.1059 -0.9898 -0.8832 -0.7859 -0.5830 -0.4284 -0.3072 -0.2082 -0.1244
 -0.0532
 -3.3588 -3.3098 -2.9648 -2.6222 -2.3306 -2.0836 -1.8624 -1.6728 -1.5055 -1.3557
 -1.2222 -1.0979 -0.9824 -0.8759 -0.7784 -0.5743 -0.4199 -0.3008 -0.2048 -0.1244
 -0.0566 -0.0003
 -3.2185 -3.0663 -2.9711 -2.6808 -2.3743 -2.1078 -1.8795 -1.6793 -1.5073 -1.3550
 -1.2209 -1.0975 -0.9827 -0.8766 -0.7787 -0.5728 -0.4167 -0.2979 -0.2034 -0.1257
 -0.0606 -0.0070  0.0362  0.0708
 -3.2488 -2.8916 -2.7092 -2.6457 -2.4220 -2.1509 -1.9084 -1.6993 -1.5190 -1.3626
 -1.2248 -1.1019 -0.9880 -0.8824 -0.7847 -0.5768 -0.4179 -0.2979 -0.2042 -0.1279
 -0.0649 -0.0135  0.0276  0.0601  0.0861  0.1066  0.1192  0.1228  0.1203  0.1109
 -3.3968 -2.9322 -2.6081 -2.4057 -2.3192 -2.1822 -1.9516 -1.7324 -1.5426 -1.3774
 -1.2352 -1.1099 -0.9967 -0.8918 -0.7944 -0.5851 -0.4231 -0.3005 -0.2061 -0.1305
 -0.0691 -0.0195  0.0196  0.0501  0.0742  0.0932  0.1068  0.1138  0.1124  0.1045
  0.0899
 -3.6503 -3.0761 -2.6624 -2.3631 -2.1557 -2.0287 -1.9328 -1.7714 -1.5786 -1.4044
 -1.2532 -1.1228 -1.0083 -0.9039 -0.8069 -0.5969 -0.4319 -0.3060 -0.2095 -0.1335
 -0.0729 -0.0248  0.0126  0.0410  0.0629  0.0799  0.0923  0.1001  0.1014  0.0951
  0.0822
 -3.9666 -3.3122 -2.8044 -2.4287 -2.1503 -1.9468 -1.7997 -1.6888 -1.5786 -1.4355
 -1.2800 -1.1409 -1.0217 -0.9166 -0.8201 -0.6100 -0.4425 -0.3131 -0.2135 -0.1360
 -0.0754 -0.0281  0.0078  0.0342  0.0535  0.0679  0.0780  0.0842  0.0859  0.0824
  0.0715
 -4.3687 -3.6294 -3.0382 -2.5805 -2.2336 -1.9724 -1.7753 -1.6233 -1.4998 -1.3916
 -1.2843 -1.1668 -1.0443 -0.9351 -0.8382 -0.6280 -0.4581 -0.3250 -0.2215 -0.1411
 -0.0789 -0.0315  0.0036  0.0286  0.0457  0.0572  0.0643  0.0681  0.0683  0.0661
  0.0568
 -4.9033 -4.0277 -3.3362 -2.8106 -2.3929 -2.0697 -1.8224 -1.6317 -1.4808 -1.3546
 -1.2438 -1.1428 -1.0459 -0.9488 -0.8549 -0.6479 -0.4763 -0.3399 -0.2325 -0.1481
 -0.0832 -0.0345  0.0008  0.0249  0.0403  0.0492  0.0531  0.0537  0.0513  0.0460
  0.0377
 -5.5704 -4.5071 -3.6499 -3.0917 -2.6208 -2.2372 -1.9337 -1.6972 -1.5119 -1.3630
 -1.2382 -1.1289 -1.0304 -0.9400 -0.8702 -0.6697 -0.4971 -0.3578 -0.2465
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  V   
 -3.4504 -3.1147 -2.8257 -2.5789 -2.3195 -2.1048 -1.9128 -1.7344 -1.5708 -1.4228
 -1.2893 -1.1646 -1.0487 -0.9421 -0.8442 -0.6342 -0.4640 -0.3297 -0.2185
 -3.5391 -3.1440 -2.8154 -2.5468 -2.2976 -2.0719 -1.8735 -1.6917 -1.5276 -1.3832
 -1.2517 -1.1275 -1.0123 -0.9062 -0.8089 -0.6033 -0.4426 -0.3144 -0.2089 -0.1195
 -3.6609 -3.2238 -2.8524 -2.5496 -2.2985 -2.0617 -1.8563 -1.6749 -1.5065 -1.3640
 -1.2316 -1.1081 -0.9935 -0.8877 -0.7905 -0.5858 -0.4276 -0.3034 -0.2023 -0.1172
 -0.0446
 -3.6011 -3.3052 -2.9253 -2.5900 -2.3113 -2.0730 -1.8555 -1.6688 -1.5034 -1.3543
 -1.2225 -1.0998 -0.9856 -0.8799 -0.7826 -0.5769 -0.4190 -0.2968 -0.1987 -0.1167
 -0.0472  0.0112
 -3.2762 -3.2150 -2.9871 -2.6545 -2.3504 -2.0941 -1.8707 -1.6749 -1.5049 -1.3536
 -1.2207 -1.0987 -0.9851 -0.8797 -0.7822 -0.5747 -0.4153 -0.2934 -0.1971 -0.1175
 -0.0505  0.0055  0.0512  0.0873
 -3.2330 -2.9281 -2.8498 -2.6939 -2.4070 -2.1328 -1.8978 -1.6933 -1.5155 -1.3611
 -1.2241 -1.1024 -0.9895 -0.8846 -0.7872 -0.5780 -0.4159 -0.2929 -0.1971 -0.1192
 -0.0542 -0.0003  0.0435  0.0782  0.1053  0.1257  0.1382  0.1417  0.1387  0.1282
 -3.3587 -2.9172 -2.6293 -2.5061 -2.4158 -2.1825 -1.9377 -1.7227 -1.5367 -1.3747
 -1.2340 -1.1096 -0.9973 -0.8930 -0.7960 -0.5857 -0.4207 -0.2951 -0.1987 -0.1215
 -0.0580 -0.0058  0.0362  0.0692  0.0948  0.1146  0.1286  0.1349  0.1328  0.1242
  0.1084
 -3.6166 -3.0397 -2.6463 -2.3728 -2.2115 -2.1301 -1.9769 -1.7651 -1.5693 -1.3990
 -1.2506 -1.1217 -1.0080 -0.9042 -0.8077 -0.5971 -0.4292 -0.3003 -0.2019 -0.1245
 -0.0618 -0.0109  0.0296  0.0609  0.0849  0.1031  0.1166  0.1242  0.1246  0.1172
  0.1032
 -3.9357 -3.2736 -2.7706 -2.4109 -2.1516 -1.9747 -1.8631 -1.7612 -1.6063 -1.4318
 -1.2744 -1.1384 -1.0205 -0.9160 -0.8198 -0.6095 -0.4396 -0.3074 -0.2061 -0.1271
 -0.0644 -0.0143  0.0248  0.0546  0.0766  0.0928  0.1040  0.1107  0.1124  0.1075
  0.0950
 -4.4256 -3.6214 -3.0017 -2.5482 -2.2140 -1.9675 -1.7875 -1.6554 -1.5502 -1.4413
 -1.3098 -1.1696 -1.0433 -0.9342 -0.8374 -0.6271 -0.4552 -0.3196 -0.2146 -0.1327
 -0.0686 -0.0183  0.0202  0.0488  0.0693  0.0833  0.0923  0.0970  0.0975  0.0932
  0.0836
 -5.0721 -4.0831 -3.3260 -2.7778 -2.3617 -2.0486 -1.8130 -1.6345 -1.4962 -1.3818
 -1.2791 -1.1767 -1.0684 -0.9575 -0.8576 -0.6473 -0.4739 -0.3352 -0.2264 -0.1408
 -0.0740 -0.0224  0.0165  0.0445  0.0637  0.0759  0.0824  0.0846  0.0829  0.0775
  0.0679
 -5.8753 -4.6587 -3.6948 -3.0834 -2.5918 -2.2072 -1.9112 -1.6842 -1.5085 -1.3688
 -1.2521 -1.1491 -1.0541 -0.9627 -0.8804 -0.6701 -0.4957 -0.3542 -0.2415
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.3850 -3.0910 -2.8189 -2.5668 -2.3127 -2.0834 -1.8826 -1.7055 -1.5482 -1.4070
 -1.2788 -1.1612 -1.0517 -0.9485 -0.8507 -0.6398 -0.4669 -0.3267 -0.2139
 -3.4865 -3.1045 -2.7912 -2.5399 -2.2913 -2.0685 -1.8719 -1.6914 -1.5288 -1.3877
 -1.2565 -1.1342 -1.0205 -0.9153 -0.8185 -0.6112 -0.4470 -0.3143 -0.2064 -0.1155
 -3.6088 -3.1739 -2.8184 -2.5345 -2.2910 -2.0571 -1.8555 -1.6745 -1.5078 -1.3672
 -1.2366 -1.1149 -1.0017 -0.8969 -0.8003 -0.5942 -0.4326 -0.3047 -0.2007 -0.1134
 -0.0390
 -3.6626 -3.2740 -2.8864 -2.5640 -2.3023 -2.0669 -1.8528 -1.6686 -1.5041 -1.3567
 -1.2267 -1.1056 -0.9928 -0.8882 -0.7916 -0.5849 -0.4237 -0.2979 -0.1968 -0.1125
 -0.0409  0.0198
 -3.4181 -3.2940 -2.9699 -2.6265 -2.3314 -2.0891 -1.8669 -1.6735 -1.5054 -1.3543
 -1.2237 -1.1033 -0.9909 -0.8865 -0.7898 -0.5817 -0.4192 -0.2939 -0.1947 -0.1128
 -0.0434  0.0151  0.0634  0.1018
 -3.2323 -3.0279 -2.9578 -2.6926 -2.3876 -2.1185 -1.8937 -1.6901 -1.5154 -1.3625
 -1.2262 -1.1059 -0.9941 -0.8900 -0.7933 -0.5837 -0.4188 -0.2924 -0.1940 -0.1138
 -0.0465  0.0101  0.0567  0.0939  0.1230  0.1438  0.1560  0.1601  0.1570  0.1457
 -3.3204 -2.9119 -2.6900 -2.6333 -2.4371 -2.1707 -1.9268 -1.7188 -1.5346 -1.3750
 -1.2359 -1.1122 -1.0008 -0.8973 -0.8008 -0.5903 -0.4226 -0.2937 -0.1947 -0.1155
 -0.0498  0.0051  0.0501  0.0859  0.1137  0.1345  0.1487  0.1550  0.1532  0.1442
  0.1275
 -3.5518 -3.0031 -2.6372 -2.4052 -2.3150 -2.1983 -1.9759 -1.7565 -1.5648 -1.3972
 -1.2510 -1.1236 -1.0104 -0.9074 -0.8114 -0.6006 -0.4304 -0.2984 -0.1974 -0.1179
 -0.0532  0.0003  0.0439  0.0784  0.1048  0.1247  0.1385  0.1466  0.1473  0.1397
  0.1251
 -3.8628 -3.2183 -2.7354 -2.3980 -2.1666 -2.0347 -1.9498 -1.7952 -1.6033 -1.4263
 -1.2716 -1.1388 -1.0219 -0.9179 -0.8224 -0.6121 -0.4402 -0.3050 -0.2012 -0.1204
 -0.0557 -0.0031  0.0393  0.0724  0.0974  0.1158  0.1284  0.1359  0.1378  0.1327
  0.1195
 -4.4099 -3.5759 -2.9506 -2.5132 -2.1977 -1.9711 -1.8167 -1.7135 -1.6107 -1.4679
 -1.3106 -1.1675 -1.0434 -0.9352 -0.8389 -0.6288 -0.4554 -0.3171 -0.2097 -0.1261
 -0.0601 -0.0074  0.0344  0.0666  0.0904  0.1073  0.1183  0.1245  0.1259  0.1216
  0.1112
 -5.1318 -4.0759 -3.2842 -2.7304 -2.3271 -2.0293 -1.8089 -1.6469 -1.5263 -1.4259
 -1.3216 -1.2020 -1.0753 -0.9596 -0.8592 -0.6485 -0.4740 -0.3328 -0.2217 -0.1347
 -0.0661 -0.0122  0.0299  0.0617  0.0846  0.1002  0.1095  0.1138  0.1137  0.1087
  0.0988
 -6.0286 -4.7183 -3.7362 -3.0476 -2.5486 -2.1727 -1.8893 -1.6745 -1.5109 -1.3830
 -1.2767 -1.1801 -1.0841 -0.9846 -0.8833 -0.6712 -0.4960 -0.3521 -0.2372
