 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -1.7216 -1.6800 -1.8706 -1.8271 -1.6808 -1.4753 -1.2476 -1.0968 -0.9647 -0.8281
 -0.6987 -0.5784 -0.4678 -0.3679 -0.2780 -0.0908  0.0487  0.1603  0.2125
 -1.7257 -1.5665 -1.4350 -1.3491 -1.3071 -1.2362 -1.1096 -0.9689 -0.8396 -0.7178
 -0.6017 -0.4932 -0.3937 -0.3035 -0.2220 -0.0533  0.0692  0.1502  0.2000  0.2299
 -1.5632 -1.4090 -1.2640 -1.1375 -1.0367 -0.9753 -0.9318 -0.8554 -0.7506 -0.6383
 -0.5332 -0.4348 -0.3441 -0.2618 -0.1877 -0.0355  0.0732  0.1437  0.1870  0.2137
  0.2294
 -1.4284 -1.2927 -1.1551 -1.0248 -0.9087 -0.8105 -0.7346 -0.6852 -0.6366 -0.5659
 -0.4786 -0.3903 -0.3083 -0.2332 -0.1651 -0.0248  0.0746  0.1373  0.1751  0.1984
  0.2129  0.2207
 -1.3043 -1.1913 -1.0699 -0.9473 -0.8312 -0.7274 -0.6378 -0.5625 -0.5066 -0.4596
 -0.4084 -0.3450 -0.2761 -0.2090 -0.1471 -0.0171  0.0759  0.1329  0.1657  0.1851
  0.1973  0.2041  0.2065  0.2046
 -1.1883 -1.0929 -0.9916 -0.8827 -0.7738 -0.6709 -0.5791 -0.4995 -0.4317 -0.3747
 -0.3263 -0.2811 -0.2319 -0.1791 -0.1264 -0.0089  0.0791  0.1327  0.1613  0.1754
  0.1838  0.1884  0.1896  0.1878  0.1834  0.1753  0.1628  0.1448  0.1209  0.0908
 -1.0824 -0.9985 -0.9133 -0.8200 -0.7224 -0.6257 -0.5350 -0.4542 -0.3851 -0.3258
 -0.2735 -0.2263 -0.1829 -0.1404 -0.0974  0.0038  0.0852  0.1382  0.1630  0.1716
  0.1746  0.1753  0.1738  0.1704  0.1652  0.1598  0.1517  0.1382  0.1169  0.0874
  0.0537
 -0.9885 -0.9113 -0.8350 -0.7546 -0.6699 -0.5830 -0.4974 -0.4173 -0.3471 -0.2873
 -0.2358 -0.1896 -0.1463 -0.1058 -0.0671  0.0218  0.0949  0.1459  0.1702  0.1751
  0.1720  0.1669  0.1612  0.1548  0.1474  0.1393  0.1315  0.1213  0.1059  0.0828
  0.0506
 -0.9086 -0.8344 -0.7614 -0.6860 -0.6126 -0.5362 -0.4589 -0.3832 -0.3133 -0.2522
 -0.2005 -0.1562 -0.1158 -0.0775 -0.0407  0.0418  0.1083  0.1557  0.1809  0.1845
  0.1768  0.1655  0.1539  0.1426  0.1316  0.1208  0.1097  0.0980  0.0834  0.0657
  0.0451
 -0.8449 -0.7709 -0.6981 -0.6265 -0.5560 -0.4867 -0.4181 -0.3494 -0.2829 -0.2217
 -0.1686 -0.1240 -0.0856 -0.0499 -0.0163  0.0594  0.1219  0.1665  0.1918  0.1970
  0.1879  0.1721  0.1544  0.1371  0.1208  0.1058  0.0914  0.0774  0.0633  0.0479
  0.0314
 -0.7949 -0.7175 -0.6433 -0.5720 -0.5034 -0.4373 -0.3736 -0.3118 -0.2510 -0.1926
 -0.1392 -0.0930 -0.0544 -0.0215  0.0082  0.0766  0.1353  0.1777  0.2021  0.2092
  0.2012  0.1841  0.1623  0.1393  0.1170  0.0964  0.0772  0.0594  0.0425  0.0258
  0.0082
 -0.7430 -0.6511 -0.5728 -0.5045 -0.4428 -0.3847 -0.3280 -0.2712 -0.2153 -0.1615
 -0.1109 -0.0646 -0.0245  0.0087  0.0367  0.0960  0.1486  0.1889  0.2126
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.0606 -2.0125 -1.9215 -1.7296 -1.5072 -1.2950 -1.1183 -0.9748 -0.8471 -0.7271
 -0.6131 -0.5059 -0.4062 -0.3142 -0.2305 -0.0565  0.0727  0.1687  0.2238
 -1.8101 -1.6605 -1.5804 -1.5357 -1.4038 -1.2175 -1.0388 -0.8915 -0.7671 -0.6531
 -0.5457 -0.4452 -0.3523 -0.2674 -0.1907 -0.0330  0.0831  0.1628  0.2129  0.2429
 -1.6705 -1.5006 -1.3534 -1.2427 -1.1888 -1.1210 -0.9846 -0.8363 -0.7102 -0.6015
 -0.5003 -0.4060 -0.3190 -0.2396 -0.1681 -0.0217  0.0850  0.1572  0.2016  0.2282
  0.2437
 -1.5678 -1.4062 -1.2506 -1.1066 -0.9876 -0.9063 -0.8567 -0.7815 -0.6695 -0.5628
 -0.4666 -0.3780 -0.2963 -0.2217 -0.1544 -0.0166  0.0838  0.1512  0.1916  0.2149
  0.2286  0.2358
 -1.4800 -1.3341 -1.1860 -1.0438 -0.9135 -0.7977 -0.7042 -0.6368 -0.5874 -0.5206
 -0.4380 -0.3545 -0.2774 -0.2074 -0.1439 -0.0134  0.0823  0.1465  0.1838  0.2037
  0.2149  0.2207  0.2222  0.2185
 -1.4034 -1.2696 -1.1343 -0.9988 -0.8692 -0.7501 -0.6431 -0.5506 -0.4769 -0.4244
 -0.3783 -0.3219 -0.2572 -0.1922 -0.1326 -0.0091  0.0826  0.1446  0.1796  0.1958
  0.2033  0.2066  0.2067  0.2037  0.1988  0.1906  0.1773  0.1575  0.1308  0.0993
 -1.3271 -1.2067 -1.0852 -0.9604 -0.8368 -0.7195 -0.6115 -0.5147 -0.4301 -0.3596
 -0.3033 -0.2585 -0.2146 -0.1664 -0.1159 -0.0018  0.0858  0.1461  0.1798  0.1929
  0.1958  0.1950  0.1923  0.1877  0.1811  0.1735  0.1631  0.1480  0.1265  0.0977
  0.0619
 -1.2568 -1.1436 -1.0359 -0.9222 -0.8076 -0.6951 -0.5891 -0.4919 -0.4052 -0.3294
 -0.2653 -0.2116 -0.1662 -0.1258 -0.0860  0.0115  0.0926  0.1510  0.1844  0.1957
  0.1940  0.1880  0.1809  0.1731  0.1645  0.1567  0.1479  0.1354  0.1173  0.0921
  0.0588
 -1.1986 -1.0866 -0.9848 -0.8815 -0.7758 -0.6704 -0.5687 -0.4730 -0.3857 -0.3081
 -0.2413 -0.1845 -0.1355 -0.0924 -0.0538  0.0322  0.1049  0.1596  0.1927  0.2036
  0.1988  0.1873  0.1746  0.1620  0.1498  0.1376  0.1249  0.1102  0.0933  0.0745
  0.0539
 -1.1606 -1.0426 -0.9391 -0.8415 -0.7446 -0.6467 -0.5502 -0.4577 -0.3715 -0.2929
 -0.2238 -0.1649 -0.1148 -0.0708 -0.0313  0.0522  0.1196  0.1703  0.2025  0.2146
  0.2092  0.1940  0.1756  0.1572  0.1399  0.1235  0.1076  0.0921  0.0763  0.0593
  0.0412
 -1.1521 -1.0131 -0.9008 -0.8039 -0.7133 -0.6220 -0.5313 -0.4426 -0.3585 -0.2804
 -0.2098 -0.1483 -0.0960 -0.0516 -0.0126  0.0696  0.1345  0.1825  0.2131  0.2262
  0.2222  0.2060  0.1838  0.1599  0.1366  0.1148  0.0942  0.0749  0.0565  0.0382
  0.0191
 -1.1678 -0.9979 -0.8700 -0.7688 -0.6813 -0.5966 -0.5120 -0.4279 -0.3462 -0.2692
 -0.1984 -0.1348 -0.0796 -0.0330  0.0065  0.0858  0.1485  0.1948  0.2242
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.2640 -2.1287 -1.8817 -1.6238 -1.3744 -1.1615 -1.0034 -0.8721 -0.7536 -0.6445
 -0.5419 -0.4451 -0.3543 -0.2696 -0.1914 -0.0266  0.0967  0.1847  0.2419
 -1.9072 -1.8531 -1.7796 -1.5755 -1.3456 -1.1302 -0.9542 -0.8171 -0.6989 -0.5930
 -0.4943 -0.4017 -0.3153 -0.2352 -0.1618 -0.0095  0.1025  0.1810  0.2319  0.2624
 -1.7618 -1.5914 -1.4983 -1.4583 -1.3160 -1.1184 -0.9332 -0.7830 -0.6623 -0.5582
 -0.4630 -0.3744 -0.2919 -0.2158 -0.1463 -0.0025  0.1025  0.1755  0.2223  0.2496
  0.2647
 -1.6878 -1.4977 -1.3328 -1.2111 -1.1502 -1.0776 -0.9273 -0.7695 -0.6387 -0.5331
 -0.4404 -0.3551 -0.2763 -0.2036 -0.1373 -0.0003  0.1000  0.1696  0.2137  0.2385
  0.2516  0.2578
 -1.6337 -1.4499 -1.2750 -1.1179 -0.9871 -0.8920 -0.8340 -0.7510 -0.6288 -0.5149
 -0.4220 -0.3394 -0.2635 -0.1939 -0.1305  0.0007  0.0972  0.1644  0.2066  0.2294
  0.2402  0.2448  0.2450  0.2421
 -1.5881 -1.4150 -1.2447 -1.0834 -0.9358 -0.8071 -0.7016 -0.6235 -0.5668 -0.4942
 -0.4063 -0.3249 -0.2512 -0.1843 -0.1234  0.0026  0.0957  0.1610  0.2018  0.2229
  0.2311  0.2330  0.2316  0.2272  0.2208  0.2107  0.1952  0.1727  0.1438  0.1129
 -1.5478 -1.3849 -1.2229 -1.0660 -0.9181 -0.7831 -0.6624 -0.5572 -0.4711 -0.4068
 -0.3550 -0.2996 -0.2366 -0.1731 -0.1145  0.0066  0.0966  0.1602  0.2000  0.2198
  0.2253  0.2238  0.2195  0.2132  0.2049  0.1956  0.1833  0.1658  0.1414  0.1099
  0.0753
