 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -9.5888 -9.4111 -9.0006 -8.3922 -7.6251 -6.8426 -6.2700 -5.8878 -5.5992 -5.3674
 -5.1548 -4.9522 -4.7562 -4.5637 -4.3719 -3.8870 -3.3882 -2.8888 -2.4159 -1.9898
 -1.6184
 -8.8926 -8.7173 -8.4569 -8.1241 -7.6470 -6.9691 -6.2909 -5.8037 -5.4626 -5.1979
 -4.9732 -4.7634 -4.5638 -4.3706 -4.1805 -3.7069 -3.2234 -2.7386 -2.2804 -1.8729
 -1.5231 -1.2304
 -8.5831 -7.9811 -7.8276 -7.6719 -7.4193 -7.0183 -6.4266 -5.8410 -5.4116 -5.0979
 -4.8502 -4.6297 -4.4230 -4.2260 -4.0346 -3.5676 -3.0978 -2.6271 -2.1804 -1.7844
 -1.4474 -1.1671 -0.9430 -0.7725
 -8.7510 -7.8113 -7.2676 -7.0729 -6.9886 -6.8029 -6.4780 -5.9834 -5.4687 -5.0774
 -4.7848 -4.5480 -4.3315 -4.1276 -3.9323 -3.4650 -3.0049 -2.5466 -2.1095 -1.7202
 -1.3897 -1.1157 -0.8958 -0.7283 -0.6043 -0.5102 -0.4344 -0.3688 -0.3078 -0.2495
 -9.2247 -8.0236 -7.1993 -6.6931 -6.4440 -6.3536 -6.2410 -5.9974 -5.6051 -5.1539
 -4.7903 -4.5155 -4.2858 -4.0736 -3.8724 -3.3994 -2.9434 -2.4942 -2.0647 -1.6788
 -1.3497 -1.0769 -0.8572 -0.6886 -0.5656 -0.4758 -0.4085 -0.3551 -0.3088 -0.2648
 -0.2213
 -9.9098 -8.5225 -7.4492 -6.7052 -6.2223 -5.9361 -5.7849 -5.6903 -5.5406 -5.2604
 -4.8831 -4.5429 -4.2818 -4.0589 -3.8514 -3.3703 -2.9147 -2.4702 -2.0454 -1.6601
 -1.3280 -1.0517 -0.8281 -0.6554 -0.5291 -0.4404 -0.3770 -0.3303 -0.2940 -0.2629
 -0.2332
-10.7964 -9.2145 -7.9539 -6.9830 -6.2948 -5.8283 -5.5214 -5.3196 -5.1811 -5.0602
 -4.8946 -4.6330 -4.3225 -4.0742 -3.8586 -3.3693 -2.9123 -2.4696 -2.0461 -1.6588
 -1.3213 -1.0379 -0.8076 -0.6276 -0.4950 -0.4031 -0.3415 -0.2992 -0.2685 -0.2450
 -0.2261
-11.3467 -9.9201 -8.6437 -7.5037 -6.6151 -5.9655 -5.5070 -5.1860 -4.9547 -4.7767
 -4.6303 -4.4940 -4.3373 -4.1167 -3.8938 -3.3976 -2.9401 -2.5003 -2.0783 -1.6877
 -1.3420 -1.0478 -0.8061 -0.6150 -0.4715 -0.3709 -0.3049 -0.2627 -0.2356 -0.2169
 -0.2047
-11.9979-10.5977 -9.3243 -8.1663 -7.1375 -6.3164 -5.6968 -5.2427 -4.9111 -4.6615
 -4.4621 -4.2935 -4.1458 -4.0089 -3.8545 -3.4346 -2.9854 -2.5491 -2.1304 -1.7383
 -1.3846 -1.0780 -0.8223 -0.6171 -0.4595 -0.3460 -0.2707 -0.2238 -0.1962 -0.1806
 -0.1722
-12.7502-11.2474 -9.9427 -8.8259 -7.7649 -6.8348 -6.0736 -5.4796 -5.0286 -4.6875
 -4.4243 -4.2117 -4.0309 -3.8723 -3.7407 -3.4803 -3.0482 -2.6160 -2.2024
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  U   
-11.5512-10.2225 -9.0928 -8.1429 -7.3479 -6.8565 -6.5367 -6.2937 -6.0932 -5.9121
 -5.7339 -5.5560 -5.3777 -5.1969 -5.0133 -4.5443 -4.0238 -3.5122 -3.0065
-10.9018-10.0548 -9.1311 -8.1398 -7.2848 -6.6730 -6.2847 -6.0148 -5.7937 -5.6056
 -5.4245 -5.2470 -5.0712 -4.8948 -4.7160 -4.2542 -3.7684 -3.2716 -2.7871 -2.3334
-10.0908 -9.5977 -9.0134 -8.2355 -7.3776 -6.6298 -6.1320 -5.8061 -5.5556 -5.3561
 -5.1709 -4.9928 -4.8190 -4.6467 -4.4733 -4.0275 -3.5584 -3.0772 -2.6102 -2.1810
 -1.8001
 -9.0584 -8.9698 -8.6216 -8.1669 -7.4987 -6.7356 -6.1048 -5.6852 -5.3922 -5.1638
 -4.9698 -4.7878 -4.6133 -4.4429 -4.2736 -3.8440 -3.3938 -2.9290 -2.4758 -2.0622
 -1.7010 -1.3911
 -8.5936 -8.2096 -8.0687 -7.8202 -7.4573 -6.8875 -6.2216 -5.6774 -5.3055 -5.0339
 -4.8211 -4.6306 -4.4515 -4.2797 -4.1116 -3.6937 -3.2614 -2.8140 -2.3742 -1.9704
 -1.6207 -1.3236 -1.0766 -0.8793
 -8.6570 -7.7956 -7.3998 -7.3031 -7.1350 -6.8478 -6.3758 -5.8005 -5.3208 -4.9807
 -4.7259 -4.5213 -4.3339 -4.1570 -3.9869 -3.5738 -3.1558 -2.7250 -2.2974 -1.9018
 -1.5579 -1.2674 -1.0269 -0.8340 -0.6850 -0.5700 -0.4783 -0.4004 -0.3290 -0.2621
 -9.0844 -7.9220 -7.1611 -6.7514 -6.6203 -6.5240 -6.3097 -5.9379 -5.4554 -5.0186
 -4.7013 -4.4604 -4.2604 -4.0758 -3.9007 -3.4855 -3.0765 -2.6595 -2.2441 -1.8546
 -1.5129 -1.2238 -0.9851 -0.7934 -0.6458 -0.5355 -0.4516 -0.3849 -0.3290 -0.2767
 -0.2263
 -9.8085 -8.3795 -7.3415 -6.6490 -6.2318 -6.0319 -5.9450 -5.8129 -5.5459 -5.1578
 -4.7631 -4.4610 -4.2307 -4.0352 -3.8532 -3.4314 -3.0257 -2.6185 -2.2130 -1.8285
 -1.4863 -1.1946 -0.9533 -0.7592 -0.6095 -0.4990 -0.4189 -0.3589 -0.3124 -0.2740
 -0.2375
-10.7654 -9.0961 -7.8105 -6.8705 -6.2257 -5.8067 -5.5555 -5.4150 -5.3124 -5.1542
 -4.8803 -4.5365 -4.2498 -4.0284 -3.8376 -3.4066 -3.0008 -2.5986 -2.1993 -1.8180
 -1.4738 -1.1771 -0.9301 -0.7307 -0.5760 -0.4620 -0.3819 -0.3259 -0.2852 -0.2544
 -0.2299
-11.6209 -9.9409 -8.5316 -7.3668 -6.4999 -5.8860 -5.4646 -5.1821 -4.9918 -4.8550
 -4.7330 -4.5782 -4.3428 -4.0717 -3.8568 -3.4132 -3.0067 -2.6089 -2.2149 -1.8357
 -1.4881 -1.1837 -0.9275 -0.7187 -0.5547 -0.4322 -0.3467 -0.2895 -0.2516 -0.2253
 -0.2084
-12.8494-10.9139 -9.3314 -8.0674 -7.0104 -6.2022 -5.6104 -5.1862 -4.8842 -4.6640
 -4.4945 -4.3550 -4.2270 -4.0872 -3.8926 -3.4399 -3.0326 -2.6388 -2.2504 -1.8737
 -1.5230 -1.2102 -0.9426 -0.7217 -0.5455 -0.4113 -0.3158 -0.2524 -0.2127 -0.1888
 -0.1746
-14.4508-12.0151 -9.9995 -8.7862 -7.6818 -6.7217 -5.9639 -5.3903 -4.9631 -4.6461
 -4.4067 -4.2172 -4.0599 -3.9241 -3.9450 -3.4867 -3.0785 -2.6883 -2.3058
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  U   
-11.3634 -9.8954 -8.7438 -7.8773 -7.1726 -6.7680 -6.4952 -6.2800 -6.1000 -5.9363
 -5.7750 -5.6129 -5.4491 -5.2817 -5.1106 -4.6691 -4.1735 -3.6812 -3.1909
-11.1943 -9.9643 -8.8555 -7.8568 -7.0689 -6.5473 -6.2179 -5.9825 -5.7923 -5.6241
 -5.4646 -5.3056 -5.1465 -4.9855 -4.8215 -4.3920 -3.9330 -3.4558 -2.9825 -2.5323
-10.3561 -9.7355 -8.9468 -7.9855 -7.1238 -6.4529 -6.0301 -5.7508 -5.5353 -5.3626
 -5.2005 -5.0436 -4.8892 -4.7346 -4.5778 -4.1688 -3.7297 -3.2697 -2.8123 -2.3820
 -1.9935
 -9.5576 -9.2024 -8.7474 -8.1045 -7.2738 -6.5154 -5.9538 -5.5947 -5.3447 -5.1483
 -4.9807 -4.8225 -4.6696 -4.5192 -4.3684 -3.9800 -3.5636 -3.1230 -2.6803 -2.2640
 -1.8927 -1.5679
 -8.7088 -8.5101 -8.2744 -7.9321 -7.4012 -6.6863 -6.0192 -5.5417 -5.2227 -4.9892
 -4.8069 -4.6428 -4.4877 -4.3378 -4.1902 -3.8176 -3.4229 -3.0030 -2.5757 -2.1703
 -1.8094 -1.4969 -1.2301 -1.0065
 -8.5814 -7.8453 -7.6432 -7.4991 -7.2398 -6.8079 -6.2025 -5.6198 -5.1942 -4.9020
 -4.6824 -4.5064 -4.3448 -4.1918 -4.0437 -3.6801 -3.3033 -2.9039 -2.4929 -2.0972
 -1.7424 -1.4365 -1.1772 -0.9613 -0.7862 -0.6470 -0.5354 -0.4409 -0.3563 -0.2787
 -8.9305 -7.8338 -7.1651 -6.9088 -6.8226 -6.6355 -6.2979 -5.7988 -5.2898 -4.8993
 -4.6247 -4.4161 -4.2432 -4.0836 -3.9320 -3.5697 -3.2057 -2.8239 -2.4294 -2.0434
 -1.6921 -1.3883 -1.1317 -0.9192 -0.7476 -0.6127 -0.5080 -0.4250 -0.3557 -0.2926
 -0.2338
 -9.6413 -8.2197 -7.2427 -6.6202 -6.3039 -6.2012 -6.0888 -5.8443 -5.4547 -5.0141
 -4.6496 -4.3864 -4.1854 -4.0154 -3.8573 -3.4901 -3.1326 -2.7646 -2.3847 -2.0085
 -1.6598 -1.3547 -1.0966 -0.8832 -0.7113 -0.5772 -0.4753 -0.3980 -0.3382 -0.2894
 -0.2444
-10.6018 -8.9167 -7.6511 -6.7632 -6.1735 -5.8203 -5.6497 -5.5584 -5.4120 -5.1355
 -4.7701 -4.4317 -4.1783 -3.9836 -3.8163 -3.4397 -3.0834 -2.7238 -2.3549 -1.9868
 -1.6405 -1.3328 -1.0704 -0.8530 -0.6777 -0.5410 -0.4390 -0.3644 -0.3096 -0.2684
 -0.2361
-11.6805 -9.8385 -8.3603 -7.2101 -6.3854 -5.8166 -5.4417 -5.2119 -5.0753 -4.9673
 -4.8132 -4.5603 -4.2545 -4.0055 -3.8138 -3.4226 -3.0650 -2.7111 -2.3513 -1.9910
 -1.6470 -1.3355 -1.0659 -0.8404 -0.6572 -0.5134 -0.4060 -0.3293 -0.2761 -0.2390
 -0.2125
-13.1960-10.9851 -9.2394 -7.9130 -6.8588 -6.0837 -5.5290 -5.1406 -4.8755 -4.6933
 -4.5594 -4.4408 -4.3010 -4.0938 -3.8549 -3.4301 -3.0691 -2.7188 -2.3664 -2.0130
 -1.6716 -1.3566 -1.0790 -0.8432 -0.6494 -0.4953 -0.3785 -0.2949 -0.2386 -0.2024
 -0.1793
-15.1484-12.3565-10.0388 -8.7002 -7.5465 -6.5796 -5.8449 -5.3008 -4.9029 -4.6146
 -4.4033 -4.2418 -4.1103 -3.9921 -3.9396 -3.4622 -3.0957 -2.7469 -2.4002
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  U   
-10.8924 -9.5235 -8.4509 -7.6453 -7.0508 -6.6174 -6.3062 -6.0846 -5.9254 -5.8053
 -5.7047 -5.6069 -5.4978 -5.3655 -5.2068 -4.7895 -4.3173 -3.8060 -3.3355
-11.2704 -9.7343 -8.5261 -7.6134 -6.9033 -6.4566 -6.1768 -5.9724 -5.8049 -5.6549
 -5.5096 -5.3652 -5.2207 -5.0734 -4.9223 -4.5227 -4.0897 -3.6202 -3.1621 -2.7206
-10.8047 -9.7739 -8.7449 -7.7188 -6.9090 -6.3168 -5.9571 -5.7177 -5.5331 -5.3812
 -5.2376 -5.0978 -4.9593 -4.8198 -4.6777 -4.3022 -3.8923 -3.4549 -3.0112 -2.5841
 -2.1911
 -9.8744 -9.4176 -8.7908 -7.9243 -7.0412 -6.3245 -5.8356 -5.5298 -5.3163 -5.1478
 -5.0018 -4.8632 -4.7284 -4.5949 -4.4603 -4.1089 -3.7251 -3.3101 -2.8828 -2.4691
 -2.0906 -1.7537
 -9.0108 -8.7893 -8.4631 -7.9731 -7.2404 -6.4758 -5.8469 -5.4327 -5.1614 -4.9606
 -4.8054 -4.6634 -4.5284 -4.3973 -4.2673 -3.9351 -3.5763 -3.1858 -2.7769 -2.3756
 -2.0071 -1.6813 -1.3968 -1.1509
 -8.5554 -8.0351 -7.8999 -7.6668 -7.2809 -6.6703 -6.0058 -5.4562 -5.0908 -4.8413
 -4.6530 -4.5021 -4.3626 -4.2300 -4.1010 -3.7807 -3.4429 -3.0762 -2.6876 -2.2991
 -1.9382 -1.6190 -1.3422 -1.1054 -0.9059 -0.7411 -0.6066 -0.4923 -0.3909 -0.3002
 -8.7904 -7.7813 -7.2584 -7.1385 -6.9823 -6.6853 -6.1932 -5.6212 -5.1353 -4.7976
 -4.5628 -4.3832 -4.2345 -4.0969 -3.9656 -3.6496 -3.3269 -2.9809 -2.6127 -2.2381
 -1.8837 -1.5678 -1.2946 -1.0624 -0.8681 -0.7086 -0.5806 -0.4778 -0.3912 -0.3142
 -0.2448
 -9.4091 -8.0713 -7.1691 -6.6439 -6.4665 -6.3737 -6.1601 -5.7838 -5.3045 -4.8685
 -4.5486 -4.3220 -4.1481 -4.0012 -3.8646 -3.5458 -3.2320 -2.9026 -2.5526 -2.1921
 -1.8445 -1.5300 -1.2567 -1.0251 -0.8324 -0.6749 -0.5495 -0.4513 -0.3743 -0.3113
 -0.2549
-10.3403 -8.7060 -7.4979 -6.6734 -6.1524 -5.8968 -5.8019 -5.6741 -5.4090 -5.0259
 -4.6352 -4.3332 -4.1123 -3.9427 -3.7975 -3.4702 -3.1592 -2.8404 -2.5048 -2.1573
 -1.8165 -1.5025 -1.2271 -0.9928 -0.7982 -0.6397 -0.5146 -0.4182 -0.3449 -0.2897
 -0.2466
-11.5677 -9.6479 -8.1575 -7.0540 -6.2836 -5.7664 -5.4534 -5.2947 -5.1972 -5.0482
 -4.7836 -4.4531 -4.1593 -3.9394 -3.7709 -3.4285 -3.1162 -2.8044 -2.4808 -2.1454
 -1.8121 -1.4987 -1.2191 -0.9787 -0.7778 -0.6138 -0.4843 -0.3854 -0.3126 -0.2599
 -0.2223
-13.2506-10.8970 -9.0715 -7.7218 -6.7040 -5.9731 -5.4598 -5.1143 -4.8971 -4.7613
 -4.6519 -4.5102 -4.2859 -4.0135 -3.7930 -3.4146 -3.0974 -2.7889 -2.4740 -2.1493
 -1.8235 -1.5117 -1.2279 -0.9797 -0.7698 -0.5971 -0.4597 -0.3545 -0.2778 -0.2246
 -0.1889
-15.3889-12.4533-10.2399 -8.5915 -7.3753 -6.4290 -5.7297 -5.2193 -4.8543 -4.5999
 -4.4232 -4.2930 -4.1806 -4.0570 -3.8638 -3.4285 -3.1028 -2.7939 -2.4844
