 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -9.1210 -8.3286 -7.6168 -6.9707 -6.4027 -5.9234 -5.5341 -5.2154 -4.9374 -4.6703
 -4.3963 -4.1148 -3.8403 -3.5851 -3.3495 -2.7836 -2.2080 -1.6943 -1.2692 -0.9260
 -0.6722 -0.5029 -0.3965 -0.3304 -0.2888 -0.2627 -0.2471 -0.2371 -0.2313 -0.2293
 -0.2307
 -9.3670 -8.5778 -7.8680 -7.2259 -6.6202 -6.0824 -5.6204 -5.2373 -4.9193 -4.6407
 -4.3761 -4.1080 -3.8343 -3.5661 -3.3143 -2.7603 -2.2395 -1.7436 -1.3170 -0.9663
 -0.6943 -0.5021 -0.3765 -0.2986 -0.2515 -0.2240 -0.2094 -0.2033 -0.2028 -0.2055
 -0.2093
 -9.6018 -8.8478 -8.1563 -7.5194 -6.8972 -6.3314 -5.8178 -5.3676 -4.9853 -4.6635
 -4.3824 -4.1195 -3.8584 -3.5946 -3.3355 -2.7580 -2.2601 -1.7907 -1.3679 -1.0134
 -0.7295 -0.5178 -0.3711 -0.2756 -0.2171 -0.1835 -0.1666 -0.1606 -0.1620 -0.1683
 -0.1771
 -9.8252 -9.1385 -8.4815 -7.8395 -7.2211 -6.6356 -6.0924 -5.5994 -5.1586 -4.7742
 -4.4468 -4.1609 -3.8978 -3.6426 -3.3887 -2.7916 -2.2847 -1.8336 -1.4198
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  U   
-10.8809-10.3831 -9.8512 -9.3659 -8.7135 -8.0066 -7.4154 -6.9866 -6.6220 -6.2919
 -5.9753 -5.6695 -5.3746 -5.0879 -4.8060 -4.1065 -3.3920 -2.6767 -2.0515
 -9.5856 -9.2835 -9.0548 -8.7391 -8.3894 -7.8845 -7.2505 -6.7415 -6.3337 -5.9748
 -5.6315 -5.3023 -4.9879 -4.6867 -4.3952 -3.6965 -3.0241 -2.3878 -1.8357 -1.4179
 -9.0051 -8.4403 -8.1753 -8.0664 -7.8856 -7.6108 -7.1735 -6.6183 -6.1501 -5.7583
 -5.3895 -5.0365 -4.7018 -4.3852 -4.0843 -3.3860 -2.7467 -2.1679 -1.6714 -1.2887
 -1.0209
 -8.7554 -8.0643 -7.6157 -7.3606 -7.2478 -7.1466 -6.9306 -6.5609 -6.0685 -5.6320
 -5.2420 -4.8686 -4.5147 -4.1824 -3.8708 -3.1683 -2.5502 -2.0091 -1.5503 -1.1906
 -0.9383 -0.7642
 -8.7062 -7.9211 -7.3584 -6.9727 -6.7179 -6.5506 -6.4397 -6.2840 -5.9939 -5.5776
 -5.1736 -4.7873 -4.4180 -4.0708 -3.7473 -3.0326 -2.4237 -1.9034 -1.4667 -1.1202
 -0.8741 -0.7077 -0.5918 -0.5056
 -8.8202 -7.9537 -7.2790 -6.7900 -6.4385 -6.1778 -5.9704 -5.7930 -5.6372 -5.4277
