 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -5.9852 -5.4694 -5.1810 -5.0793 -5.1082 -5.1535 -4.9508 -4.7741 -4.5899 -4.3855
 -4.1559 -3.9127 -3.6724 -3.4217 -3.1757 -2.5631 -1.9818 -1.5404 -1.1438
 -5.7473 -5.3708 -5.0864 -4.8849 -4.7424 -4.6071 -4.4566 -4.2933 -4.1209 -3.9389
 -3.7332 -3.4999 -3.2528 -3.0110 -2.7803 -2.2398 -1.7678 -1.3844 -1.0959 -0.8744
 -5.4987 -5.1293 -4.8148 -4.5505 -4.3352 -4.1703 -4.0444 -3.9137 -3.7539 -3.5703
 -3.3807 -3.1785 -2.9577 -2.7382 -2.5312 -2.0636 -1.6512 -1.3107 -1.0525 -0.8544
 -0.6944
 -5.3006 -4.9523 -4.6416 -4.3641 -4.1179 -3.9031 -3.7195 -3.5663 -3.4293 -3.2762
 -3.0979 -2.9140 -2.7213 -2.5237 -2.3362 -1.9217 -1.5630 -1.2604 -1.0269 -0.8475
 -0.7020 -0.5779
 -5.1048 -4.7902 -4.4999 -4.2300 -3.9796 -3.7496 -3.5410 -3.3542 -3.1871 -3.0349
 -2.8828 -2.7185 -2.5462 -2.3671 -2.1943 -1.8181 -1.4999 -1.2284 -1.0144 -0.8496
 -0.7162 -0.6020 -0.5004 -0.4083
 -4.9004 -4.6245 -4.3643 -4.1145 -3.8745 -3.6464 -3.4319 -3.2329 -3.0504 -2.8826
 -2.7260 -2.5748 -2.4230 -2.2643 -2.1049 -1.7493 -1.4589 -1.2107 -1.0107 -0.8567
 -0.7334 -0.6282 -0.5343 -0.4485 -0.3652 -0.2862 -0.2148 -0.1535 -0.1042 -0.0681
 -4.6966 -4.4530 -4.2251 -4.0022 -3.7820 -3.5660 -3.3569 -3.1572 -2.9696 -2.7953
 -2.6331 -2.4808 -2.3351 -2.1915 -2.0483 -1.7129 -1.4359 -1.2039 -1.0129 -0.8656
 -0.7501 -0.6532 -0.5673 -0.4885 -0.4148 -0.3455 -0.2809 -0.2212 -0.1667 -0.1205
 -0.0938
 -4.4966 -4.2837 -4.0829 -3.8863 -3.6906 -3.4938 -3.2971 -3.1046 -2.9195 -2.7435
 -2.5788 -2.4251 -2.2803 -2.1416 -2.0077 -1.6960 -1.4273 -1.2050 -1.0198 -0.8749
 -0.7639 -0.6740 -0.5961 -0.5249 -0.4584 -0.3953 -0.3344 -0.2774 -0.2264 -0.1830
 -0.1482
 -4.3063 -4.1197 -3.9394 -3.7650 -3.5921 -3.4165 -3.2379 -3.0582 -2.8808 -2.7086
 -2.5442 -2.3895 -2.2445 -2.1074 -1.9771 -1.6816 -1.4240 -1.2079 -1.0279 -0.8835
 -0.7735 -0.6882 -0.6174 -0.5544 -0.4958 -0.4399 -0.3867 -0.3371 -0.2911 -0.2484
 -0.2087
 -4.1258 -3.9610 -3.8031 -3.6452 -3.4901 -3.3347 -3.1759 -3.0133 -2.8489 -2.6851
 -2.5251 -2.3715 -2.2261 -2.0895 -1.9607 -1.6728 -1.4253 -1.2142 -1.0383 -0.8948
 -0.7836 -0.6991 -0.6326 -0.5768 -0.5264 -0.4788 -0.4332 -0.3893 -0.3502 -0.3101
 -0.2714
 -3.9550 -3.8076 -3.6740 -3.5244 -3.3828 -3.2426 -3.1016 -2.9573 -2.8093 -2.6587
 -2.5078 -2.3592 -2.2157 -2.0794 -1.9509 -1.6659 -1.4253 -1.2193 -1.0467 -0.9049
 -0.7930 -0.7075 -0.6423 -0.5909 -0.5476 -0.5083 -0.4712 -0.4353 -0.4002 -0.3667
 -0.3354
 -3.7939 -3.6595 -3.5521 -3.4014 -3.2689 -3.1397 -3.0123 -2.8841 -2.7530 -2.6187
 -2.4815 -2.3430 -2.2057 -2.0723 -1.9477 -1.6609 -1.4240 -1.2232 -1.0531
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = BX   
 -6.0120 -5.5790 -5.2753 -5.0775 -4.9560 -4.8613 -4.6953 -4.5380 -4.3612 -4.1581
 -3.9273 -3.6797 -3.4323 -3.1934 -2.9677 -2.4398 -1.9499 -1.5406 -1.1768
 -5.6058 -5.2589 -5.0071 -4.7888 -4.5914 -4.4165 -4.2580 -4.1044 -3.9429 -3.7638
 -3.5610 -3.3345 -3.0984 -2.8720 -2.6614 -2.1912 -1.7723 -1.4067 -1.1145 -0.8841
 -5.3490 -4.9510 -4.6378 -4.3995 -4.2307 -4.0915 -3.9392 -3.7746 -3.6073 -3.4389
 -3.2595 -3.0617 -2.8464 -2.6340 -2.4378 -2.0131 -1.6492 -1.3304 -1.0694 -0.8652
 -0.7009
 -5.2192 -4.8185 -4.4861 -4.2111 -3.9850 -3.8008 -3.6572 -3.5320 -3.3820 -3.2063
 -3.0284 -2.8496 -2.6590 -2.4616 -2.2774 -1.8832 -1.5587 -1.2776 -1.0427 -0.8565
 -0.7063 -0.5794
 -5.1310 -4.7443 -4.4141 -4.1295 -3.8829 -3.6691 -3.4831 -3.3206 -3.1805 -3.0428
 -2.8785 -2.7021 -2.5245 -2.3432 -2.1676 -1.7950 -1.4967 -1.2434 -1.0294 -0.8574
 -0.7187 -0.6014 -0.4981 -0.4048
 -5.0494 -4.6873 -4.3702 -4.0891 -3.8374 -3.6107 -3.4064 -3.2220 -3.0535 -2.8991
 -2.7548 -2.6042 -2.4416 -2.2699 -2.1007 -1.7401 -1.4579 -1.2233 -1.0249 -0.8638
 -0.7345 -0.6258 -0.5302 -0.4434 -0.3634 -0.2894 -0.2212 -0.1572 -0.0988 -0.0606
 -4.9608 -4.6285 -4.3326 -4.0633 -3.8154 -3.5859 -3.3737 -3.1781 -2.9971 -2.8284
 -2.6703 -2.5210 -2.3767 -2.2262 -2.0695 -1.7117 -1.4367 -1.2135 -1.0259 -0.8725
 -0.7503 -0.6496 -0.5617 -0.4819 -0.4079 -0.3388 -0.2747 -0.2154 -0.1608 -0.1144
 -0.0880
 -4.8650 -4.5619 -4.2901 -4.0386 -3.8011 -3.5760 -3.3630 -3.1624 -2.9746 -2.7987
 -2.6330 -2.4768 -2.3298 -2.1877 -2.0467 -1.7081 -1.4297 -1.2116 -1.0307 -0.8817
 -0.7641 -0.6698 -0.5895 -0.5173 -0.4503 -0.3871 -0.3280 -0.2727 -0.2212 -0.1767
 -0.1419
 -4.7632 -4.4847 -4.2347 -4.0030 -3.7813 -3.5664 -3.3582 -3.1583 -2.9681 -2.7882
 -2.6183 -2.4580 -2.3065 -2.1627 -2.0251 -1.7069 -1.4326 -1.2136 -1.0363 -0.8897
 -0.7739 -0.6837 -0.6102 -0.5459 -0.4867 -0.4308 -0.3779 -0.3278 -0.2809 -0.2383
 -0.2023
 -4.6684 -4.4093 -4.1758 -3.9603 -3.7549 -3.5544 -3.3566 -3.1624 -2.9742 -2.7936
 -2.6217 -2.4588 -2.3044 -2.1581 -2.0195 -1.7082 -1.4421 -1.2223 -1.0454 -0.9003
