 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -8.9657 -8.3869 -7.9720 -7.6822 -7.4673 -7.2881 -7.1923 -7.0159 -6.8218 -6.5913
 -6.3191 -5.8683 -5.5743 -5.2585 -4.9319 -3.9867 -2.9371 -2.3057 -1.6547
 -8.2262 -7.7717 -7.4230 -7.1696 -6.9869 -6.8225 -6.6500 -6.4619 -6.2573 -6.0286
 -5.7548 -5.4278 -5.0705 -4.7106 -4.3521 -3.4217 -2.5695 -1.9160 -1.4620 -1.1432
 -7.9717 -7.4785 -7.0474 -6.6821 -6.3868 -6.1645 -6.0029 -5.8553 -5.6838 -5.4706
 -5.2227 -4.9295 -4.5906 -4.2461 -3.9097 -3.0830 -2.3084 -1.7085 -1.2984 -1.0168
 -0.8184
 -7.8205 -7.2998 -6.8296 -6.4113 -6.0458 -5.7338 -5.4741 -5.2660 -5.0950 -4.9196
 -4.7072 -4.4584 -4.1640 -3.8435 -3.5304 -2.7892 -2.1013 -1.5469 -1.1686 -0.9150
 -0.7396 -0.6147
 -7.7226 -7.1907 -6.7008 -6.2544 -5.8523 -5.4937 -5.1774 -4.9010 -4.6611 -4.4530
 -4.2566 -4.0433 -3.7984 -3.5194 -3.2327 -2.5635 -1.9513 -1.4346 -1.0720 -0.8346
 -0.6747 -0.5626 -0.4823 -0.4232
 -7.6605 -7.1307 -6.6349 -6.1742 -5.7511 -5.3667 -5.0187 -4.7051 -4.4239 -4.1715
 -3.9433 -3.7302 -3.5158 -3.2774 -3.0226 -2.4067 -1.8554 -1.3711 -1.0112 -0.7748
 -0.6211 -0.5167 -0.4433 -0.3911 -0.3522 -0.3218 -0.2968 -0.2743 -0.2523 -0.2292
 -7.6354 -7.1094 -6.6166 -6.1528 -5.7196 -5.3195 -4.9523 -4.6160 -4.3093 -4.0304
 -3.7764 -3.5436 -3.3260 -3.1084 -2.8830 -2.3120 -1.8019 -1.3484 -0.9864 -0.7384
 -0.5789 -0.4753 -0.4052 -0.3570 -0.3236 -0.2995 -0.2815 -0.2671 -0.2544 -0.2419
 -0.2288
 -7.6487 -7.1302 -6.6408 -6.1784 -5.7435 -5.3356 -4.9551 -4.6038 -4.2803 -3.9818
 -3.7086 -3.4586 -3.2282 -3.0091 -2.7947 -2.2669 -1.7767 -1.3511 -0.9916 -0.7276
 -0.5518 -0.4395 -0.3676 -0.3205 -0.2896 -0.2699 -0.2565 -0.2473 -0.2412 -0.2370
 -0.2341
 -7.7036 -7.1874 -6.7006 -6.2408 -5.8065 -5.3957 -5.0082 -4.6459 -4.3088 -3.9962
 -3.7069 -3.4404 -3.1953 -2.9667 -2.7490 -2.2430 -1.7721 -1.3603 -1.0106 -0.7359
 -0.5410 -0.4125 -0.3315 -0.2814 -0.2508 -0.2330 -0.2240 -0.2192 -0.2174 -0.2183
 -0.2217
 -7.8002 -7.2810 -6.8056 -6.3456 -5.9112 -5.5004 -5.1100 -4.7403 -4.3924 -4.0671
 -3.7635 -3.4816 -3.2204 -2.9787 -2.7518 -2.2433 -1.7881 -1.3825 -1.0388 -0.7604
 -0.5504 -0.4027 -0.3055 -0.2455 -0.2103 -0.1912 -0.1829 -0.1818 -0.1841 -0.1891
 -0.1969
 -7.9383 -7.4110 -6.9558 -6.4747 -6.0418 -5.6293 -5.2385 -4.8656 -4.5108 -4.1749
 -3.8586 -3.5622 -3.2855 -3.0282 -2.7883 -2.2607 -1.8098 -1.4105 -1.0689 -0.7884
 -0.5699 -0.4075 -0.2930 -0.2178 -0.1724 -0.1478 -0.1372 -0.1360 -0.1410 -0.1500
 -0.1610
 -8.1180 -7.5774 -7.1512 -6.6226 -6.1874 -5.7725 -5.3797 -5.0059 -4.6479 -4.3054
 -3.9792 -3.6703 -3.3793 -3.1067 -2.8585 -2.2952 -1.8372 -1.4443 -1.1009
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = UX   
 -7.8986 -7.5834 -7.3631 -7.2118 -7.0989 -6.9993 -6.9186 -6.7931 -6.6333 -6.4218
 -6.1488 -5.7763 -5.4384 -5.1022 -4.7726 -3.9223 -3.0307 -2.3489 -1.7255
 -7.5172 -7.2282 -7.0177 -6.8325 -6.6612 -6.5047 -6.3586 -6.2121 -6.0463 -5.8417
 -5.5847 -5.2719 -4.9282 -4.5869 -4.2565 -3.4540 -2.6720 -2.0100 -1.5310 -1.1883
 -7.3073 -6.9087 -6.5839 -6.3319 -6.1532 -6.0113 -5.8621 -5.6942 -5.5094 -5.3066
 -5.0690 -4.7841 -4.4585 -4.1277 -3.8120 -3.0751 -2.3879 -1.7978 -1.3649 -1.0665
 -0.8570
 -7.2497 -6.7923 -6.3959 -6.0571 -5.7740 -5.5430 -5.3655 -5.2205 -5.0563 -4.8513
 -4.6214 -4.3660 -4.0725 -3.7588 -3.4584 -2.7773 -2.1661 -1.6355 -1.2364 -0.9636
 -0.7760 -0.6430
 -7.2907 -6.7889 -6.3444 -5.9519 -5.6085 -5.3104 -5.0531 -4.8314 -4.6459 -4.4748
 -4.2728 -4.0383 -3.7773 -3.4911 -3.2040 -2.5651 -2.0094 -1.5229 -1.1438 -0.8843
 -0.7099 -0.5890 -0.5023 -0.4379
