 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -2.7263 -2.4476 -2.2160 -2.0208 -1.8525 -1.7042 -1.5716 -1.4521 -1.3439 -1.2449
 -1.1534 -1.0671 -0.9849 -0.9059 -0.8292 -0.6491 -0.4955 -0.3787 -0.2985 -0.2468
 -0.2137 -0.1899 -0.1698 -0.1512 -0.1331 -0.1151 -0.0976 -0.0809 -0.0661 -0.0550
 -0.0512
 -2.6691 -2.4051 -2.1808 -1.9902 -1.8256 -1.6803 -1.5496 -1.4310 -1.3229 -1.2241
 -1.1330 -1.0481 -0.9676 -0.8904 -0.8157 -0.6417 -0.4935 -0.3775 -0.2947 -0.2405
 -0.2075 -0.1871 -0.1731 -0.1614 -0.1500 -0.1381 -0.1258 -0.1131 -0.1008 -0.0899
 -0.0798
 -2.6324 -2.3799 -2.1586 -1.9684 -1.8034 -1.6584 -1.5282 -1.4098 -1.3018 -1.2028
 -1.1120 -1.0281 -0.9497 -0.8751 -0.8033 -0.6354 -0.4907 -0.3761 -0.2917 -0.2348
 -0.1998 -0.1798 -0.1692 -0.1633 -0.1587 -0.1538 -0.1479 -0.1409 -0.1332 -0.1253
 -0.1184
 -2.6116 -2.3692 -2.1526 -1.9599 -1.7909 -1.6425 -1.5102 -1.3906 -1.2816 -1.1818
 -1.0904 -1.0068 -0.9280 -0.8554 -0.7920 -0.6302 -0.4871 -0.3745 -0.2895
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  V   
 -5.1742 -4.6158 -4.1351 -3.7223 -3.3661 -3.0487 -2.7532 -2.4720 -2.2192 -1.9960
 -1.7939 -1.6069 -1.4335 -1.2784 -1.1402 -0.8538 -0.6275 -0.4466 -0.3043
 -4.7245 -4.1749 -3.6985 -3.2956 -2.9579 -2.6718 -2.4208 -2.1919 -1.9868 -1.8031
 -1.6327 -1.4690 -1.3114 -1.1663 -1.0364 -0.7730 -0.5736 -0.4166 -0.2947 -0.2016
 -4.1703 -3.6753 -3.2936 -2.9664 -2.6732 -2.4178 -2.1956 -1.9986 -1.8231 -1.6657
 -1.5199 -1.3779 -1.2356 -1.0990 -0.9745 -0.7235 -0.5397 -0.3994 -0.2914 -0.2080
 -0.1420
 -3.8567 -3.3239 -2.9110 -2.5982 -2.3674 -2.1941 -2.0314 -1.8674 -1.7108 -1.5677
 -1.4368 -1.3127 -1.1874 -1.0606 -0.9411 -0.6963 -0.5204 -0.3902 -0.2920 -0.2165
 -0.1559 -0.1054
 -3.7061 -3.1671 -2.7449 -2.4192 -2.1674 -1.9762 -1.8337 -1.7226 -1.6219 -1.5058
 -1.3829 -1.2652 -1.1523 -1.0379 -0.9244 -0.6838 -0.5106 -0.3859 -0.2942 -0.2252
 -0.1701 -0.1236 -0.0832 -0.0480
 -3.6281 -3.0960 -2.6750 -2.3474 -2.0922 -1.8914 -1.7315 -1.6021 -1.4980 -1.4149
 -1.3316 -1.2334 -1.1277 -1.0214 -0.9157 -0.6799 -0.5064 -0.3837 -0.2961 -0.2324
 -0.1829 -0.1411 -0.1044 -0.0717 -0.0424 -0.0157  0.0057  0.0191  0.0232  0.0198
 -3.5727 -3.0592 -2.6464 -2.3216 -2.0656 -1.8608 -1.6947 -1.5572 -1.4412 -1.3409
 -1.2543 -1.1770 -1.0960 -1.0053 -0.9085 -0.6807 -0.5056 -0.3821 -0.2962 -0.2362
 -0.1923 -0.1561 -0.1242 -0.0952 -0.0685 -0.0442 -0.0230 -0.0057  0.0050  0.0040
 -0.0056
 -3.5189 -3.0324 -2.6343 -2.3155 -2.0608 -1.8543 -1.6843 -1.5413 -1.4188 -1.3118
 -1.2154 -1.1277 -1.0485 -0.9724 -0.8918 -0.6824 -0.5070 -0.3809 -0.2943 -0.2360
 -0.1964 -0.1663 -0.1401 -0.1162 -0.0936 -0.0723 -0.0529 -0.0356 -0.0214 -0.0153
 -0.0216
 -3.4594 -3.0053 -2.6262 -2.3159 -2.0635 -1.8564 -1.6836 -1.5366 -1.4094 -1.2975
 -1.1970 -1.1047 -1.0190 -0.9396 -0.8641 -0.6773 -0.5079 -0.3790 -0.2903 -0.2317
 -0.1945 -0.1696 -0.1499 -0.1322 -0.1151 -0.0983 -0.0822 -0.0669 -0.0536 -0.0449
 -0.0411
 -3.4099 -2.9927 -2.6331 -2.3308 -2.0793 -1.8697 -1.6930 -1.5417 -1.4101 -1.2941
 -1.1900 -1.0953 -1.0074 -0.9249 -0.8473 -0.6694 -0.5098 -0.3802 -0.2878 -0.2267
