 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -1.6108 -1.3952 -1.1884 -1.0001 -0.8363 -0.6967 -0.5773 -0.4740 -0.3838 -0.3052
 -0.2377 -0.1808 -0.1330 -0.0918 -0.0558  0.0189  0.0817  0.1303  0.1627  0.1766
  0.1738  0.1608  0.1441  0.1269  0.1107  0.0954  0.0808  0.0666  0.0522  0.0367
  0.0202
 -1.4870 -1.2997 -1.1187 -0.9507 -0.8018 -0.6730 -0.5619 -0.4648 -0.3786 -0.3012
 -0.2322 -0.1716 -0.1196 -0.0755 -0.0377  0.0381  0.0988  0.1438  0.1735  0.1877
  0.1859  0.1721  0.1518  0.1292  0.1070  0.0863  0.0669  0.0489  0.0317  0.0147
 -0.0030
 -1.3531 -1.1924 -1.0394 -0.8944 -0.7607 -0.6416 -0.5385 -0.4476 -0.3661 -0.2921
 -0.2244 -0.1630 -0.1083 -0.0611 -0.0250  0.0535  0.1159  0.1594  0.1857
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  R   
 -2.8955 -2.7365 -2.5784 -2.4131 -2.2426 -2.0407 -1.7784 -1.4577 -1.1616 -0.9162
 -0.7214 -0.5681 -0.4451 -0.3425 -0.2540 -0.0753  0.0577  0.1520  0.2123
 -2.7108 -2.5304 -2.3499 -2.1643 -1.9712 -1.7664 -1.5308 -1.2617 -1.0165 -0.8102
 -0.6428 -0.5081 -0.3978 -0.3045 -0.2232 -0.0590  0.0612  0.1455  0.1999  0.2322
 -2.5752 -2.3811 -2.1846 -1.9825 -1.7771 -1.5713 -1.3601 -1.1316 -0.9198 -0.7390
 -0.5905 -0.4695 -0.3692 -0.2831 -0.2072 -0.0535  0.0587  0.1371  0.1877  0.2175
  0.2340
 -2.4316 -2.2087 -2.0207 -1.8295 -1.6297 -1.4271 -1.2296 -1.0331 -0.8471 -0.6850
 -0.5498 -0.4393 -0.3479 -0.2690 -0.1981 -0.0527  0.0538  0.1282  0.1762  0.2041
  0.2191  0.2264
 -2.3192 -2.0586 -1.8258 -1.6173 -1.4301 -1.2612 -1.1041 -0.9428 -0.7841 -0.6396
 -0.5153 -0.4121 -0.3274 -0.2558 -0.1906 -0.0528  0.0490  0.1204  0.1663  0.1924
  0.2056  0.2115  0.2130  0.2103
 -2.2820 -1.9902 -1.7151 -1.4678 -1.2536 -1.0706 -0.9173 -0.7906 -0.6811 -0.5793
 -0.4797 -0.3871 -0.3067 -0.2395 -0.1808 -0.0515  0.0462  0.1150  0.1590  0.1834
  0.1941  0.1979  0.1978  0.1946  0.1887  0.1797  0.1671  0.1478  0.1209  0.0918
 -2.2798 -1.9752 -1.6787 -1.4085 -1.1739 -0.9761 -0.8115 -0.6749 -0.5622 -0.4724
 -0.4022 -0.3409 -0.2801 -0.2209 -0.1664 -0.0472  0.0464  0.1128  0.1552  0.1779
  0.1862  0.1866  0.1838  0.1789  0.1722  0.1635  0.1521  0.1373  0.1169  0.0878
  0.0551
 -2.2798 -1.9793 -1.6778 -1.3960 -1.1485 -0.9398 -0.7668 -0.6241 -0.5074 -0.4120
 -0.3348 -0.2741 -0.2262 -0.1835 -0.1419 -0.0386  0.0501  0.1142  0.1554  0.1768
  0.1862  0.1797  0.1730  0.1649  0.1560  0.1461  0.1347  0.1222  0.1059  0.0828
  0.0511
 -2.2531 -1.9692 -1.6749 -1.3957 -1.1451 -0.9312 -0.7533 -0.6061 -0.4850 -0.3855
 -0.3041 -0.2374 -0.1827 -0.1383 -0.1015 -0.0192  0.0590  0.1200  0.1598  0.1804
  0.1848  0.1782  0.1669  0.1543  0.1417  0.1291  0.1160  0.1023  0.0869  0.0686
  0.0448
 -2.1982 -1.9333 -1.6604 -1.3926 -1.1484 -0.9362 -0.7577 -0.6085 -0.4846 -0.3811
 -0.2948 -0.2232 -0.1634 -0.1134 -0.0715  0.0073  0.0743  0.1288  0.1670  0.1875
  0.1917  0.1831  0.1675  0.1498  0.1322  0.1155  0.0992  0.0832  0.0670  0.0495
  0.0313
 -2.1214 -1.8752 -1.6244 -1.3743 -1.1431 -0.9386 -0.7634 -0.6159 -0.4919 -0.3867
 -0.2970 -0.2206 -0.1559 -0.1013 -0.0551  0.0308  0.0938  0.1428  0.1772  0.1972
  0.2018  0.1929  0.1746  0.1521  0.1291  0.1071  0.0862  0.0666  0.0477  0.0289
  0.0094
 -2.0277 -1.7999 -1.5705 -1.3427 -1.1281 -0.9347 -0.7661 -0.6220 -0.4994 -0.3946
 -0.3038 -0.2248 -0.1560 -0.0967 -0.0523  0.0513  0.1175  0.1620  0.1904
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  R   
 -3.4235 -3.2716 -3.1260 -2.9800 -2.8485 -2.6698 -2.3734 -1.9402 -1.4882 -1.0984
 -0.8023 -0.5898 -0.4378 -0.3236 -0.2319 -0.0566  0.0718  0.1651  0.2291
 -3.1873 -3.0197 -2.8626 -2.7102 -2.5555 -2.3790 -2.1231 -1.7494 -1.3652 -1.0245
 -0.7530 -0.5510 -0.4044 -0.2954 -0.2088 -0.0447  0.0741  0.1592  0.2167  0.2521
 -3.0186 -2.8349 -2.6627 -2.4972 -2.3339 -2.1611 -1.9376 -1.6205 -1.2882 -0.9848
