 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -3.4815 -3.1295 -2.8599 -2.6416 -2.4531 -2.0565 -1.7330 -1.4614 -1.2271 -1.0218
 -0.8406
 -5.8652 -5.7817 -5.7015 -5.6191 -5.5230 -5.3934 -5.1970 -4.8674 -4.3925 -3.8807
 -3.4315 -3.0795 -2.8067 -2.5869 -2.3987 -2.0031 -1.6799 -1.4129 -1.1869 -0.9914
 -0.8210 -0.6700
 -5.4992 -5.3971 -5.3016 -5.2097 -5.1146 -5.0030 -4.8521 -4.6178 -4.2553 -3.8155
 -3.3953 -3.0467 -2.7715 -2.5497 -2.3614 -1.9669 -1.6430 -1.3786 -1.1587 -0.9708
 -0.8085 -0.6662 -0.5400 -0.4276
 -5.2371 -5.0999 -4.9791 -4.8683 -4.7620 -4.6524 -4.5250 -4.3524 -4.0895 -3.7339
 -3.3572 -3.0226 -2.7484 -2.5254 -2.3368 -1.9443 -1.6189 -1.3548 -1.1393 -0.9574
 -0.8015 -0.6662 -0.5474 -0.4420 -0.3487 -0.2655 -0.1903 -0.1181 -0.0604 -0.0217
 -5.1436 -4.9348 -4.7610 -4.6123 -4.4805 -4.3565 -4.2308 -4.0881 -3.8973 -3.6280
 -3.3090 -2.9997 -2.7327 -2.5102 -2.3221 -1.9329 -1.6063 -1.3403 -1.1267 -0.9495
 -0.7987 -0.6691 -0.5566 -0.4578 -0.3709 -0.2954 -0.2280 -0.1654 -0.1071 -0.0610
 -0.0324
 -5.1838 -4.8800 -4.6329 -4.4368 -4.2741 -4.1276 -3.9864 -3.8457 -3.6921 -3.4933
 -3.2405 -2.9693 -2.7180 -2.5008 -2.3146 -1.9306 -1.6045 -1.3346 -1.1203 -0.9459
 -0.7992 -0.6741 -0.5668 -0.4739 -0.3932 -0.3227 -0.2611 -0.2070 -0.1581 -0.1126
 -0.0767
 -5.3055 -4.9385 -4.6149 -4.3411 -4.1158 -3.9287 -3.7666 -3.6224 -3.4794 -3.3206
 -3.1328 -2.9155 -2.6943 -2.4901 -2.3093 -1.9331 -1.6099 -1.3354 -1.1176 -0.9436
 -0.7999 -0.6785 -0.5757 -0.4881 -0.4132 -0.3488 -0.2934 -0.2451 -0.2026 -0.1648
 -0.1310
 -5.5185 -5.0891 -4.7081 -4.3722 -4.0824 -3.8372 -3.6290 -3.4497 -3.2881 -3.1333
 -2.9766 -2.8116 -2.6398 -2.4695 -2.3062 -1.9445 -1.6273 -1.3490 -1.1248 -0.9481
 -0.8051 -0.6861 -0.5864 -0.5030 -0.4329 -0.3740 -0.3243 -0.2819 -0.2451 -0.2130
 -0.1852
 -5.8453 -5.3415 -4.8969 -4.5033 -4.1577 -3.8578 -3.6000 -3.3786 -3.1853 -3.0125
 -2.8530 -2.7011 -2.5535 -2.4118 -2.2772 -1.9569 -1.6512 -1.3716 -1.1398 -0.9575
 -0.8126 -0.6945 -0.5968 -0.5163 -0.4501 -0.3958 -0.3515 -0.3148 -0.2838 -0.2574
 -0.2393
 -6.2950 -5.7137 -5.1932 -4.7343 -4.3304 -3.9770 -3.6701 -3.4052 -3.1768 -2.9784
 -2.8031 -2.6447 -2.4986 -2.3634 -2.2223 -1.9703 -1.6816 -1.4032 -1.1626
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value = BX   
 -7.5812 -7.5580 -7.4578 -7.2747 -7.0020 -6.6347 -6.1697 -5.6049 -4.9607 -4.3317
 -3.7977 -3.4040 -3.1132 -2.8841 -2.6907 -2.2928 -1.9632 -1.6748 -1.4045
 -7.0337 -6.9982 -7.0101 -6.9947 -6.8784 -6.6022 -6.1189 -5.4546 -4.8095 -4.1935
 -3.6766 -3.2901 -3.0020 -2.7752 -2.5838 -2.1887 -1.8631 -1.5818 -1.3324 -1.1093
 -6.5213 -6.4726 -6.4221 -6.3570 -6.2574 -6.0941 -5.8122 -5.3150 -4.7044 -4.1144
 -3.6092 -3.2216 -2.9295 -2.7008 -2.5093 -2.1152 -1.7912 -1.5157 -1.2759 -1.0650
 -0.8790
 -6.0573 -5.9945 -5.9343 -5.8691 -5.7851 -5.6608 -5.4608 -5.1160 -4.6059 -4.0600
 -3.5708 -3.1797 -2.8820 -2.6489 -2.4560 -2.0623 -1.7389 -1.4674 -1.2350 -1.0330
 -0.8568 -0.7014
 -5.6549 -5.5762 -5.5017 -5.4296 -5.3510 -5.2510 -5.1053 -4.8677 -4.4859 -4.0064
 -3.5442 -3.1553 -2.8516 -2.6130 -2.4174 -2.0240 -1.7007 -1.4314 -1.2049 -1.0101
 -0.8414 -0.6940 -0.5634 -0.4467
 -5.3375 -5.2291 -5.1354 -5.0486 -4.9639 -4.8722 -4.7574 -4.5903 -4.3214 -3.9368
 -3.5169 -3.1396 -2.8333 -2.5896 -2.3907 -1.9973 -1.6741 -1.4052 -1.1827 -0.9939
 -0.8312 -0.6903 -0.5666 -0.4569 -0.3590 -0.2713 -0.1910 -0.1151 -0.0569 -0.0167
 -5.1502 -4.9896 -4.8547 -4.7410 -4.6383 -4.5391 -4.4338 -4.3044 -4.1171 -3.8343
 -3.4783 -3.1260 -2.8228 -2.5761 -2.3743 -1.9807 -1.6581 -1.3878 -1.1672 -0.9831
 -0.8254 -0.6897 -0.5719 -0.4685 -0.3771 -0.2972 -0.2258 -0.1595 -0.0987 -0.0528
 -0.0236
 -5.1229 -4.8779 -4.6890 -4.5338 -4.3965 -4.2720 -4.1545 -4.0344 -3.8913 -3.6907
 -3.4150 -3.1053 -2.8163 -2.5703 -2.3667 -1.9730 -1.6523 -1.3797 -1.1582 -0.9766
 -0.8232 -0.6918 -0.5788 -0.4810 -0.3955 -0.3205 -0.2553 -0.1987 -0.1472 -0.1001
 -0.0649
 -5.2100 -4.8810 -4.6023 -4.3782 -4.2012 -4.0561 -3.9260 -3.7974 -3.6671 -3.5124
 -3.3104 -3.0596 -2.7998 -2.5643 -2.3626 -1.9705 -1.6533 -1.3784 -1.1535 -0.9721
 -0.8216 -0.6938 -0.5850 -0.4921 -0.4121 -0.3429 -0.2836 -0.2327 -0.1886 -0.1501
 -0.1157
 -5.3780 -4.9912 -4.6480 -4.3509 -4.1021 -3.8981 -3.7281 -3.5796 -3.4435 -3.3082
 -3.1591 -2.9761 -2.7674 -2.5582 -2.3660 -1.9783 -1.6659 -1.3901 -1.1599 -0.9753
 -0.8253 -0.6999 -0.5941 -0.5049 -0.4293 -0.3653 -0.3114 -0.2660 -0.2276 -0.1959
 -0.1663
 -5.6427 -5.1923 -4.7913 -4.4369 -4.1274 -3.8624 -3.6387 -3.4481 -3.2805 -3.1278
 -2.9827 -2.8345 -2.6750 -2.5106 -2.3499 -1.9907 -1.6851 -1.4108 -1.1748 -0.9846
 -0.8324 -0.7076 -0.6037 -0.5171 -0.4451 -0.3853 -0.3362 -0.2960 -0.2632 -0.2361
 -0.2140
 -6.0415 -5.5087 -5.0374 -4.6220 -4.2564 -3.9368 -3.6604 -3.4229 -3.2185 -3.0390
 -2.8768 -2.7254 -2.5797 -2.4373 -2.3143 -2.0077 -1.7109 -1.4405 -1.1982
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value = BX   
 -7.7804 -7.7877 -7.5038 -7.0830 -6.6254 -6.2074 -5.8989 -5.6665 -5.0847 -4.4814
 -3.9241 -3.4957 -3.1832 -2.9430 -2.7470 -2.3503 -2.0221 -1.7310 -1.4662
 -7.2359 -7.2304 -7.1930 -7.2630 -7.1080 -6.7502 -6.2087 -5.5515 -4.9520 -4.3529
 -3.8121 -3.3914 -3.0806 -2.8420 -2.6468 -2.2541 -1.9294 -1.6452 -1.3906 -1.1619
 -6.7275 -6.7017 -6.6583 -6.6112 -6.5170 -6.3523 -6.0435 -5.4640 -4.8592 -4.2807
 -3.7524 -3.3310 -3.0142 -2.7716 -2.5747 -2.1829 -1.8605 -1.5820 -1.3358 -1.1178
 -0.9257
 -6.2324 -6.1930 -6.1557 -6.1095 -6.0371 -5.9147 -5.7051 -5.3290 -4.7862 -4.2299
 -3.7183 -3.2970 -2.9718 -2.7224 -2.5214 -2.1288 -1.8079 -1.5335 -1.2948 -1.0851
 -0.9013 -0.7397
 -5.8061 -5.7491 -5.6973 -5.6454 -5.5819 -5.4898 -5.3439 -5.0963 -4.6850 -4.1869
 -3.6977 -3.2779 -2.9460 -2.6877 -2.4819 -2.0868 -1.7672 -1.4955 -1.2628 -1.0604
 -0.8837 -0.7294 -0.5933 -0.4717
 -5.4436 -5.3655 -5.2952 -5.2301 -5.1642 -5.0864 -4.9789 -4.8121 -4.5327 -4.1225
 -3.6779 -3.2676 -2.9317 -2.6657 -2.4537 -2.0550 -1.7367 -1.4660 -1.2376 -1.0415
 -0.8709 -0.7227 -0.5931 -0.4785 -0.3758 -0.2830 -0.1965 -0.1163 -0.0565 -0.0136
 -5.1779 -5.0635 -4.9646 -4.8785 -4.7990 -4.7197 -4.6292 -4.5084 -4.3221 -4.0255
 -3.6430 -3.2597 -2.9253 -2.6536 -2.4359 -2.0324 -1.7157 -1.4451 -1.2186 -1.0273
 -0.8622 -0.7191 -0.5950 -0.4864 -0.3901 -0.3043 -0.2277 -0.1574 -0.0928 -0.0465
 -0.0157
 -5.0818 -4.8981 -4.7441 -4.6161 -4.5071 -4.4099 -4.3157 -4.2127 -4.0788 -3.8779
 -3.5834 -3.2445 -2.9226 -2.6501 -2.4277 -2.0187 -1.7042 -1.4330 -1.2060 -1.0174
 -0.8568 -0.7182 -0.5988 -0.4953 -0.4048 -0.3250 -0.2549 -0.1934 -0.1383 -0.0885
 -0.0537
 -5.1157 -4.8313 -4.6050 -4.4336 -4.2984 -4.1786 -4.0631 -3.9494 -3.8334 -3.6860
 -3.4779 -3.2034 -2.9111 -2.6466 -2.4240 -2.0111 -1.6991 -1.4281 -1.1986 -1.0099
 -0.8523 -0.7176 -0.6022 -0.5033 -0.4179 -0.3436 -0.2794 -0.2245 -0.1772 -0.1361
 -0.1000
 -5.2476 -4.8989 -4.5941 -4.3394 -4.1341 -3.9728 -3.8413 -3.7249 -3.6098 -3.4842
 -3.3334 -3.1330 -2.8915 -2.6487 -2.4310 -2.0151 -1.7053 -1.4358 -1.2027 -1.0110
 -0.8537 -0.7215 -0.6092 -0.5138 -0.4326 -0.3631 -0.3040 -0.2541 -0.2125 -0.1782
 -0.1497
 -5.4603 -5.0551 -4.6940 -4.3760 -4.1028 -3.8751 -3.6881 -3.5316 -3.3949 -3.2680
 -3.1411 -2.9981 -2.8228 -2.6259 -2.4307 -2.0261 -1.7187 -1.4523 -1.2161 -1.0193
 -0.8595 -0.7278 -0.6175 -0.5246 -0.4465 -0.3809 -0.3264 -0.2814 -0.2448 -0.2157
 -0.1928
 -5.7923 -5.3132 -4.8902 -4.5161 -4.1871 -3.9009 -3.6568 -3.4503 -3.2739 -3.1184
 -2.9754 -2.8378 -2.6969 -2.5459 -2.4231 -2.0441 -1.7393 -1.4776 -1.2388
