 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -5.1747 -4.7659 -4.4077 -4.0906 -3.8096 -3.5583 -3.3314 -3.1247 -2.9350 -2.7602
 -2.5974 -2.4444 -2.2992 -2.1611 -2.0290 -1.6984 -1.4117 -1.1932 -1.0228 -0.8833
 -0.7708 -0.6817 -0.6085 -0.5444 -0.4854 -0.4296 -0.3769 -0.3270 -0.2804 -0.2379
 -0.2016
 -5.1776 -4.7981 -4.4570 -4.1510 -3.8749 -3.6229 -3.3909 -3.1763 -2.9772 -2.7923
 -2.6198 -2.4582 -2.3060 -2.1621 -2.0261 -1.7078 -1.4286 -1.2035 -1.0307 -0.8921
 -0.7802 -0.6925 -0.6236 -0.5663 -0.5152 -0.4676 -0.4224 -0.3793 -0.3382 -0.2998
 -0.2643
 -5.1575 -4.8058 -4.4851 -4.1936 -3.9272 -3.6810 -3.4505 -3.2331 -3.0283 -2.8358
 -2.6555 -2.4864 -2.3276 -2.1779 -2.0367 -1.7160 -1.4432 -1.2177 -1.0403 -0.9009
 -0.7889 -0.7009 -0.6334 -0.5804 -0.5362 -0.4967 -0.4598 -0.4244 -0.3903 -0.3579
 -0.3274
 -5.1150 -4.7917 -4.4934 -4.2176 -3.9616 -3.7228 -3.4985 -3.2846 -3.0795 -2.8838
 -2.6982 -2.5233 -2.3587 -2.2039 -2.0608 -1.7230 -1.4555 -1.2358 -1.0516
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.0538 -5.8353 -5.6274 -5.4224 -5.2174 -4.9942 -4.7337 -4.4368 -4.1541 -3.8907
 -3.6365 -3.3863 -3.1442 -2.9187 -2.7123 -2.2650 -1.8767 -1.5249 -1.2159
 -5.6010 -5.3515 -5.1218 -4.9062 -4.6980 -4.4894 -4.2648 -4.0199 -3.7852 -3.5618
 -3.3414 -3.1170 -2.8910 -2.6751 -2.4775 -2.0592 -1.7125 -1.4095 -1.1415 -0.9140
 -5.2828 -4.9947 -4.7381 -4.5076 -4.2972 -4.0997 -3.9039 -3.6983 -3.4979 -3.3054
 -3.1150 -2.9191 -2.7136 -2.5081 -2.3167 -1.9167 -1.5974 -1.3272 -1.0908 -0.8871
 -0.7173
 -5.1004 -4.7552 -4.4689 -4.2243 -4.0052 -3.8088 -3.6274 -3.4490 -3.2737 -3.1046
 -2.9384 -2.7689 -2.5887 -2.3982 -2.2128 -1.8233 -1.5207 -1.2719 -1.0583 -0.8735
 -0.7179 -0.5861
 -5.0470 -4.6445 -4.3102 -4.0329 -3.8025 -3.6103 -3.4438 -3.2792 -3.1156 -2.9573
 -2.8041 -2.6525 -2.4959 -2.3263 -2.1498 -1.7660 -1.4724 -1.2372 -1.0394 -0.8694
 -0.7255 -0.6035 -0.4972 -0.4023
 -5.1037 -4.6614 -4.2810 -3.9604 -3.6954 -3.4777 -3.2997 -3.1525 -3.0182 -2.8795
 -2.7277 -2.5755 -2.4268 -2.2758 -2.1137 -1.7346 -1.4441 -1.2169 -1.0298 -0.8711
 -0.7371 -0.6238 -0.5253 -0.4371 -0.3565 -0.2823 -0.2144 -0.1499 -0.0910 -0.0537
 -5.2261 -4.7482 -4.3365 -3.9881 -3.6960 -3.4531 -3.2510 -3.0804 -2.9325 -2.8018
 -2.6786 -2.5452 -2.3971 -2.2456 -2.0938 -1.7220 -1.4301 -1.2063 -1.0261 -0.8757
 -0.7496 -0.6441 -0.5533 -0.4722 -0.3978 -0.3288 -0.2653 -0.2066 -0.1520 -0.1041
 -0.0767
 -5.4017 -4.8902 -4.4477 -4.0719 -3.7560 -3.4906 -3.2663 -3.0752 -2.9097 -2.7623
 -2.6267 -2.4991 -2.3734 -2.2386 -2.0928 -1.7241 -1.4269 -1.2026 -1.0260 -0.8812
 -0.7621 -0.6621 -0.5785 -0.5048 -0.4373 -0.3744 -0.3160 -0.2609 -0.2106 -0.1666
 -0.1301
 -5.5862 -5.0613 -4.5936 -4.1941 -3.8548 -3.5675 -3.3224 -3.1111 -2.9264 -2.7625
 -2.6134 -2.4740 -2.3413 -2.2137 -2.0855 -1.7376 -1.4307 -1.2022 -1.0267 -0.8853
 -0.7693 -0.6750 -0.5977 -0.5314 -0.4715 -0.4158 -0.3637 -0.3146 -0.2691 -0.2277
 -0.1915
 -5.7482 -5.2297 -4.7601 -4.3472 -3.9895 -3.6817 -3.4162 -3.1850 -2.9811 -2.7992
 -2.6345 -2.4828 -2.3403 -2.2049 -2.0755 -1.7557 -1.4515 -1.2113 -1.0326 -0.8920
 -0.7779 -0.6860 -0.6127 -0.5526 -0.5003 -0.4524 -0.4076 -0.3652 -0.3252 -0.2881
 -0.2539
 -5.8625 -5.3675 -4.9135 -4.5002 -4.1361 -3.8156 -3.5339 -3.2847 -3.0625 -2.8631
 -2.6821 -2.5162 -2.3624 -2.2182 -2.0818 -1.7656 -1.4759 -1.2296 -1.0422 -0.8995
 -0.7857 -0.6944 -0.6228 -0.5668 -0.5209 -0.4806 -0.4439 -0.4091 -0.3759 -0.3446
 -0.3156
 -5.9082 -5.4523 -5.0265 -4.6308 -4.2723 -3.9500 -3.6606 -3.3993 -3.1624 -2.9471
 -2.7507 -2.5709 -2.4050 -2.2506 -2.1044 -1.7673 -1.5039 -1.2571 -1.0555
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = BX   
 -6.4440 -6.3006 -6.1527 -5.9896 -5.8076 -5.5599 -5.1970 -4.7186 -4.2575 -3.8752
 -3.5604 -3.2889 -3.0470 -2.8287 -2.6307 -2.2094 -1.8601 -1.5423 -1.2529
 -5.9351 -5.7727 -5.6104 -5.4402 -5.2495 -5.0187 -4.7143 -4.3231 -3.9441 -3.6152
 -3.3321 -3.0799 -2.8485 -2.6361 -2.4427 -2.0360 -1.7067 -1.4245 -1.1738 -0.9505
 -5.5317 -5.3465 -5.1665 -4.9867 -4.7990 -4.5907 -4.3380 -4.0218 -3.7047 -3.4187
 -3.1651 -2.9338 -2.7157 -2.5100 -2.3198 -1.9207 -1.6062 -1.3449 -1.1183 -0.9176
 -0.7424
