 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -5.5011 -5.5275 -5.5393 -5.5338 -5.5083 -5.4609 -5.3893 -5.2904 -5.1736 -5.0549
 -4.9375 -4.8183 -4.6916 -4.5524 -4.3940 -3.9025 -3.3314 -2.7653 -2.2647 -1.8489
 -1.5123
 -5.0592 -5.0866 -5.1036 -5.1069 -5.0942 -5.0635 -5.0130 -4.9398 -4.8443 -4.7378
 -4.6278 -4.5148 -4.3940 -4.2614 -4.1118 -3.6518 -3.1178 -2.5868 -2.1121 -1.7172
 -1.4011 -1.1490
 -4.6992 -4.7187 -4.7344 -4.7417 -4.7370 -4.7179 -4.6827 -4.6292 -4.5542 -4.4619
 -4.3604 -4.2532 -4.1386 -4.0130 -3.8723 -3.4434 -2.9443 -2.4472 -1.9962 -1.6161
 -1.3115 -1.0709 -0.8814 -0.7325
 -4.4630 -4.4440 -4.4412 -4.4419 -4.4381 -4.4249 -4.3993 -4.3592 -4.3017 -4.2247
 -4.1334 -4.0331 -3.9246 -3.8057 -3.6731 -3.2720 -2.8026 -2.3352 -1.9076 -1.5397
 -1.2414 -1.0059 -0.8221 -0.6793 -0.5694 -0.4838 -0.4147 -0.3554 -0.2998 -0.2455
 -4.5369 -4.3913 -4.2957 -4.2393 -4.2086 -4.1882 -4.1651 -4.1322 -4.0864 -4.0240
 -3.9445 -3.8526 -3.7509 -3.6388 -3.5139 -3.1375 -2.6918 -2.2478 -1.8407 -1.4844
 -1.1890 -0.9542 -0.7715 -0.6306 -0.5242 -0.4447 -0.3843 -0.3364 -0.2954 -0.2559
 -0.2153
 -4.8469 -4.5944 -4.3923 -4.2415 -4.1315 -4.0508 -3.9916 -3.9500 -3.9091 -3.8573
 -3.7898 -3.7077 -3.6138 -3.5092 -3.3922 -3.0392 -2.6142 -2.1850 -1.7933 -1.4472
 -1.1535 -0.9161 -0.7305 -0.5879 -0.4813 -0.4039 -0.3486 -0.3079 -0.2758 -0.2489
 -0.2227
 -5.2107 -4.8901 -4.6139 -4.3811 -4.1926 -4.0434 -3.9262 -3.8385 -3.7714 -3.7152
 -3.6594 -3.5899 -3.5064 -3.4104 -3.3018 -2.9714 -2.5655 -2.1452 -1.7614 -1.4221
 -1.1294 -0.8877 -0.6969 -0.5501 -0.4404 -0.3619 -0.3083 -0.2720 -0.2461 -0.2267
 -0.2111
 -5.6560 -5.2599 -4.9145 -4.6151 -4.3589 -4.1443 -3.9672 -3.8232 -3.7071 -3.6138
 -3.5393 -3.4761 -3.4073 -3.3278 -3.2341 -2.9333 -2.5499 -2.1381 -1.7565 -1.4194
 -1.1260 -0.8784 -0.6792 -0.5245 -0.4080 -0.3241 -0.2676 -0.2317 -0.2093 -0.1945
 -0.1856
 -6.2769 -5.7620 -5.3233 -4.9457 -4.6196 -4.3395 -4.1017 -3.9019 -3.7348 -3.5959
 -3.4840 -3.3917 -3.3104 -3.2323 -3.1509 -2.9023 -2.5558 -2.1549 -1.7732 -1.4343
 -1.1380 -0.8842 -0.6751 -0.5100 -0.3839 -0.2916 -0.2285 -0.1888 -0.1661 -0.1546
 -0.1462
 -7.1770 -6.4970 -5.9178 -5.4263 -5.0067 -4.6474 -4.3399 -4.0780 -3.8563 -3.6698
 -3.5136 -3.3827 -3.2707 -3.1702 -3.0522 -2.8784 -2.5832 -2.1956 -1.8115
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value = UX   
 -6.7839 -6.7936 -6.7363 -6.6317 -6.4987 -6.3527 -6.2065 -6.0707 -5.9491 -5.8298
 -5.7118 -5.6001 -5.4922 -5.3828 -5.2611 -4.8464 -4.2636 -3.6160 -2.9732
 -6.2135 -6.2299 -6.2233 -6.1890 -6.1222 -6.0193 -5.8773 -5.7120 -5.5793 -5.4577
 -5.3439 -5.2357 -5.1277 -5.0152 -4.8895 -4.4714 -3.9072 -3.2897 -2.7196 -2.2352
 -5.6887 -5.7119 -5.7165 -5.6989 -5.6561 -5.5866 -5.4895 -5.3624 -5.2314 -5.1126
 -5.0033 -4.9000 -4.7958 -4.6855 -4.5627 -4.1625 -3.6324 -3.0538 -2.5161 -2.0621
 -1.6916
 -5.2222 -5.2502 -5.2636 -5.2593 -5.2350 -5.1890 -5.1203 -5.0270 -4.9138 -4.8013
 -4.6961 -4.5964 -4.4970 -4.3913 -4.2743 -3.9002 -3.4090 -2.8713 -2.3627 -1.9291
 -1.5778 -1.2962
 -4.8252 -4.8529 -4.8691 -4.8736 -4.8623 -4.8335 -4.7859 -4.7180 -4.6281 -4.5257
 -4.4248 -4.3278 -4.2318 -4.1307 -4.0197 -3.6724 -3.2192 -2.7218 -2.2427 -1.8256
 -1.4857 -1.2152 -0.9999 -0.8282
 -4.5084 -4.5275 -4.5388 -4.5447 -4.5401 -4.5224 -4.4894 -4.4400 -4.3718 -4.2846
 -4.1896 -4.0952 -4.0015 -3.9042 -3.7985 -3.4750 -3.0560 -2.5952 -2.1462 -1.7453
 -1.4125 -1.1472 -0.9377 -0.7725 -0.6422 -0.5387 -0.4550 -0.3841 -0.3189 -0.2571
 -4.4173 -4.3429 -4.3016 -4.2856 -4.2750 -4.2602 -4.2352 -4.1975 -4.1454 -4.0755
 -3.9903 -3.8997 -3.8080 -3.7135 -3.6123 -3.3086 -2.9189 -2.4884 -2.0679 -1.6843
 -1.3569 -1.0926 -0.8843 -0.7217 -0.5952 -0.4977 -0.4222 -0.3625 -0.3128 -0.2660
 -0.2196
 -4.6455 -4.4396 -4.2935 -4.1905 -4.1165 -4.0660 -4.0303 -3.9962 -3.9529 -3.8970
 -3.8248 -3.7408 -3.6522 -3.5602 -3.4627 -3.1759 -2.8108 -2.4036 -2.0061 -1.6391
 -1.3176 -1.0522 -0.8413 -0.6774 -0.5511 -0.4553 -0.3845 -0.3314 -0.2908 -0.2578
 -0.2259
 -4.9903 -4.7029 -4.4603 -4.2662 -4.1183 -4.0073 -3.9209 -3.8501 -3.7962 -3.7463
 -3.6866 -3.6128 -3.5294 -3.4409 -3.3470 -3.0745 -2.7305 -2.3399 -1.9571 -1.6040
 -1.2888 -1.0217 -0.8065 -0.6384 -0.5094 -0.4127 -0.3431 -0.2941 -0.2592 -0.2333
 -0.2131
 -5.3964 -5.0394 -4.7279 -4.4604 -4.2369 -4.0554 -3.9095 -3.7913 -3.6946 -3.6194
 -3.5617 -3.5013 -3.4305 -3.3505 -3.2625 -3.0052 -2.6822 -2.3075 -1.9338 -1.5894
 -1.2797 -1.0107 -0.7889 -0.6132 -0.4776 -0.3757 -0.3030 -0.2536 -0.2214 -0.1999
 -0.1869
 -5.9258 -5.4740 -5.0840 -4.7459 -4.4539 -4.2058 -3.9985 -3.8265 -3.6830 -3.5641
 -3.4680 -3.3928 -3.3249 -3.2559 -3.1818 -2.9569 -2.6570 -2.2990 -1.9316 -1.5908
 -1.2840 -1.0136 -0.7848 -0.5998 -0.4549 -0.3450 -0.2657 -0.2121 -0.1786 -0.1595
 -0.1491
 -6.6909 -6.0940 -5.5871 -5.1540 -4.7821 -4.4621 -4.1888 -3.9574 -3.7629 -3.5996
 -3.4623 -3.3484 -3.2535 -3.1698 -3.1049 -2.9296 -2.6549 -2.3144 -1.9505
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value = UX   
 -7.0383 -7.0418 -6.9187 -6.7263 -6.5101 -6.3099 -6.1354 -6.0677 -5.9665 -5.8603
 -5.7503 -5.6466 -5.5521 -5.4631 -5.3704 -5.0591 -4.5561 -3.9150 -3.2795
 -6.4523 -6.4639 -6.4301 -6.3382 -6.2181 -6.0725 -5.9040 -5.7329 -5.6129 -5.5003
 -5.3939 -5.2954 -5.2022 -5.1105 -5.0146 -4.6980 -4.2074 -3.5982 -3.0031 -2.4783
 -5.9139 -5.9324 -5.9169 -5.8847 -5.8175 -5.7197 -5.5875 -5.4167 -5.2788 -5.1642
 -5.0602 -4.9667 -4.8777 -4.7880 -4.6931 -4.3879 -3.9299 -3.3640 -2.7976 -2.3056
 -1.8990
 -5.4127 -5.4401 -5.4486 -5.4343 -5.3941 -5.3264 -5.2317 -5.1098 -4.9755 -4.8575
 -4.7546 -4.6640 -4.5791 -4.4936 -4.4020 -4.1150 -3.6951 -3.1766 -2.6452 -2.1737
 -1.7839 -1.4679
 -4.9832 -5.0135 -5.0301 -5.0291 -5.0078 -4.9641 -4.8977 -4.8088 -4.6976 -4.5838
 -4.4811 -4.3906 -4.3079 -4.2257 -4.1386 -3.8707 -3.4881 -3.0155 -2.5215 -2.0698
 -1.6916 -1.3859 -1.1406 -0.9427
 -4.6265 -4.6498 -4.6671 -4.6730 -4.6637 -4.6369 -4.5915 -4.5271 -4.4423 -4.3403
 -4.2400 -4.1486 -4.0657 -3.9857 -3.9021 -3.6515 -3.3030 -2.8720 -2.4161 -1.9865
 -1.6173 -1.3171 -1.0771 -0.8860 -0.7329 -0.6090 -0.5076 -0.4214 -0.3438 -0.2722
 -4.3945 -4.3792 -4.3739 -4.3745 -4.3687 -4.3514 -4.3196 -4.2722 -4.2084 -4.1258
 -4.0314 -3.9401 -3.8559 -3.7759 -3.6948 -3.4586 -3.1393 -2.7444 -2.3242 -1.9189
 -1.5594 -1.2614 -1.0230 -0.8342 -0.6850 -0.5666 -0.4730 -0.3981 -0.3362 -0.2797
 -0.2261
 -4.4841 -4.3425 -4.2439 -4.1822 -4.1448 -4.1187 -4.0908 -4.0532 -4.0028 -3.9381
 -3.8564 -3.7677 -3.6820 -3.6009 -3.5207 -3.2952 -3.0004 -2.6345 -2.2445 -1.8637
 -1.5157 -1.2192 -0.9794 -0.7893 -0.6406 -0.5241 -0.4343 -0.3654 -0.3123 -0.2702
 -0.2310
 -4.7956 -4.5403 -4.3385 -4.1917 -4.0866 -4.0045 -3.9355 -3.8789 -3.8300 -3.7770
 -3.7099 -3.6289 -3.5437 -3.4612 -3.3807 -3.1627 -2.8865 -2.5438 -2.1754 -1.8154
 -1.4802 -1.1861 -0.9433 -0.7501 -0.5987 -0.4813 -0.3925 -0.3269 -0.2789 -0.2435
 -0.2170
 -5.1758 -4.8508 -4.5698 -4.3349 -4.1459 -3.9996 -3.8864 -3.7955 -3.7156 -3.6475
 -3.5887 -3.5198 -3.4400 -3.3579 -3.2765 -3.0633 -2.8034 -2.4816 -2.1296 -1.7852
 -1.4625 -1.1719 -0.9253 -0.7254 -0.5679 -0.4457 -0.3537 -0.2868 -0.2406 -0.2093
 -0.1879
 -5.6422 -5.2379 -4.8858 -4.5803 -4.3195 -4.1026 -3.9255 -3.7808 -3.6617 -3.5627
 -3.4805 -3.4139 -3.3471 -3.2737 -3.1967 -2.9913 -2.7451 -2.4421 -2.1034 -1.7688
 -1.4556 -1.1697 -0.9200 -0.7127 -0.5466 -0.4168 -0.3186 -0.2474 -0.1991 -0.1685
 -0.1501
 -6.2919 -5.7654 -5.3171 -4.9313 -4.5980 -4.3119 -4.0696 -3.8670 -3.6980 -3.5560
 -3.4362 -3.3376 -3.2545 -3.1812 -3.1413 -2.9467 -2.7116 -2.4253 -2.0968
