 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -3.8694 -3.6567 -3.4629 -3.2728 -3.0837 -2.8983 -2.7227 -2.5587 -2.4041 -2.2549
 -2.1092 -1.9675 -1.8322 -1.7055 -1.5859 -1.3035 -1.0604 -0.8763 -0.7377 -0.6304
 -0.5469 -0.4811 -0.4268 -0.3789 -0.3343 -0.2917 -0.2511 -0.2136 -0.1792 -0.1477
 -0.1188
 -3.7944 -3.5801 -3.3912 -3.2141 -3.0388 -2.8653 -2.6954 -2.5336 -2.3820 -2.2384
 -2.0995 -1.9633 -1.8300 -1.7023 -1.5817 -1.3099 -1.0730 -0.8828 -0.7405 -0.6323
 -0.5494 -0.4861 -0.4368 -0.3957 -0.3586 -0.3234 -0.2895 -0.2565 -0.2248 -0.1954
 -0.1680
 -3.7400 -3.5168 -3.3264 -3.1547 -2.9894 -2.8275 -2.6680 -2.5118 -2.3622 -2.2210
 -2.0870 -1.9575 -1.8302 -1.7056 -1.5855 -1.3148 -1.0836 -0.8927 -0.7454 -0.6348
 -0.5509 -0.4878 -0.4409 -0.4048 -0.3746 -0.3471 -0.3209 -0.2949 -0.2693 -0.2445
 -0.2215
 -3.6999 -3.4668 -3.2686 -3.0937 -2.9339 -2.7817 -2.6328 -2.4865 -2.3431 -2.2044
 -2.0727 -1.9473 -1.8262 -1.7077 -1.5914 -1.3222 -1.0924 -0.9023 -0.7517
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.5231 -5.2622 -4.8602 -4.4476 -4.0549 -3.7157 -3.4481 -3.2098 -2.9865 -2.7792
 -2.5847 -2.4043 -2.2389 -2.0877 -1.9486 -1.6386 -1.3564 -1.0910 -0.8545
 -4.9358 -4.7935 -4.6365 -4.3079 -3.9422 -3.5959 -3.3024 -3.0566 -2.8320 -2.6243
 -2.4295 -2.2489 -2.0837 -1.9340 -1.7982 -1.5042 -1.2484 -1.0161 -0.8090 -0.6337
 -4.6864 -4.3825 -4.2033 -4.1002 -3.8572 -3.5354 -3.2271 -2.9640 -2.7369 -2.5296
 -2.3353 -2.1542 -1.9879 -1.8372 -1.7012 -1.4135 -1.1734 -0.9633 -0.7786 -0.6207
 -0.4891
 -4.5578 -4.2238 -3.9465 -3.7394 -3.6128 -3.4628 -3.2003 -2.9260 -2.6865 -2.4778
 -2.2845 -2.1032 -1.9353 -1.7823 -1.6444 -1.3564 -1.1242 -0.9282 -0.7597 -0.6156
 -0.4943 -0.3916
 -4.4684 -4.1420 -3.8478 -3.5920 -3.3787 -3.2094 -3.0815 -2.9072 -2.6755 -2.4567
 -2.2635 -2.0825 -1.9133 -1.7577 -1.6166 -1.3237 -1.0938 -0.9059 -0.7487 -0.6156
 -0.5032 -0.4077 -0.3249 -0.2514
 -4.3991 -4.0882 -3.7951 -3.5297 -3.2941 -3.0870 -2.9069 -2.7543 -2.6202 -2.4524
 -2.2630 -2.0824 -1.9124 -1.7544 -1.6098 -1.3088 -1.0766 -0.8925 -0.7425 -0.6180
 -0.5136 -0.4252 -0.3484 -0.2800 -0.2178 -0.1611 -0.1097 -0.0633 -0.0245 -0.0026
 -4.3435 -4.0482 -3.7645 -3.4992 -3.2591 -3.0455 -2.8515 -2.6718 -2.5095 -2.3690
 -2.2355 -2.0860 -1.9242 -1.7658 -1.6182 -1.3074 -1.0693 -0.8852 -0.7392 -0.6208
 -0.5233 -0.4415 -0.3712 -0.3085 -0.2513 -0.1980 -0.1491 -0.1053 -0.0672 -0.0373
 -0.0238
 -4.2969 -4.0162 -3.7438 -3.4840 -3.2425 -3.0240 -2.8278 -2.6471 -2.4772 -2.3183
 -2.1738 -2.0435 -1.9145 -1.7773 -1.6356 -1.3170 -1.0702 -0.8827 -0.7375 -0.6228
 -0.5306 -0.4550 -0.3911 -0.3349 -0.2834 -0.2356 -0.1897 -0.1474 -0.1108 -0.0815
 -0.0606
 -4.2636 -3.9874 -3.7257 -3.4737 -3.2345 -3.0138 -2.8141 -2.6331 -2.4652 -2.3057
 -2.1544 -2.0132 -1.8819 -1.7584 -1.6365 -1.3329 -1.0765 -0.8826 -0.7360 -0.6226
 -0.5337 -0.4630 -0.4053 -0.3558 -0.3112 -0.2694 -0.2302 -0.1943 -0.1615 -0.1317
 -0.1045
