 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F225W
 -9.7654 -9.7596 -9.9430 -9.9516 -9.8808 -9.7479 -9.5762 -9.4664 -9.3662 -9.2559
 -9.1466 -9.0377 -8.9280 -8.8155 -8.6993 -8.3607 -7.8147 -6.6847 -5.8809
 -9.7730 -9.6985 -9.6362 -9.6023 -9.5987 -9.5684 -9.4867 -9.3822 -9.2755 -9.1674
 -9.0553 -8.9387 -8.8165 -8.6865 -8.5447 -8.0972 -7.3800 -6.3927 -5.4165 -4.5873
 -9.6533 -9.5816 -9.5067 -9.4364 -9.3780 -9.3464 -9.3270 -9.2761 -9.1908 -9.0852
 -8.9696 -8.8411 -8.6995 -8.5421 -8.3655 -7.8057 -6.9802 -5.9139 -4.8943 -4.0676
 -3.4322
 -9.5434 -9.4857 -9.4144 -9.3362 -9.2566 -9.1800 -9.1150 -9.0706 -9.0258 -8.9552
 -8.8522 -8.7183 -8.5534 -8.3602 -8.1403 -7.4617 -6.5561 -5.4649 -4.4241 -3.6109
 -3.0063 -2.5626
 -9.4317 -9.3924 -9.3339 -9.2584 -9.1704 -9.0745 -8.9745 -8.8749 -8.7892 -8.7113
 -8.6268 -8.5111 -8.3484 -8.1311 -7.8680 -7.0911 -6.1517 -5.0722 -4.0507 -3.2458
 -2.6603 -2.2403 -1.9367 -1.7101
 -9.3171 -9.2927 -9.2525 -9.1884 -9.1018 -8.9949 -8.8724 -8.7377 -8.5963 -8.4562
 -8.3220 -8.1874 -8.0305 -7.8281 -7.5692 -6.7479 -5.8157 -4.7860 -3.8012 -2.9944
 -2.4071 -1.9919 -1.6964 -1.4819 -1.3251 -1.2086 -1.1180 -1.0417 -0.9702 -0.8968
 -9.2019 -9.1896 -9.1654 -9.1171 -9.0414 -8.9354 -8.8009 -8.6419 -8.4654 -8.2774
 -8.0835 -7.8879 -7.6919 -7.4849 -7.2473 -6.4785 -5.5768 -4.6239 -3.6747 -2.8638
 -2.2553 -1.8233 -1.5188 -1.2998 -1.1391 -1.0150 -0.9186 -0.8450 -0.7897 -0.7441
 -0.6862
 -9.0885 -9.0882 -9.0748 -9.0404 -8.9817 -8.8892 -8.7579 -8.5896 -8.3918 -8.1734
 -7.9425 -7.7032 -7.4595 -7.2168 -6.9708 -6.2738 -5.4299 -4.5422 -3.6475 -2.8409
 -2.2037 -1.7379 -1.4071 -1.1697 -0.9972 -0.8681 -0.7668 -0.6871 -0.6253 -0.5781
 -0.5432
 -8.9791 -8.9940 -8.9894 -8.9582 -8.9171 -8.8447 -8.7315 -8.5715 -8.3690 -8.1347
 -7.8803 -7.6145 -7.3413 -7.0658 -6.7927 -6.1103 -5.3430 -4.5107 -3.6723 -2.8867
 -2.2306 -1.7265 -1.3576 -1.0911 -0.8964 -0.7513 -0.6414 -0.5559 -0.4867 -0.4311
 -0.3880
 -8.8761 -8.9121 -8.9195 -8.9013 -8.8601 -8.7981 -8.7113 -8.5777 -8.3915 -8.1596
 -7.8956 -7.6130 -7.3209 -7.0273 -6.7348 -6.0166 -5.3033 -4.5285 -3.7373 -2.9832
 -2.3240 -1.7903 -1.3802 -1.0748 -0.8489 -0.6800 -0.5518 -0.4525 -0.3742 -0.3110
 -0.2558
 -8.7807 -8.8325 -8.8532 -8.8461 -8.8138 -8.7589 -8.6836 -8.5828 -8.4309 -8.2217
 -7.9652 -7.6763 -7.3699 -7.0568 -6.7427 -5.9869 -5.2813 -4.5656 -3.8186 -3.0928
 -2.4408 -1.8937 -1.4535 -1.1108 -0.8496 -0.6513 -0.4999 -0.3824 -0.2899 -0.2158
 -0.1555
 -8.6904 -8.6984 -8.7106 -8.7186 -8.7143 -8.6911 -8.6439 -8.5670 -8.4505 -8.2850
 -8.0631 -7.7851 -7.4740 -7.1462 -6.8139 -6.0105 -5.2802 -4.5964 -3.9041
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F225W
-10.0509-10.0576-10.0275 -9.9164 -9.7754 -9.6322 -9.5040 -9.3931 -9.2900 -9.1888
 -9.0875 -8.9857 -8.8827 -8.7768 -8.6665 -8.3521 -7.8919 -7.0956 -6.2762
 -9.8757 -9.8035 -9.7782 -9.7775 -9.7062 -9.5839 -9.4533 -9.3329 -9.2235 -9.1172
