 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F435W
 -6.8481 -6.6100 -6.7094 -6.6229 -6.4288 -6.0598 -5.5302 -5.2139 -4.8959 -4.5657
 -4.2560 -3.9756 -3.7172 -3.4701 -3.2284 -2.6874 -2.1176 -1.5881 -1.2062
 -6.6050 -6.2082 -5.9002 -5.6907 -5.5587 -5.3903 -5.1278 -4.8113 -4.4870 -4.1693
 -3.8692 -3.5932 -3.3391 -3.1022 -2.8780 -2.3551 -1.8746 -1.4648 -1.1497 -0.9093
 -6.2177 -5.8227 -5.4835 -5.2032 -4.9736 -4.8041 -4.6581 -4.4493 -4.1745 -3.8739
 -3.5822 -3.3111 -3.0643 -2.8381 -2.6289 -2.1605 -1.7442 -1.3834 -1.1009 -0.8847
 -0.7125
 -5.8988 -5.5347 -5.2010 -4.9086 -4.6509 -4.4166 -4.2082 -4.0352 -3.8517 -3.6180
 -3.3571 -3.1005 -2.8614 -2.6431 -2.4442 -2.0140 -1.6469 -1.3300 -1.0718 -0.8746
 -0.7173 -0.5850
 -5.6125 -5.2893 -4.9795 -4.6946 -4.4374 -4.1981 -3.9680 -3.7486 -3.5526 -3.3641
 -3.1631 -2.9421 -2.7201 -2.5106 -2.3185 -1.9126 -1.5792 -1.2931 -1.0576 -0.8748
 -0.7295 -0.6073 -0.5002 -0.4039
 -5.3493 -5.0634 -4.7863 -4.5194 -4.2716 -4.0409 -3.8183 -3.5988 -3.3848 -3.1806
 -2.9924 -2.8098 -2.6198 -2.4275 -2.2428 -1.8493 -1.5368 -1.2724 -1.0535 -0.8812
 -0.7454 -0.6323 -0.5330 -0.4431 -0.3564 -0.2747 -0.2009 -0.1376 -0.0866 -0.0490
 -5.1086 -4.8544 -4.6075 -4.3648 -4.1304 -3.9107 -3.7009 -3.4949 -3.2901 -3.0866
 -2.8914 -2.7097 -2.5380 -2.3691 -2.2011 -1.8179 -1.5145 -1.2651 -1.0563 -0.8906
 -0.7617 -0.6565 -0.5652 -0.4824 -0.4059 -0.3344 -0.2678 -0.2063 -0.1498 -0.1017
 -0.0739
 -4.8897 -4.6624 -4.4406 -4.2222 -4.0061 -3.7962 -3.5969 -3.4056 -3.2166 -3.0264
 -2.8374 -2.6553 -2.4843 -2.3235 -2.1693 -1.8097 -1.5081 -1.2660 -1.0640 -0.9014
 -0.7761 -0.6772 -0.5935 -0.5184 -0.4491 -0.3836 -0.3208 -0.2623 -0.2099 -0.1650
 -0.1285
 -4.6921 -4.4875 -4.2863 -4.0857 -3.8897 -3.6944 -3.5033 -3.3202 -3.1447 -2.9705
 -2.7947 -2.6203 -2.4523 -2.2933 -2.1432 -1.8028 -1.5097 -1.2694 -1.0727 -0.9115
 -0.7869 -0.6916 -0.6146 -0.5476 -0.4861 -0.4280 -0.3730 -0.3208 -0.2729 -0.2293
 -0.1897
 -4.5152 -4.3296 -4.1455 -3.9629 -3.7820 -3.6026 -3.4248 -3.2492 -3.0799 -2.9171
