 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.4887 -3.3939 -3.6255 -3.5488 -3.3141 -3.0162 -2.7003 -2.4780 -2.2744 -2.0702
 -1.8848 -1.7147 -1.5562 -1.4073 -1.2668 -0.9682 -0.6837 -0.4395 -0.2916
 -3.4429 -3.1864 -2.9807 -2.8403 -2.7566 -2.6364 -2.4440 -2.2311 -2.0315 -1.8441
 -1.6696 -1.5085 -1.3605 -1.2244 -1.0984 -0.8207 -0.5916 -0.4140 -0.2847 -0.1892
 -3.1788 -2.9298 -2.7090 -2.5210 -2.3667 -2.2586 -2.1684 -2.0320 -1.8605 -1.6835
 -1.5211 -1.3715 -1.2340 -1.1081 -0.9930 -0.7462 -0.5490 -0.3960 -0.2827 -0.1971
 -0.1296
 -2.9642 -2.7386 -2.5284 -2.3389 -2.1704 -2.0208 -1.8944 -1.7970 -1.6954 -1.5634
 -1.4170 -1.2767 -1.1483 -1.0304 -0.9225 -0.6950 -0.5189 -0.3854 -0.2846 -0.2075
 -0.1454 -0.0935
 -2.7821 -2.5788 -2.3876 -2.2089 -2.0451 -1.8950 -1.7574 -1.6333 -1.5298 -1.4337
 -1.3292 -1.2106 -1.0908 -0.9790 -0.8770 -0.6616 -0.4982 -0.3774 -0.2876 -0.2185
 -0.1618 -0.1136 -0.0717 -0.0354
 -2.6287 -2.4404 -2.2669 -2.1028 -1.9492 -1.8061 -1.6730 -1.5494 -1.4360 -1.3329
 -1.2388 -1.1462 -1.0474 -0.9458 -0.8480 -0.6406 -0.4840 -0.3706 -0.2887 -0.2275
 -0.1769 -0.1333 -0.0948 -0.0603 -0.0281  0.0002  0.0226  0.0373  0.0433  0.0398
 -2.5045 -2.3242 -2.1600 -2.0096 -1.8669 -1.7331 -1.6073 -1.4891 -1.3795 -1.2771
 -1.1812 -1.0907 -1.0036 -0.9165 -0.8288 -0.6284 -0.4745 -0.3632 -0.2863 -0.2318
 -0.1882 -0.1503 -0.1164 -0.0855 -0.0569 -0.0286 -0.0034  0.0154  0.0250  0.0242
  0.0147
 -2.4100 -2.2316 -2.0703 -1.9256 -1.7924 -1.6673 -1.5494 -1.4381 -1.3335 -1.2354
 -1.1431 -1.0552 -0.9705 -0.8889 -0.8092 -0.6224 -0.4696 -0.3579 -0.2814 -0.2304
 -0.1932 -0.1621 -0.1342 -0.1081 -0.0836 -0.0601 -0.0362 -0.0149 -0.0001  0.0053
 -0.0005
 -2.3459 -2.1641 -2.0007 -1.8513 -1.7229 -1.6041 -1.4932 -1.3885 -1.2899 -1.1965
