 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.2413 -8.4459 -7.7215 -7.0573 -6.4730 -5.9797 -5.5787 -5.2514 -4.9697 -4.7065
 -4.4444 -4.1810 -3.9262 -3.6894 -3.4712 -2.9590 -2.4481 -1.9844 -1.5918 -1.2688
 -1.0242 -0.8490 -0.7217 -0.6236 -0.5432 -0.4745 -0.4148 -0.3629 -0.3181 -0.2797
 -0.2471
 -9.5038 -8.7298 -8.0193 -7.3673 -6.7464 -6.1955 -5.7227 -5.3308 -5.0060 -4.7241
 -4.4622 -4.2032 -3.9434 -3.6905 -3.4535 -2.9397 -2.4730 -2.0286 -1.6389 -1.3158
 -1.0643 -0.8812 -0.7514 -0.6565 -0.5826 -0.5216 -0.4700 -0.4254 -0.3870 -0.3542
 -0.3245
 -9.7280 -9.0103 -8.3358 -7.7017 -7.0701 -6.4921 -5.9690 -5.5115 -5.1227 -4.7956
 -4.5115 -4.2496 -3.9942 -3.7398 -3.4919 -2.9452 -2.4880 -2.0669 -1.6850 -1.3629
 -1.1065 -0.9146 -0.7780 -0.6819 -0.6121 -0.5582 -0.5148 -0.4784 -0.4477 -0.4220
 -0.4006
 -9.9141 -9.2875 -8.6710 -8.0474 -7.4310 -6.8372 -6.2838 -5.7836 -5.3382 -4.9489
 -4.6176 -4.3293 -4.0660 -3.8139 -3.5659 -2.9905 -2.5130 -2.1014 -1.7297
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F390M
-10.5323-10.0488 -9.5209 -9.0210 -8.3480 -7.6619 -7.1472 -6.7690 -6.4386 -6.1386
 -5.8519 -5.5747 -5.3077 -5.0486 -4.7947 -4.1672 -3.5143 -2.8162 -2.1462
 -9.3112 -9.0116 -8.7811 -8.4558 -8.0804 -7.5449 -6.9548 -6.5068 -6.1393 -5.8140
 -5.5048 -5.2094 -4.9282 -4.6595 -4.4003 -3.7797 -3.1687 -2.5514 -1.9643 -1.4856
 -8.7840 -8.2160 -7.9435 -7.8274 -7.6331 -7.3320 -6.8741 -6.3605 -5.9432 -5.5889
 -5.2591 -4.9465 -4.6516 -4.3736 -4.1096 -3.4955 -2.9188 -2.3634 -1.8413 -1.4028
 -1.0761
 -8.5872 -7.8878 -7.4258 -7.1575 -7.0341 -6.9214 -6.6862 -6.3049 -5.8501 -5.4589
 -5.1114 -4.7833 -4.4750 -4.1865 -3.9160 -3.3024 -2.7492 -2.2376 -1.7635 -1.3547
 -1.0464 -0.8142
 -8.5972 -7.7985 -7.2182 -6.8148 -6.5456 -6.3669 -6.2478 -6.0845 -5.7930 -5.4094
 -5.0483 -4.7091 -4.3884 -4.0882 -3.8084 -3.1859 -2.6448 -2.1614 -1.7210 -1.3348
 -1.0377 -0.8172 -0.6443 -0.5013
 -8.7761 -7.8917 -7.1968 -6.6868 -6.3177 -6.0446 -5.8304 -5.6520 -5.4991 -5.2980
 -5.0105 -4.6961 -4.3749 -4.0646 -3.7736 -3.1325 -2.5918 -2.1241 -1.7062 -1.3373
 -1.0466 -0.8326 -0.6688 -0.5353 -0.4219 -0.3230 -0.2342 -0.1522 -0.0769 -0.0167
 -9.0850 -8.1366 -7.3428 -6.7228 -6.2595 -5.9146 -5.6420 -5.4030 -5.1855 -4.9964
 -4.8192 -4.6141 -4.3670 -4.0869 -3.7958 -3.1305 -2.5799 -2.1173 -1.7126 -1.3567
 -1.0695 -0.8576 -0.6992 -0.5736 -0.4684 -0.3772 -0.2972 -0.2268 -0.1643 -0.1096
 -0.0657
